shipping,url,category,time_published,uuid,time_modified,title,picture_url,price,description,hotness,editors_choice
free shipping w/ Prime,https://www.dealnews.com/Lemfo-Mens-LF19-Digital-Smartwatch-for-19-free-shipping-w-Prime/2168099.html,SMARTWATCHES,2017-12-29T07:25:39-05:00,2168099,,Lemfo Men's LF19 Digital Smartwatch,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lqv696c4wt0ghmzzw9u0",$19,"Lemfo via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168099"">Lemfo Men's LF19 Digital Smartwatch</a> for $28.99. Coupon code ""6T4UEX3P"" cuts that to <strong>$18.84</strong>. With <strong>free shipping</strong>, that's $10 off list and the lowest price we could find, although we saw it for $2 less last month. It's compatible with iOS and Android and features activity, distance, and calorie tracking, app notifications, and water resistance to 165 feet. Deal ends January 15.",0,
free shipping,https://www.dealnews.com/Samples-w-2-Amazon-Credit-for-2-w-Prime-free-shipping/2168111.html,AMAZON COUPONS,2017-12-29T07:21:53-05:00,2168111,,Samples w/ $2 Amazon Credit,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zduoyf837xc2bzhmurfl",$2 w/ Prime,"For Prime members only, Amazon offers a range of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168111"">samples bundled with $2 Amazon Credit</a> for <strong>$2 each</strong> with <strong>free shipping</strong>. Assuming you'll spend the credit, that essentially makes these samples free. Save on toothpaste, groceries, beauty items, and more.",0,True
free shipping w/ Prime,https://www.dealnews.com/Pisen-2-500-m-Ah-Power-Bank-for-6-w-25-purchase-free-shipping-w-Prime/2168108.html,PORTABLE POWER BANKS,2017-12-29T07:14:54-05:00,2168108,,"Pisen 2,500mAh Power Bank","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/et9e7ivkpndkjfbciowi",$6 w/ $25 purchase,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168108"">Pisen 2,500mAh Portable Battery Pack</a> in Pink for $8.99. Coupon code ""NW6EHLIS"" cuts the price to <strong>$5.93</strong>. With <strong>free shipping</strong>, that's $3 off list and the lowest price we could find. It includes a micro USB cable. Deal ends January 8.<br>
<br>
Note: This item is part of Amazon's ""Add-on Program""; it can only be purchased with an order of $25 or more.",0,
,https://www.dealnews.com/features/VIDEO-Best-Bubbles-for-Your-Buck-Champagne-Taste-Test/938817.html,BUYING GUIDES,2017-12-29T07:00:01-05:00,2158745,,VIDEO: Our Champagne Taste Test Finds the Best Bubbles for Your Buck!,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wdwjwfbmtl2kr9c0ffjb",,"Nothing says ""Happy new year"" like the popping of a cork, but are there any sparkling wines that are good <i>and</i> a good price? <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/VIDEO-Best-Bubbles-for-Your-Buck-Champagne-Taste-Test/938817.html"">Find out in our video taste test!</a>",,
free shipping,https://www.dealnews.com/Dr.meter-16.5-Foot-2-MP-Endoscope-for-19-free-shipping/2168090.html,CELL PHONE ACCESSORIES,2017-12-29T06:48:43-05:00,2168090,,Dr.meter 16.5-Foot 2MP Endoscope,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v2spqjzcrlvqfaewnzsi",$19,"ThousandShores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168090"">Dr.meter 16.5-Foot Endoscope</a> for $29.99. Coupon code ""33D3WOUF"" cuts the price to <strong>$19</strong>. With <strong>free shipping</strong>, that's $11 off list and the lowest price we could find. It features an 8mm 2-megapixel camera, eight dimmable LEDs, semi-rigid cable, mirror, magnet, and hook. Deal ends December 31.",4,
free shipping,https://www.dealnews.com/Tenergy-Bluetooth-Digital-Meat-Thermometer-for-59-free-shipping/2168096.html,KITCHEN,2017-12-29T06:41:09-05:00,2168096,,Tenergy Bluetooth Digital Meat Thermometer,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hgatgkfpaanxhmgtxnwz",$59,"Tenergy via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168096"">Tenergy Bluetooth Digital Meat Thermometer</a> for $69.99. Coupon code ""4SOS5JCE"" cuts it to <strong>$59.49</strong>. With <strong>free shipping</strong>, that's $11 off and the lowest price we could find. It features six channels, six probes, an LCD display, and readings via the Solis Thermo app for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088056,2168096"">iOS</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088059,2168096"">Android</a> (to a 100-foot range). Deal ends December 31.",3,
free shipping w/ Prime,https://www.dealnews.com/Pisen-Easy-Power-10-000-m-Ah-Portable-Charger-for-10-free-shipping-w-Prime/2168054.html,CELL PHONE CHARGERS,2017-12-29T06:35:08-05:00,2168054,,"Pisen Easy Power 10,000mAh Portable Charger","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xv0k4dmk1nbabq5lxtg2",$10,"Pisen Electronics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168054"">Pisen Easy Power 10,000mAh Portable Charger</a> in White for $15.99. Coupon code ""WSX7WHRL"" cuts the price to <strong>$9.91</strong>. With <strong>free shipping</strong> for Prime members, that's $6 off list and the lowest price we could find. It includes a micro USB cable. Deal ends January 10.",3,
free shipping w/ $45,https://www.dealnews.com/Home-Depot-Overstock-Sale-Up-to-75-off-free-shipping-w-45/2168093.html,HOME & GARDEN,2017-12-29T06:26:33-05:00,2168093,,Home Depot Overstock Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t4ri2iy3xr4frght7n3w",Up to 75% off,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168093"">Home Depot</a> takes <b>up to 75% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088053,2168093"">overstock items</a>, with prices starting at <strong>$5.99</strong>. Shipping starts at <strong>$5.99</strong>, but select items and orders of $45 or more qualify for free shipping. (Some oversized items may incur additional fees; in-store pickup is also available for many items.) Discounted items include decor, bathroom items, lighting, furniture, and more.",5,
free shipping w/ Prime,https://www.dealnews.com/Dr.meter-Pepper-and-Salt-Grinder-for-12-free-shipping-w-Prime/2168087.html,KITCHEN,2017-12-29T06:21:22-05:00,2168087,,Dr.meter Pepper and Salt Grinder,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xho9hrncus3do9so9ypg",$12,"Thousandshores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168087"">Dr.meter Pepper and Salt Grinder</a> for $16.99. Coupon code ""6UILVIOA"" cuts it to <strong>$12</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off list and the lowest price we could find. It features Each grinder features a ceramic rotor with manual coarseness adjustment. Deal ends December 31.",4,
free shipping w/ $25,https://www.dealnews.com/Macys-One-Day-Sale-Extra-25-off-Clearance-free-shipping-w-25/2167721.html,MACY'S COUPONS,2017-12-29T00:01:00-05:00,2167721,,Macy's One Day Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t5z4bqwzeiydtbpqnpkt",Extra 25% off Clearance,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167721"">Macy's</a> discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087447,2167721"">apparel, home goods, jewelry, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087450,2167721"">One Day Sale</a> with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087453,2167721"">Web Busters</a>. Plus, take an <b>extra 25% off</b> of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087456,2167721"">clearance items</a>. Shipping adds <b>$10.95</b>, or get free shipping on orders of $25 or more. Exclusions may apply. Deal ends December 30.",,
