time_published,uuid,shipping,hotness,url,picture_url,time_modified,editors_choice,title,category,description,price
2017-12-29T09:57:05-05:00,2168183,free shipping,0,https://www.dealnews.com/adidas-Mens-Rod-Laver-Super-Sneakers-for-29-free-shipping/2168183.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/idnjk6gz4pxrocqzv4ec",,True,adidas Men's Rod Laver Super Sneakers,SHOES,"Barneys offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168183"">adidas Men's Rod Laver Super Sneakers</a> in White/Green or White/Black for <b>$29</b> with <b>free shipping</b>. That's the lowest price we could find by $46. They're available in select sizes from 6 to 13.",$29
2017-12-29T09:56:43-05:00,2168192,,0,https://www.dealnews.com/Brooks-Brothers-Semi-Annual-Sale-Up-to-40-off/2168192.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hhhvtzvk7tk1pqcqddqp",,,Brooks Brothers Semi-Annual Sale,CLOTHING & ACCESSORIES,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168192"">Brooks Brothers</a> takes <strong>up to 40% off</strong> a selection of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088263,2168192"">men's, women's, and kids' items</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088266,2168192"">Semi-Annual Sale</a>. Shipping starts at <strong>$5.95</strong>. Deal ends January 2.",Up to 40% off
2017-12-29T09:50:34-05:00,2168186,,,https://www.dealnews.com/features/morning-jolt/,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sbfjna2kocp3yhmh57tz",,,5 Deals You Need to Know Today: A Record-Low Price for an Amazon Tap,MORNING JOLT,"Today you can get a refurbished, Amazon-warrantied Tap at an all-time low price, or sink into Bethesda's BioShock-beater Prey, also at its cheapest price yet. Check out these offers and more in our roundup of the top five <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/morning-jolt/"">Editors' Choice deals</a> we found last night and this morning.",
2017-12-29T09:46:57-05:00,2168177,free shipping w/ Prime,0,https://www.dealnews.com/Final-Fantasy-XIV-Stormblood-for-PS4-12-free-shipping-w-Prime/2168177.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j8gsrcxetearcqabfsxy",,True,Final Fantasy XIV: Stormblood for PS4,GAMES,"Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168177"">Final Fantasy XIV: Stormblood for PlayStation 4</a> for <strong>$12.40</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $25.<br>
<br>
Note: You must have Final Fantasy XIV: A Realm Reborn (sold separately) to play Stormblood.",$12
2017-12-29T09:45:14-05:00,2168180,free shipping,0,https://www.dealnews.com/adidas-Mens-NMD-City-Sock-2-Sneakers-for-69-free-shipping/2168180.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ajs0via8wkns8oooacqw",,True,adidas Men's NMD City Sock 2 Sneakers,SHOES,"Barneys offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168180"">adidas Originals Men's NMD City Sock 2 Primeknit Sneakers</a> in Black/White for <strong>$69</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $111. They're available in select sizes from 6.5 to 12.",$69
2017-12-29T09:43:32-05:00,2168174,free shipping,0,https://www.dealnews.com/Le-Home-1080-p-Wi-Fi-IP-Security-Camera-for-30-free-shipping/2168174.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pselcd2u1yvwejdlcgkl",,,LeHome 1080p WiFi IP Security Camera,SECURITY CAMERAS,"LeHome via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168174"">LeHome 1080p WiFi IP Security Camera</a> in White for $49.99. Coupon code ""QVOYDT5C"" drops it to <b>$29.99</b>. With <b>free shipping</b>, that's tied with last week's expired mention, $20 off, and the lowest price we could find. Features include 1080p video recording, a 120° wide-angle lens, 2-way audio, night vision up to 32 feet, motion detection, 55° vertical rotation, 355° horizontal rotation, 802.11n wireless, real-time streaming and alerts via the Eyeplus mobile app, and microSD card slot. Deal ends January 3.",$30
2017-12-29T09:35:02-05:00,2168171,free shipping,0,https://www.dealnews.com/Mac-Book-Pro-i5-13-Laptop-w-Touch-Bar-2017-for-1-849-free-shipping/2168171.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sgvodrddxeoqswxz9p8u",,,"MacBook Pro i5 13"" Laptop w/ Touch Bar (2017)",MACBOOK PRO,"L.A. Computer Company offers the new <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168171"">Apple MacBook Pro Intel Kaby Lake Core i5 3.1GHz 13.3"" Retina Laptop with Touch Bar</a> in Space Gray for <strong>$1,849</strong> with <strong>free shipping</strong>. That's $30 under our July mention and also the best price we could find today by $30. It features the new Touch Bar — a touchscreen OLED strip running above the keyboard that supports Touch ID and allows for customized buttons. Other specs include an Intel Core i5-7267U 3.1GHz Kaby Lake dual-core processor, 13.3"" 2560x1600 IPS LED-backlit Retina display, 8GB RAM, 512GB SSD, 802.11ac wireless, Bluetooth 4.2, four Thunderbolt 3 ports, backlit keyboard, and macOS Sierra.","$1,849"
,2168162,$8 shipping,3,https://www.dealnews.com/Victoria-Sport-Womens-The-Player-Hot-Shorts-for-10-8-s-h/2168162.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/igbzv6qg7beh4qvo9hxr",2017-12-29T09:59:23-05:00,,Victoria Sport Women's The Player Hot Shorts,ACTIVEWEAR,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168162"">Victoria Sport Women's The Player Hot Shorts</a> in several colors (Black pictured) for <b>$9.99</b> plus <b>$8</b> for shipping. That's $10 off list and the lowest price we could find. They're available in select sizes from XS to L.",$10
2017-12-29T09:23:55-05:00,2168168,free shipping w/ Prime,3,https://www.dealnews.com/Tacklife-Sound-Level-Meter-for-17-free-shipping-w-Prime/2168168.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eldymhibwp7lmnjzsatx",,,Tacklife Sound Level Meter,TOOLS & HARDWARE,"Tacklife via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168168"">Tacklife Sound Level Meter</a> for $20.97. Coupon code ""DLTGDSI6"" drops it to <b>$16.78</b>. With <b>free shipping</b> for Prime members, that's $4 under our October mention and the lowest price we could find by about $12. It features an LCD display, measures 30 to 130 decibels, and requires one 9-volt battery (included). Deal ends January 2.",$17
2017-12-29T00:01:00-05:00,2167301,free shipping,,https://www.dealnews.com/Do-Doeleph-Syma-Wi-Fi-Quadcopter-w-720-p-Camera-for-48-free-shipping/2167301.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nlzlhcahzk75jd0zt1qw",,,DoDoeleph Syma WiFi Quadcopter w/ 720p Camera,TOYS & HOBBIES,"AukwingUSA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167301"">DoDoeleph Syma X5UW WiFi Quadcopter Drone with 720p HD Camera</a> in Red for $79.98. Coupon code ""ADYRI88Q"" cuts it to <strong>$47.99</strong>. Plus, <strong>free shipping</strong> applies. It features a 9-minute flight time, 1280x720 video resolution, and a 4GB memory card. Deal ends December 30.<br>
<br>
Looking for another color? It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086190,2167301"">Blue</a> for <strong>$47.94</strong> with free shipping via the same coupon",$48
