editors_choice,hotness,shipping,uuid,picture_url,description,time_modified,time_published,category,url,price,title
True,0,pickup at GameStop,2168120,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sdxvjl8jsce6xxmapcam","GameStop offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168120"">Elite Dangerous: Legendary Edition for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088074,2168120"">Xbox One</a> for <strong>$19.99</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with last month's mention and the lowest price we could find by at least $25. It includes the base game and the Horizons season pass.",,2017-12-29T07:58:36-05:00,GAMES,https://www.dealnews.com/Elite-Dangerous-Legendary-Ed.-for-PS4-XB1-for-20-pickup-at-Game-Stop/2168120.html,$20,Elite Dangerous: Legendary Ed. for PS4/XB1
,0,free shipping w/ $100,2168114,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hu9zx2rnb68d2zxssjt0","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168114"">Victoria's Secret</a> takes <strong>25% to 60% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088068,2168114"">items</a> in its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088071,2168114"">Semi-Annual Sale</a>. (Prices are as marked.) Shipping adds <strong>$8</strong>, or bag free shipping on orders of $100 or more. Bras start from <strong>$9.99</strong>, panties from <strong>$3.99</strong>, and sportswear from <strong>$12.99</strong>.",,2017-12-29T07:43:53-05:00,CLOTHING & ACCESSORIES,https://www.dealnews.com/Victorias-Secret-Semi-Annual-Sale-25-to-60-off-free-shipping-w-100/2168114.html,25% to 60% off,Victoria's Secret Semi-Annual Sale
,4,free shipping w/ Prime,2168099,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lqv696c4wt0ghmzzw9u0","Lemfo via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168099"">Lemfo Men's LF19 Digital Smartwatch</a> for $28.99. Coupon code ""6T4UEX3P"" cuts that to <strong>$18.84</strong>. With <strong>free shipping</strong>, that's $10 off list and the lowest price we could find, although we saw it for $2 less last month. It's compatible with iOS and Android and features activity, distance, and calorie tracking, app notifications, and water resistance to 165 feet. Deal ends January 15.",,2017-12-29T07:25:39-05:00,SMARTWATCHES,https://www.dealnews.com/Lemfo-Mens-LF19-Digital-Smartwatch-for-19-free-shipping-w-Prime/2168099.html,$19,Lemfo Men's LF19 Digital Smartwatch
True,5,free shipping,2168111,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zduoyf837xc2bzhmurfl","For Prime members only, Amazon offers a range of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168111"">samples bundled with $2 Amazon Credit</a> for <strong>$2 each</strong> with <strong>free shipping</strong>. Assuming you'll spend the credit, that essentially makes these samples free. Save on toothpaste, groceries, beauty items, and more.",,2017-12-29T07:21:53-05:00,AMAZON COUPONS,https://www.dealnews.com/Samples-w-2-Amazon-Credit-for-2-w-Prime-free-shipping/2168111.html,$2 w/ Prime,Samples w/ $2 Amazon Credit
,3,free shipping w/ Prime,2168108,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/et9e7ivkpndkjfbciowi","With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168108"">Pisen 2,500mAh Portable Battery Pack</a> in Pink for $8.99. Coupon code ""NW6EHLIS"" cuts the price to <strong>$5.93</strong>. With <strong>free shipping</strong>, that's $3 off list and the lowest price we could find. It includes a micro USB cable. Deal ends January 8.<br>
<br>
Note: This item is part of Amazon's ""Add-on Program""; it can only be purchased with an order of $25 or more.",,2017-12-29T07:14:54-05:00,PORTABLE POWER BANKS,https://www.dealnews.com/Pisen-2-500-m-Ah-Power-Bank-for-6-w-25-purchase-free-shipping-w-Prime/2168108.html,$6 w/ $25 purchase,"Pisen 2,500mAh Power Bank"
,,,2158745,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wdwjwfbmtl2kr9c0ffjb","Nothing says ""Happy new year"" like the popping of a cork, but are there any sparkling wines that are good <i>and</i> a good price? <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/VIDEO-Best-Bubbles-for-Your-Buck-Champagne-Taste-Test/938817.html"">Find out in our video taste test!</a>",,2017-12-29T07:00:01-05:00,BUYING GUIDES,https://www.dealnews.com/features/VIDEO-Best-Bubbles-for-Your-Buck-Champagne-Taste-Test/938817.html,,VIDEO: Our Champagne Taste Test Finds the Best Bubbles for Your Buck!
,4,free shipping,2168090,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v2spqjzcrlvqfaewnzsi","ThousandShores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168090"">Dr.meter 16.5-Foot Endoscope</a> for $29.99. Coupon code ""33D3WOUF"" cuts the price to <strong>$19</strong>. With <strong>free shipping</strong>, that's $11 off list and the lowest price we could find. It features an 8mm 2-megapixel camera, eight dimmable LEDs, semi-rigid cable, mirror, magnet, and hook. Deal ends December 31.",,2017-12-29T06:48:43-05:00,CELL PHONE ACCESSORIES,https://www.dealnews.com/Dr.meter-16.5-Foot-2-MP-Endoscope-for-19-free-shipping/2168090.html,$19,Dr.meter 16.5-Foot 2MP Endoscope
,3,free shipping,2168096,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hgatgkfpaanxhmgtxnwz","Tenergy via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168096"">Tenergy Bluetooth Digital Meat Thermometer</a> for $69.99. Coupon code ""4SOS5JCE"" cuts it to <strong>$59.49</strong>. With <strong>free shipping</strong>, that's $11 off and the lowest price we could find. It features six channels, six probes, an LCD display, and readings via the Solis Thermo app for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088056,2168096"">iOS</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088059,2168096"">Android</a> (to a 100-foot range). Deal ends December 31.",,2017-12-29T06:41:09-05:00,KITCHEN,https://www.dealnews.com/Tenergy-Bluetooth-Digital-Meat-Thermometer-for-59-free-shipping/2168096.html,$59,Tenergy Bluetooth Digital Meat Thermometer
,3,free shipping w/ Prime,2168054,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xv0k4dmk1nbabq5lxtg2","Pisen Electronics via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168054"">Pisen Easy Power 10,000mAh Portable Charger</a> in White for $15.99. Coupon code ""WSX7WHRL"" cuts the price to <strong>$9.91</strong>. With <strong>free shipping</strong> for Prime members, that's $6 off list and the lowest price we could find. It includes a micro USB cable. Deal ends January 10.",,2017-12-29T06:35:08-05:00,CELL PHONE CHARGERS,https://www.dealnews.com/Pisen-Easy-Power-10-000-m-Ah-Portable-Charger-for-10-free-shipping-w-Prime/2168054.html,$10,"Pisen Easy Power 10,000mAh Portable Charger"
,,free shipping,2167301,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nlzlhcahzk75jd0zt1qw","AukwingUSA via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167301"">DoDoeleph Syma X5UW WiFi Quadcopter Drone with 720p HD Camera</a> in Red for $79.98. Coupon code ""ADYRI88Q"" cuts it to <strong>$47.99</strong>. Plus, <strong>free shipping</strong> applies. It features a 9-minute flight time, 1280x720 video resolution, and a 4GB memory card. Deal ends December 30.<br>
<br>
Looking for another color? It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086190,2167301"">Blue</a> for <strong>$47.94</strong> with free shipping via the same coupon",,2017-12-29T00:01:00-05:00,TOYS & HOBBIES,https://www.dealnews.com/Do-Doeleph-Syma-Wi-Fi-Quadcopter-w-720-p-Camera-for-48-free-shipping/2167301.html,$48,DoDoeleph Syma WiFi Quadcopter w/ 720p Camera
,5,free shipping w/ $45,2168093,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t4ri2iy3xr4frght7n3w","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168093"">Home Depot</a> takes <b>up to 75% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088053,2168093"">overstock items</a>, with prices starting at <strong>$5.99</strong>. Shipping starts at <strong>$5.99</strong>, but select items and orders of $45 or more qualify for free shipping. (Some oversized items may incur additional fees; in-store pickup is also available for many items.) Discounted items include decor, bathroom items, lighting, furniture, and more.",,2017-12-29T06:26:33-05:00,HOME & GARDEN,https://www.dealnews.com/Home-Depot-Overstock-Sale-Up-to-75-off-free-shipping-w-45/2168093.html,Up to 75% off,Home Depot Overstock Sale
,4,free shipping w/ Prime,2168087,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xho9hrncus3do9so9ypg","Thousandshores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168087"">Dr.meter Pepper and Salt Grinder</a> for $16.99. Coupon code ""6UILVIOA"" cuts it to <strong>$12</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off list and the lowest price we could find. It features Each grinder features a ceramic rotor with manual coarseness adjustment. Deal ends December 31.",,2017-12-29T06:21:22-05:00,KITCHEN,https://www.dealnews.com/Dr.meter-Pepper-and-Salt-Grinder-for-12-free-shipping-w-Prime/2168087.html,$12,Dr.meter Pepper and Salt Grinder
,3,free shipping,2168084,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/io1sk1ouhvbhmkxj0hcr","Depstech via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168084"">Depstech 16.5-Foot Wireless Endoscope</a> for $42.99. Coupon code ""QT5FCA6W"" cuts that to <strong>$27.49</strong>. (It doesn't stack with the clippable coupon on the product page.) With <strong>free shipping</strong>, that's tied with last month's mention, $16 off list, and the lowest price we could find. It's compatible with Android and iOS and features three adjustable resolutions (up to 720p) and a 2-megapixel camera. Deal ends January 25.",,2017-12-29T06:17:36-05:00,CELL PHONE ACCESSORIES,https://www.dealnews.com/Depstech-16.5-Foot-Wireless-Endoscope-for-27-free-shipping/2168084.html,$27,Depstech 16.5-Foot Wireless Endoscope
,5,free shipping w/ Prime,2168081,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d5bisfubhcsisgtxkiz0","As one of its daily deals, Amazon takes <strong>up to 40% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088050,2168081"">NHL cold-weather apparel</a>, with prices starting from <strong>$3.53</strong>. Plus, Prime members receive <strong>free shipping</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088044,2168081"">adidas Men's NHL Authentic Pullover Hoodie</a> from <strong>$30</strong> (low by $19)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168081"">adidas Men's NHL CCM Pullover Jersey Hoodie</a> from <strong>$30</strong> (Calgary Flames pictured, low by $55)
 </li>
</ul>",,2017-12-29T06:05:35-05:00,CLOTHING & ACCESSORIES,https://www.dealnews.com/NHL-Cold-Weather-Apparel-at-Amazon-Up-to-40-off-from-4-free-shipping-w-Prime/2168081.html,"Up to 40% off, from $4",NHL Cold-Weather Apparel at Amazon
