url,hotness,price,editors_choice,description,category,picture_url,shipping,time_published,title,uuid,time_modified
https://www.dealnews.com/Dr.Meter-Water-Quality-TDS-Tester-for-8-free-shipping-w-Prime/2168354.html,0,$8,,"Thousandshores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168354"">Dr.Meter Water Quality TDS Tester</a> for $12.99. Coupon code ""YMVIECBV"" drops it to <b>$8</b>. Plus, Prime members bag <b>free shipping</b>. That's $3 under our October mention and the lowest price we could find now by $6. It features an LCD display and includes a chart explaining TDS values. Deal ends January 2.",TOOLS & HARDWARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ebukc7pa9a4jq8k58md2",free shipping w/ Prime,2017-12-29T13:34:18-05:00,Dr.Meter Water Quality TDS Tester,2168354,
https://www.dealnews.com/Dell-Kaby-Lake-R-13-Touch-Laptop-for-686-free-shipping/2168381.html,0,$686,,"Dell Home, via its Member Purchase Program, offers its 3.2-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168381"">Dell Inspiron 13 7000 Series 7373 Intel Kaby Lake R Core i5 1.6GHz 13.3"" 1080p Touchscreen Laptop</a> for <strong>$685.99</strong> with <strong>free shipping</strong>. That's tied with our mention from last week and the lowest price we could find by $113. Features include:
<ul>
 <li>Intel Core i5-8250U 1.6GHz Kaby Lake R quad-core processor
 </li>
 <li>13.3"" 1920x1080 (1080p) IPS LED-backlit LCD
 </li>
 <li>8GB RAM
 </li>
 <li>256GB SSD
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>",LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yptomilasmydrrs27or3",free shipping,2017-12-29T13:27:47-05:00,"Dell Kaby Lake R 13"" Touch Laptop",2168381,
https://www.dealnews.com/Dell-Kaby-Lake-i5-16-Laptop-w-256-GB-SSD-for-735-free-shipping/2168378.html,0,$735,,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168378"">Dell Inspiron 15 7000 Series 7567 Intel Kaby Lake Core i5 2.5GHz 15.6"" 1080p Gaming Laptop</a> in Black or Red for $783.99. Coupon code ""50OFF699"" cuts that to <b>$734.99</b>. With <b>free shipping</b>, that's tied with last week's mention and the best price we could find today by $65. (Most retailers charge at least $900.) Deal ends February 3, 2018. Features include:
<ul>
 <li>Intel Core i5-7300HQ 2.5GHz Kaby Lake quad-core processor
 </li>
 <li>15.6"" 1920x1080 (1080p) IPS LED-backlit LCD
 </li>
 <li>8GB RAM
 </li>
 <li>256GB SSD
 </li>
 <li>Nvidia GeForce GTX 1050Ti 4GB video card
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>",LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxim9tkvg2m12rwfv8ow",free shipping,2017-12-29T13:24:22-05:00,"Dell Kaby Lake i5 16"" Laptop w/ 256GB SSD",2168378,
https://www.dealnews.com/Canon-Refurbished-Sale-Extra-15-off-free-shipping-w-100/2168342.html,0,Extra 15% off,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168342"">Canon</a> cuts an <strong>extra 15% off</strong> select refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088944,2168342"">cameras, lenses, flashes, printers, and camcorders</a> via coupon code ""VIP15-774727"". Shipping starts at <strong>$11.99</strong>, but orders of $100 or more qualify for free shipping. Some exclusions apply, and available quantities may be limited.<br>
<br>
Note: A 1-year Canon warranty applies to all refurbs.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s5196/Canon/"">Canon Coupons</a>.</p>",CAMERAS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j0kc99keppjxupvsfv7u",free shipping w/ $100,2017-12-29T13:18:04-05:00,Canon Refurbished Sale,2168342,
https://www.dealnews.com/Robb-Report-Magazine-1-Year-Subscription-for-5-for-12-issues/2168348.html,0,$5 for 12 issues,True,"DiscountMags offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168348"">Robb Report Magazine 1-Year Subscription</a> (12 issues) for $64.99. Coupon code ""DEALNEWS"" cuts that to <strong>$4.99</strong>. That's tied with our February mention as the best price we've seen, and it's a low by $60.<br>
<br>
Of note, you can buy up to four years at this discounted rate.",MAGAZINES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yvxqrekgbo87zvciajkw",,2017-12-29T13:18:00-05:00,Robb Report Magazine 1-Year Subscription,2168348,
https://www.dealnews.com/Victorias-Secret-Womens-Lace-Satin-Slip-for-40-8-s-h/2168363.html,0,$40,,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168363"">Victoria's Secret Women's Very Sexy Chantilly Lace &amp; Satin Slip</a> in Black for <strong>$39.99</strong> plus <strong>$8</strong> for shipping. That's $28 off and the lowest price we could find. It's available in most sizes from XS to XL.",INTIMATES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f2kixsabueghlalpsvyl",$8 shipping,2017-12-29T13:17:41-05:00,Victoria's Secret Women's Lace & Satin Slip,2168363,
https://www.dealnews.com/DJI-Phantom-4-Quadcopter-Drone-with-4-K-Camera-for-759-free-shipping/2168345.html,3,$759,,"Deal Road via Rakuten offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168345"">DJI Phantom 4 Quadcopter Drone with 4K Camera</a> for $799. Coupon code ""PHANTOM4"" cuts that to <strong>$759</strong>. With <strong>free shipping</strong>, that's $40 below our mention from last month and the lowest price we've seen for a new unit. (It's the best deal now by $46.) Features include a gimbal-stabilized 12-megapixel camera with 4K video recording at 30fps, 44.7mph top speed (in sport mode), GPS navigation, and up to 28 minutes of flying time per charge. Deal ends January 4.<br>
<br>
Note: This coupon can only be used once per account. (You must be signed in to use it.)",TOYS & HOBBIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxtortvkeeopy6dyl17q",free shipping,2017-12-29T13:01:16-05:00,DJI Phantom 4 Quadcopter Drone with 4K Camera,2168345,
https://www.dealnews.com/Google-Chromecast-Audio-Media-Player-for-26-pickup-at-Game-Stop/2168327.html,4,$26,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168327"">Google Chromecast Audio Media Player</a> for <strong>$25.97</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the second-lowest price we've seen, although we saw it for a buck less during Black Friday week. (It's the best deal today by $9.) It features dual-band 802.11ac wireless and compatibility with Android and iOS devices. The set includes one 3.5mm audio cable.",STREAMING MEDIA PLAYERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jy92hkqn2jjbuz0gmjcb",pickup at GameStop,2017-12-29T13:01:12-05:00,Google Chromecast Audio Media Player,2168327,
https://www.dealnews.com/Timberland-Boscawen-Hardside-3-pc-Luggage-Set-for-179-free-shipping/2168357.html,3,$179,,"eBags via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168357"">Timberland Boscawen Hardside Spinner 3-Piece Luggage Set</a> in Orange for <b>$178.99</b> with <b>free shipping</b>. That's the lowest price we could find by $54. The set includes a 21"", 25"", and 28"" spinner, all with telescoping handles and lined interiors.",LUGGAGE & TRAVEL GEAR,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mjiaffddb4modbqinkv8",free shipping,2017-12-29T12:59:04-05:00,Timberland Boscawen Hardside 3pc Luggage Set,2168357,
https://www.dealnews.com/Macys-One-Day-Sale-Extra-25-off-Clearance-free-shipping-w-25/2167721.html,,Extra 25% off Clearance,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167721"">Macy's</a> discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087447,2167721"">apparel, home goods, jewelry, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087450,2167721"">One Day Sale</a> with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087453,2167721"">Web Busters</a>. Plus, take an <b>extra 25% off</b> of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087456,2167721"">clearance items</a>. Shipping adds <b>$10.95</b>, or get free shipping on orders of $25 or more. Exclusions may apply. Deal ends December 30.",MACY'S COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t5z4bqwzeiydtbpqnpkt",free shipping w/ $25,2017-12-29T00:01:00-05:00,Macy's One Day Sale,2167721,
https://www.dealnews.com/Boneco-Compact-Ultrasonic-Humidifier-for-46-9-s-h/2168321.html,3,$46,,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168321"">Boneco Compact Ultrasonic Humidifier</a> for <b>$46.35</b> plus <b>$8.67</b> for shipping. That's the lowest price we could find by $9, although most sellers charge around $100. It features variable output, bidirectional misting, and automatic shutoff.",HUMIDIFIERS & DEHUMIDIFIERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bacu6rewj5uwq75jrlzf",$9 shipping,2017-12-29T12:43:41-05:00,Boneco Compact Ultrasonic Humidifier,2168321,
https://www.dealnews.com/PUMA-Switchstance-17-Laptop-Backpack-for-15-free-shipping/2168333.html,4,$15,,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168333"">PUMA Switchstance 17"" Laptop Backpack</a> in Burnt Olive for $29.99. Coupon code ""DN1499"" cuts that to <strong>$14.99</strong>. With <strong>free shipping</strong>, that's $11 under our August metnion, $24 off, and the lowest price we could find. It features adjustable shoulder straps, a padded laptop sleeve, front zipper pocket, and side slip pockets. Deal ends January 3.",BACKPACKS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zcd86de7whygzvkswb0p",free shipping,2017-12-29T12:43:36-05:00,"PUMA Switchstance 17"" Laptop Backpack",2168333,
