category,description,title,picture_url,price,time_modified,time_published,uuid,shipping,editors_choice,hotness,url
SWIM,"ZSport via Amazon offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168882"">ZSport 180° Full Face Snorkel Mask</a> in several colors (Black pictured) with prices starting from $19.99. Coupon code "" KZA9HVXZ"" cuts that to <strong>$15</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we've seen. (It's the best deal now by $3.) It's available in sizes S/M or L/XL. Deal ends December 31.",180-Degree Full Face Snorkel Mask,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o5vtdyvkon9soeujbk6q",$15,,2017-12-30T11:54:09-05:00,2168882,free shipping w/ Prime,,0,https://www.dealnews.com/180-Degree-Full-Face-Snorkel-Mask-for-15-free-shipping-w-Prime/2168882.html
KITCHEN,"Oneida offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168876"">Oneida Uncork It Premium Corkscrew</a> for $11.99. Coupon code ""DEALNEWSFREE"" drops it to <b>$9.59</b> and bags <b>free shipping</b>. That's the lowest price we could find by $13. It includes an extra spiral. Deal ends today.",Oneida Uncork It Premium Corkscrew,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/g9p7hza4sld2ljm5z70b",$10,,2017-12-30T11:50:22-05:00,2168876,free shipping,,0,https://www.dealnews.com/Oneida-Uncork-It-Premium-Corkscrew-for-10-free-shipping/2168876.html
BLU-RAY DISC MOVIES,"With stock varying by ZIP code, Redbox offers used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168867"">Alien: Covenant on Blu-ray</a> for <strong>$3.99</strong> at participating locations. That's $13 under the best deal we could find for a sealed copy.<br>
<br>
You can also get it as a used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089898,2168867"">DVD</a> for <strong>$4.99</strong>.",Used Alien: Covenant on Blu-ray,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cug8emdlve7g26csf1fd",$4,,2017-12-30T11:48:22-05:00,2168867,at Redbox locations,True,0,https://www.dealnews.com/Used-Alien-Covenant-on-Blu-ray-for-4-at-Redbox-locations/2168867.html
KITCHEN,"Ending today, Oneida offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168873"">Anchor Hocking 4-Bottle Wire Wine Rack</a> for $8.99. Coupon code ""DEALNEWSFREE"" cuts the price to <strong>$7.19</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $15.",Anchor Hocking 4-Bottle Wire Wine Rack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8fedmd200kgdisvn63i",$7,,2017-12-30T11:39:49-05:00,2168873,free shipping,,0,https://www.dealnews.com/Anchor-Hocking-4-Bottle-Wire-Wine-Rack-for-7-free-shipping/2168873.html
BLU-RAY DISC MOVIES,"With stock varying by ZIP code, Redbox offers used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168870"">Star Wars: Rogue One on Blu-ray</a> for <strong>$3.99</strong> at participating locations. That's $16 under our March mention and the lowest price we've seen. (It's the best deal now by $19.)<br>
<br>
Note that the copy you receive likely won't include the DVD and digital code a factory-sealed Blu-ray edition would.",Used Star Wars: Rogue One on Blu-ray,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/caokxuel9k81lottwp5u",$4,2017-12-30T11:45:53-05:00,,2168870,at Redbox locations,True,0,https://www.dealnews.com/Used-Star-Wars-Rogue-One-on-Blu-ray-for-4-at-Redbox-locations/2168870.html
HAND TOOLS,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168858"">Stanley Hand Tools 8"" Linesman's Pliers</a> for <b>$4.98</b>. Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's the lowest price we could find by about a buck, although several stores charge at least $10. They feature double-dipped handles.","Stanley Hand Tools 8"" Linesman's Pliers","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gzscvs2xsbltckjj2ekx",$5,,2017-12-30T11:31:36-05:00,2168858,pickup at Walmart,,3,https://www.dealnews.com/Stanley-Hand-Tools-8-Linesmans-Pliers-for-5-pickup-at-Walmart/2168858.html
KITCHEN,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168840"">Cuisinart All-Purpose Pan &amp; Lid</a> in Onyx Black & Rose Gold for <b>$19.19</b>, via the directions below. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089859,2168840"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $6 under last week's mention, $61 off list, and the lowest price we could find. It features an aluminum-encapsulated base, tapered rims, and a glass lid, and is compatible with gas, electric, glass, and halogen cooktops. Deal ends today. To get this price:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168840"">Cuisinart All-Purpose Pan &amp; Lid</a> for $29.99
 </li>
 <li>add it to your cart to drop it to $23.99
 </li>
 <li>apply coupon code ""FIT"" for a final price of <strong>$19.19</strong>
 </li>
</ol>",Cuisinart All-Purpose Pan & Lid,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lgli1yepvdw3hnlknxwp",$19,,2017-12-30T11:30:01-05:00,2168840,free s&h w/beauty item,,4,https://www.dealnews.com/Cuisinart-All-Purpose-Pan-Lid-for-19-free-s-h-w-beauty-item/2168840.html
CLOTHING & ACCESSORIES,"Today only, H&M takes <strong>up to 70% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168864"">best-selling men's, women's, kids', and home items</a>. (Prices are as marked.) Shipping adds <strong>$5.99</strong>, but orders of $40 receive free shipping via code ""0040"". Home decor starts at <strong>$1.70</strong>, kids' clothes at <strong>$1.99</strong>, women's accessories at <strong>$1.99</strong>, and men's shirts at <strong>$6.99</strong>.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2604/H-M/"">H&amp;M Coupons</a>.</p>",H&M Best Sellers Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hjlxhxzcl7elufa6f6yy",Up to 70% off,,2017-12-30T11:21:30-05:00,2168864,free shipping w/ $40,,5,https://www.dealnews.com/H-M-Best-Sellers-Sale-Up-to-70-off-free-shipping-w-40/2168864.html
CLOTHING & ACCESSORIES,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168861"">Columbia</a> takes <strong>60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089892,2168861"">winter styles</a> via coupon code ""COLDEC60"". Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089895,2168861"">sign up</a>.) That's tied as the best percent-off coupon we've seen this year. Deal ends December 31.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s38814/Columbia/"">Columbia Coupons</a>.</p>",Winter Styles at Columbia,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zh8wqrhcpr2fxy9yok4n",60% off,,2017-12-30T11:20:42-05:00,2168861,free shipping,True,5,https://www.dealnews.com/Winter-Styles-at-Columbia-60-off-free-shipping/2168861.html
CREDIT CARDS,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168498"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",Bank of America® Travel Rewards Credit Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm","20,000 bonus points offer",,2017-12-29T15:40:39-05:00,2168498,,,,"https://www.dealnews.com/lw/click.html?20,2,2168498"
