url,uuid,title,category,hotness,price,time_published,description,time_modified,editors_choice,shipping,picture_url
https://www.dealnews.com/Philips-Norelco-Multigroom-5000-Trimmer-for-20-pickup-at-Walmart/2168822.html,2168822,Philips Norelco Multigroom 5000 Trimmer,SHAVING & GROOMING,0,$20,2017-12-30T10:14:49-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168822"">Philips Norelco Multigroom Series 5000 Trimmer</a> for <b>$20</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089832,2168822"">Amazon</a> charges the same.) Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's tied with our mention from last week as the lowest price we've seen. (It's the best deal we could find now by $7.) The set includes 18 pieces.",,,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ezfjno9iw6x5vzmtou7t"
https://www.dealnews.com/Christmas-Items-at-Home-Depot-50-to-75-off-free-shipping-w-45/2168819.html,2168819,Christmas Items at Home Depot,SEASONAL/HOLIDAYS,0,50% to 75% off,2017-12-30T10:13:38-05:00,"Home Depot takes <strong>50% to 75% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089826,2168819"">Christmas trees, lighting, and decor</a>. Choose ship-to-store <strong>pickup</strong> to dodge shipping fees, which start at $5.99, or bag free shipping on orders of $45 or more. (Certain items qualify for no-minimum free shipping.) A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089829,2168819"">LightShow Holiday Projection RGB Ribbon Light 2-Pack</a> for <strong>$4.97</strong> ($15 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168819"">Martha Stewart Living 7.5-ft. Indoor Snowy Norwegian Spruce Artificial Christmas Tree w/ Clear Lights</a> for <strong>$249.50</strong> (pictured, $250 off)
 </li>
</ul>",,,free shipping w/ $45,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uwnldruhwucxbatxe5lg"
https://www.dealnews.com/Rain-X-Latitude-Wiper-Blades-at-Amazon-Buy-2-get-5-off-free-shipping-w-Prime/2168816.html,2168816,Rain-X Latitude Wiper Blades at Amazon,AUTOMOTIVE,0,"Buy 2, get $5 off",2017-12-30T10:04:00-05:00,"At Amazon, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089820,2168816"">any two Rain-X wiper blades</a>, and get <strong>$5 off</strong> a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089814,2168816"">future purchase at Amazon</a>. (After your order ships you'll receive a code for $5 off a future purchase.) Plus, Prime members receive <strong>free shipping</strong> on all orders. Deal ends January 1. Some best bets, before discount:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168816"">Rain-X Water 26"" Repellency 2-in-1 Wiper Blade</a> for $14.97 (pictured)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089823,2168816"">Rain-X 17"" Latitude Wiper Blade</a> for $14.97
 </li>
</ul>",,,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yblaggzxjlvwpmfpafmx"
https://www.dealnews.com/T-Fal-3-Piece-Nonstick-Fry-Pan-Set-for-15-free-s-h-w-beauty-item/2168813.html,2168813,T-Fal 3-Piece Nonstick Fry Pan Set,KITCHEN,0,$15,2017-12-30T09:57:56-05:00,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168813"">T-Fal 3-Piece Nonstick Fry Pan Set</a> for <strong>$14.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089805,2168813"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. Minus padding, that's tied with our mention from two weeks ago as the best non-rebate price we've seen for this set. (Outside of the deal below, it's $15 under the lowest price we could find for a similar 3-piece set.) It includes 8"", 9.5"", and 12"" pans, all of which are dishwasher-safe and oven-safe to 350°. Deal ends today.<br>
<br>
Note that <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089808,2168813"">Amazon</a> charges the same, with free shipping for Prime members.",,True,free s&h w/beauty item,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yhfpmsbvzigmr0rw2opj"
https://www.dealnews.com/Breville-Nespresso-Creatista-Plus-for-330-free-shipping/2168810.html,2168810,Breville Nespresso Creatista Plus,SMALL APPLIANCES,3,$330,2017-12-30T09:39:53-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168810"">Breville Nespresso Creatista Plus Espresso and Coffee Maker</a> for <strong>$329.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $89. It features auto-frothing with eight texture levels and 11 milk temperature settings, multiple beverage selections, an LCD display, 1.5-liter water tank, and 19 bars of pressure.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xe0xocfxah34jgahzgni"
https://www.dealnews.com/Aeropostale-End-of-Season-Clearance-Sale-70-to-80-off-free-shipping-w-75/2168807.html,2168807,Aeropostale End of Season Clearance Sale,CLOTHING & ACCESSORIES,5,70% to 80% off,2017-12-30T09:25:01-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168807"">Aeropostale</a> takes <strong>70% to 80% off</strong> all <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089796,2168807"">clearance items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089799,2168807"">End of Season Sale</a>. (Prices are as marked.) Shipping adds <strong>$5</strong>, but orders of $75 or more qualify for free shipping.<br>
<br>
Note: Select items may be less at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089802,2168807"">Aeropostale via eBay</a>, which has no-minimum <strong>free shipping</strong>.",,,free shipping w/ $75,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qbobumvupqaj8am5jz3s"
https://www.dealnews.com/Energizer-Automatic-LED-Nightlights-2-Pack-for-3-free-shipping/2168804.html,2168804,Energizer Automatic LED Nightlights 2-Pack,GADGETS,5,$3,2017-12-30T09:17:09-05:00,"13 Deals offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168804"">Energizer Automatic Slim LED Nightlights 2-Pack</a> for $6.46. Coupon code ""ENERGIZER1218"" cuts the price to <strong>$3.49</strong>. With <strong>free shipping</strong>, that's tied with our mention from a week ago and the lowest price we could find by $10. They are sensor activated and measure 4.5"" x 2"" x 1.5"".",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xjcy35ohrpirxwa0fkqh"
https://www.dealnews.com/Armani-Exchange-Semi-Annual-Sale-50-off-free-shipping-w-100/2168801.html,2168801,Armani Exchange Semi-Annual Sale,CLOTHING & ACCESSORIES,5,50% off,2017-12-30T09:13:45-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168801"">Armani Exchange</a> takes <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089790,2168801"">men's, women's, and kids' items</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089793,2168801"">Semi-Annual Sale</a>. (Prices are as marked.) Shipping adds <strong>$7.50</strong>, or spend $100 or more for free shipping.",,,free shipping w/ $100,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j8jalv3gqsan6lq6g4dz"
https://www.dealnews.com/Jos.-A.-Bank-Mens-1905-Cotton-Stripe-Sweater-for-24-free-shipping/2168798.html,2168798,Jos. A. Bank Men's 1905 Cotton Stripe Sweater,SWEATERS,3,$24,2017-12-30T09:05:50-05:00,"Jo.s A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168798"">Jos. A. Bank Men's 1905 Collection Cotton Stripe Sweater</a> in Navy or Cream for <strong>$23.99</strong>. Plus, Bank Account Rewards members get <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089787,2168798"">join</a>.) That's tied with last week's mention at $76 off and the lowest price we could find. It's available in select sizes from S to XL.",,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sbql8uca4dl5qfeeklzo"
https://www.dealnews.com/REI-Holiday-Clearance-Up-to-50-off/2168258.html,2168258,REI Holiday Clearance,REI COUPONS,,Up to 50% off,2017-12-30T00:01:00-05:00,"REI takes <strong>up to 50% off</strong> select items as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168258"">Holiday Clearance</a>. Plus, save <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088644,2168258"">new markdowns</a> at REI Garage. Shipping adds <strong>$5.99</strong>, although orders of $50 or more bag free shipping. (Some large items may incur additional handling charges; in-store pickup is available for most items.) Choose from categories including outerwear, apparel, accessories, and more. Deal ends January 1.",,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f0vtk0ztegkn4ri3ovju"
