title,url,picture_url,time_published,description,editors_choice,time_modified,uuid,category,shipping,hotness,price
Ugg Closet Sale,https://www.dealnews.com/Ugg-Closet-Sale-Up-to-60-off-free-shipping-w-125/2168921.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhawaav5vj8bdx212xwd",2017-12-30T16:00:00-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168921"">Ugg Closet</a> takes <strong>up to 60% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089970,2168921"">men's, women's, and kids' footwear</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089928,2168921"">Closet Sale</a>. (Prices are as marked.) Shipping adds <strong>$8</strong>, but orders of $125 or more bag free shipping. Available sizes and quantities for some items are limited.",,,2168921,CLOTHING & ACCESSORIES,free shipping w/ $125,0,Up to 60% off
Turtle Beach Recon 50 Gaming Headset,https://www.dealnews.com/Turtle-Beach-Recon-50-Gaming-Headset-for-31-free-shipping/2168969.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wuhm307himmplavnecjx",2017-12-30T15:57:28-05:00,"As one of its daily deals, Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168969"">Turtle Beach Ear Force Recon 50 Gaming Headset for PlayStation 4, Xbox One, and Windows/Mac</a> for <strong>$30.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. It features 40mm drivers, in-line volume control and muting, and an adjustable boom microphone. Deal ends today.",,,2168969,HEADPHONES,free shipping,0,$31
2 Men's Leather Double Prong Belts,https://www.dealnews.com/2-Mens-Leather-Double-Prong-Belts-for-8-free-shipping/2168990.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fmqmqiddgwxi3ggkdsul",2017-12-30T15:55:03-05:00,"Dailysteals via eBay offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168990"">two Men's Leather Double Prong Belts</a> in Black and Brown for <strong>$7.99</strong> with <strong>free shipping</strong>. That's $3 below our August mention and the lowest price we could find by $5. They're available in sizes 30-32 to 42-44.",,,2168990,ACCESSORIES,free shipping,0,$8
Rosewill Rotating 12-Outlet Surge Protector,https://www.dealnews.com/Rosewill-Rotating-12-Outlet-Surge-Protector-for-25-free-shipping/2168978.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bm8o7equor6fxptswlhx",2017-12-30T15:52:11-05:00,"As one of its daily deals, Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168978"">Rosewill Premium Rotating 12-Outlet Surge Protector</a> for <strong>$24.99</strong> with <strong>free shipping</strong>. That's a buck under our July mention and the lowest price we could find now by a buck. It features protection against surges up to 4,320 joules and has RJ11 and coaxial connectors. Deal ends today.",,,2168978,SURGE PROTECTORS,free shipping,0,$25
Insignia 26-lb. Portable Ice Maker,https://www.dealnews.com/Insignia-26-lb.-Portable-Ice-Maker-for-80-free-shipping/2168972.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wl8zyvrszjorpx9kio1s",2017-12-30T15:46:33-05:00,"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168972"">Insignia 26-lb. Portable Ice Maker</a> in Black for <b>$79.99</b> with <b>free shipping</b>. That's tied with last month's mention, $40 off, and the lowest price we could find. It features indicator lights and makes up to 26 lbs. of ice per day. Deal ends today.",,,2168972,SMALL APPLIANCES,free shipping,0,$80
AKG K553 Pro Studio Headphones,https://www.dealnews.com/AKG-K553-Pro-Studio-Headphones-for-99-free-shipping/2168984.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ycte5dhakqnou2is8xoi",2017-12-30T15:37:31-05:00,"Musician's Friend offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168984"">AKG K553 Pro Closed-Back Studio Headphones</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's a buck under our July mention and $51 below the lowest we could find for a <i>used</i> pair. (These are new. Other stores charge around $199 for a new pair.) These closed-back headphones feature 50mm drivers, a frequency response of 12Hz to 28kHz, 32-ohm impedance, foam ear pads, and 10-foot straight cable.",,,2168984,HEADPHONES,free shipping,0,$99
Final Fantasy XIV: Stormblood for PC,https://www.dealnews.com/Final-Fantasy-XIV-Stormblood-for-PC-12-free-shipping-w-Prime/2168948.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rv6iialsspyinsqpevjb",2017-12-30T15:26:30-05:00,"Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168948"">Final Fantasy XIV: Stormblood for Windows</a> for <strong>$11.77</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28.<br>
<br>
Note: You must have Final Fantasy XIV: A Realm Reborn (sold separately) to play Stormblood.",,,2168948,PC GAMES,free shipping w/ Prime,2,$12
Neutrogena Oil-Free Acne Face Wash 3-Pack,https://www.dealnews.com/Neutrogena-Oil-Free-Acne-Face-Wash-3-Pack-for-12-free-shipping-w-Prime/2168975.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cafxoqnib78fz16lxvb7",2017-12-30T15:14:51-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168975"">Neutrogena Oil-Free Acne Face Wash 9.1-oz. Bottle 3-Pack</a> for $12.75. Check out via Subsribe & Save to cut that price to <strong>$12.11</strong> and bag <strong>free shipping</strong>. That's $7 under what you'd pay at a local retailer.<br>
<br>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",,,2168975,SKIN CARE,free shipping w/ Prime,4,$12
Jack In The Box Bacon Ultimate Cheeseburger,https://www.dealnews.com/Jack-In-The-Box-Bacon-Ultimate-Cheeseburger-Buy-1-get-2-nd-free/2168966.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/b7fdwhhj0gdadibh0lju",2017-12-30T14:53:59-05:00,"Today only, at participating Jack In The Box locations, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168966"">one Bacon Ultimate Cheeseburger</a> and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089961,2168966"">second one</a> for <strong>free</strong> via this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089964,2168966"">printable coupon</a>. (Enter your email or mobile number to receive the coupon.) That's the first 2-for-1 offer we seen from Jack in the Box since February. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089967,2168966"">Click here</a> to find a location near you.",,,2168966,RESTAURANTS,,5,"Buy 1, get 2nd free"
Tillys Red Tag Sale,https://www.dealnews.com/Tillys-Red-Tag-Sale-Extra-50-off-free-shipping/2168276.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wphvb9k1kbvdjseljo9x",2017-12-30T00:01:00-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168276"">Tillys</a> takes an <strong>extra 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088713,2168276"">men's, women's, and kids' apparel, shoes, and accessories</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088716,2168276"">Red Tag Sale</a>. (Eligible items are noted in red; prices are as marked.) Plus, coupon code ""DNFS"" yields free shipping. (If you see an error in-cart after applying the coupon code, click ""Checkout"" and you should see free shipping on the following page.) Deal ends January 2.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2336/Tillys/"">Tillys Coupons</a>.</p>",,,2168276,CLOTHING & ACCESSORIES,free shipping,,Extra 50% off
