shipping,hotness,picture_url,price,title,url,time_published,uuid,editors_choice,category,description,time_modified
$5 shipping,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zg3v5ihss2xir4ggjzje",$12,"2 Neo Style 6,000mAh Portable Power Banks",https://www.dealnews.com/2-Neo-Style-6-000-m-Ah-Portable-Power-Banks-for-12-5-s-h/2168936.html,2017-12-30T13:42:41-05:00,2168936,,PORTABLE POWER BANKS,"As one of its daily deals, Meh offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168936"">two Neo Style 6,000mAh Portable Battery Packs</a> for <b>$12</b> plus <b>$5</b> for shipping. That's $18 under the lowest price we could find for this quantity purchased elsewhere. Each features a battery indicator light and flashlight. Two micro USB charging cables are included. Deal ends today.",
,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gkwafdilnojadm12oljs",$84,Kindle Unlimited 12-Month Subscription,https://www.dealnews.com/Kindle-Unlimited-12-Month-Subscription-for-84/2168939.html,2017-12-30T13:32:52-05:00,2168939,,EBOOKS,"Amazon offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168939"">Kindle Unlimited 12-Month Subscription</a> for <strong>$83.92</strong>. That's $36 off, and a monthly rate of $7. Kindle Unlimited features unlimited reading and listening for hundreds of thousands of Kindle books and audiobooks. Some conditions apply.",
pickup at REI,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t0wuruexx7pyn51andty",$40,Columbia Women's Lookout View Jacket,https://www.dealnews.com/Columbia-Womens-Lookout-View-Jacket-for-40-pickup-at-REI/2168930.html,2017-12-30T13:25:48-05:00,2168930,,COATS,"As one of its daily deals, REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168930"">Columbia Women's Lookout View Jacket</a> in several colors (Pulse pictured) for <strong>$39.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $16. It's available in select sizes from XS to XL. Deal ends today.",
free shipping,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n6om1hqumu1zsqrriqmo",$12,6 Folgers Ground Coffee 10.3-oz. Cans,https://www.dealnews.com/6-Folgers-Ground-Coffee-10.3-oz.-Cans-for-12-free-shipping/2168927.html,2017-12-30T13:18:15-05:00,2168927,True,COFFEE,"ShopRite offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168927"">six Folgers Ground Coffee 10.3-oz. Canisters</a> in Colombian (pictured), <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089931,2168927"">French Roast</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089934,2168927"">Black Silk</a>, or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089937,2168927"">Breakfast Blend</a> for <b>$11.94</b>. Coupon code ""SHIPSFREE"" yields <b>free shipping</b>. That's $1.99 per can and $13 under the lowest price we could find for any flavor in this quantity from another local store.",
$1 shipping,2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cci9ied7nb9zwabxjer7",$35,New Balance Women's 510v2 Trail Running Shoes,https://www.dealnews.com/New-Balance-Womens-510-v2-Trail-Running-Shoes-for-35-1-s-h/2168924.html,2017-12-30T13:12:11-05:00,2168924,,SHOES,"As one of its daily deals, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168924"">New Balance Women's 510v2 Trail Running Shoes</a> in Silver for <strong>$34.99</strong>. Coupon code ""DOLLARSHIP"" cuts shipping to <strong>$1</strong>. That's the lowest price we could find by $24. It's available in standard and wide widths in select sizes from 5 to 10. Deal ends today.",
free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/exviq37xvqywoh6fqvnn",$179,Jos. A. Bank Men's Cashmere Sportcoat,https://www.dealnews.com/Jos.-A.-Bank-Mens-Cashmere-Sportcoat-for-179-free-shipping/2168915.html,2017-12-30T13:05:43-05:00,2168915,,SUITS,"As one of its daily deals, Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168915"">Jos. A. Bank Men's Signature Collection Traditional Fit Cashmere Sportcoat</a> in Navy for <b>$179</b> with <b>free shipping</b>. That's $419 off list and the lowest price we could find. It's available in select short, regular, and long sizes from 36 to 46. Deal ends today.",
free shipping w/ $25,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hvd4psobimaskomcdayj",Extra 50% Off,Express Clearance Sale,https://www.dealnews.com/Express-Clearance-Sale-Extra-50-Off-free-shipping-w-25/2168918.html,2017-12-30T13:01:10-05:00,2168918,,CLOTHING & ACCESSORIES,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168918"">Express</a> takes an <strong>extra 50% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089916,2168918"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089919,2168918"">women's clearance items</a>. (Discount is applied automatically in-cart.) Shipping adds <strong>$8</strong>, but orders of $25 or more qualify for free shipping. Some exclusions apply. Deal ends December 31.",
pickup at Cabela's,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wpumtzi1ufxffxw9nsfo",$50,Pflueger President/Cabela's Spinning Combo,https://www.dealnews.com/Pflueger-President-Cabelas-Spinning-Combo-for-50-pickup-at-Cabelas/2168618.html,2017-12-30T12:57:39-05:00,2168618,,CAMPING & OUTDOORS,"Cabela's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168618"">Pflueger President/Cabela's Tourney Trail Spinning Combo</a> for <strong>$49.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $8.95 shipping fee. That's $40 off list and the lowest price we could find. It features a nine-bearing reel with anti-reverse, multidisc drag system, IM8-graphite rod, and split cork grips. It's available in 6.5-foot to 7-foot lengths with fast or moderate fast action.",
$4 shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckkymhuxkwnnefquyii7",$30 after rebate,Cooler Master MasterBox Lite 3.1 TG mATX Case,https://www.dealnews.com/Cooler-Master-Master-Box-Lite-3.1-TG-mATX-Case-for-30-after-rebate-4-s-h/2168507.html,2017-12-30T12:57:19-05:00,2168507,,COMPUTER CASES & ACCESSORIES,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168507"">Cooler Master MasterBox Lite 3.1 TG MicroATX Mini Tower Case</a> in Black for $39.99. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089499,2168507"">$10 mail-in rebate</a> cuts it to <strong>$29.99</strong>. With <strong>$3.99</strong> for shipping, that's the lowest price we could find by $6. It features two internal 3.5"" drive bays, an internal 2.5"" drive bay, USB 3.0, one 120mm fan (with support for up to two more), four expansion slots, and 4mm tempered glass side panel. It comes with three custom trim colors. Deal ends December 31.",
free shipping,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e0ocpnku7nfbwmiqbqfc",$140,4 Months of DirecTV Now w/ Apple TV 4K 32GB,https://www.dealnews.com/4-Months-of-Direc-TV-Now-w-Apple-TV-4-K-32-GB-for-140-free-shipping/2168561.html,2017-12-30T00:01:00-05:00,2168561,,"MOVIES, TV SHOWS & VIDEOS","At DirecTV Now, prepay for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089601,2168561"">four months of DirecTV Now service</a> for <b>$140</b> ($35/month) and receive the recently-released <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168561"">Apple TV 4K 32GB Media Receiver</a> for <b>free</b> via the steps below. It features Apple's A10X Fusion chip, which is 2x faster and provides 4x GPU performance over the previous generation Apple TV. It also supports 4K HDR content via HDR 10 and Dolby Vision. This deal includes the ""Live a Little"" package from DirecTV Now, which offers over 60 channels to stream live, with many shows available on demand. After four months, you'll be billed $35/month for the service, but you may cancel at any time. To get this deal:
<ol>
 <li>On <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089604,2168561"">this page</a>, click ""Redeem &amp; Stream""
 </li>
 <li>create your account
 </li>
 <li>select the ""Live a Little"" tab and click ""Continue with this plan""
 </li>
 <li>on the add-ons page, click ""Skip for now""
 </li>
 <li>choose the Apple TV 4K and click ""Add to plan"", then click ""Continue""
 </li>
 <li>you'll see a final price of <b>$140</b> on the checkout page
 </li>
</ol>
Note: You must use Chrome or Safari as your browser to get this deal.",
free shipping w/ Prime,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r5m3bnwukjuoszq36jyp",$22,Razor Jetts Heel Wheels,https://www.dealnews.com/Razor-Jetts-Heel-Wheels-for-22-free-shipping-w-Prime/2168513.html,2017-12-30T12:56:36-05:00,2168513,,TOYS & HOBBIES,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168513"">Razor Jetts Heel Wheels</a> for <strong>$21.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089505,2168513"">Target</a> charges the same with in-store pickup.) That's the lowest price we could find by $3. They fit shoe sizes from kids' 12 through men's 12.",
free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bevziw9zhscrhfo63aba",$23,Copper Bakeware 6-Piece Set,https://www.dealnews.com/Copper-Bakeware-6-Piece-Set-for-23-free-shipping/2168912.html,2017-12-30T12:45:29-05:00,2168912,,KITCHEN,"As one of its daily deals, 13 Deals offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168912"">Copper Bakeware 6-Piece Set</a> for <strong>$22.99</strong> with <strong>free shipping</strong>. That's $27 off and the best price we could find, although it was about a buck less in September. It includes two round cake pans, a muffin pan, cake pan, medium load pan, and cookie sheet. Deal ends today.",
free shipping,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/five7afu0b4mjrmqljs6",$51,KitchenAid Architect 16-Piece Cutlery Set,https://www.dealnews.com/Kitchen-Aid-Architect-16-Piece-Cutlery-Set-for-51-free-shipping/2168903.html,2017-12-30T12:43:01-05:00,2168903,,CUTLERY & FLATWARE,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168903"">KitchenAid Architect 16-Piece Cutlery Set</a> in Cocoa Silver for <b>$51.19</b> with <b>free shipping</b> via the steps below. That's $119 off list and the lowest price we could find. The set includes one 8"" chef's knife, one 8"" slicer, one 8"" bread knife, one 5.5"" serrated utility knife, one 4.5"" santoku knife, one 3.5"" santoku knife, one 3.5"" paring knife, kitchen shears, six steak knives, and a knife block with built in sharpener. Deal ends today. To get this price:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168903"">KitchenAid Architect 16-Piece Cutlery Set</a> for $79.99
 </li>
 <li>add it to your cart to drop it to $63.99
 </li>
 <li>apply coupon code ""FIT"" for a final price of <b>$51.19</b>
 </li>
</ol>",
free shipping,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wo1iqok8mbjaywrc4ttl",$32 w/ Prime,Gunnar Optiks Intercept Computer Glasses,https://www.dealnews.com/Gunnar-Optiks-Intercept-Computer-Glasses-for-32-w-Prime-free-shipping/2168906.html,2017-12-30T12:30:41-05:00,2168906,True,GLASSES & CONTACT LENSES,"For Prime members only, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168906"">Gunnar Optiks Intercept Computer Gaming Glasses</a> in Onyx for $39.99. In-cart, clip the ""up to 20% off"" coupon to knock it to <strong>$31.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $8; beyond that, many stores charge around $70. These glasses claim to reduce eye strain and block 65% of blue light emitted from electronic devices.",
$5 shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yt37roprvz5kwg8mdjmt",$10,"""Art of Blizzard Entertainment"" in Hardcover",https://www.dealnews.com/Art-of-Blizzard-Entertainment-in-Hardcover-for-10-5-s-h/2168891.html,2017-12-30T12:16:12-05:00,2168891,,BOOKS,"Barnes & Noble offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168891"">Nick Carpenter's <i>The Art of Blizzard Entertainment</i> Hardcover Book</a> for <strong>$9.99</strong> plus <strong>$4.99</strong> for shipping. That's $10 off and the lowest price we could find. (Third-party vendors charge significantly more, as this title is presumably no longer in print.)",
free shipping,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y7pnemm3w9cxsj9ix63z",$17,Pinhole Nanny WiFi DVR Cam,https://www.dealnews.com/Pinhole-Nanny-Wi-Fi-DVR-Cam-for-17-free-shipping/2168894.html,2017-12-30T12:11:37-05:00,2168894,,DIGITAL CAMCORDERS,"Etopmarket via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168894"">Pinhole Nanny WiFi DVR Cam</a> for <strong>$16.99</strong> with <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we could find now for such a camera by $5, excluding other eBay vendors. It features automatic video recording and a built-in rechargeable battery.",
free shipping w/ Prime,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/efilmwwlx8aoeiz42psz",$16,Exploding Kittens: A Card Game (NSFW Edition),https://www.dealnews.com/Exploding-Kittens-A-Card-Game-NSFW-Edition-for-16-free-shipping-w-Prime/2168879.html,2017-12-30T12:06:55-05:00,2168879,,CARD AND BOARD GAMES,"Exploding Kittens via Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168879"">Exploding Kittens: A Card Game (NSFW Edition)</a> for <strong>$15.99</strong> with <strong>free shipping</strong>. That's tied with our Black Friday week mention and the lowest price we could find by $3. This edition of the cult game includes 56 cards and accommodates two to five players.",
free shipping,2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/axytstfaexmh6bsmtpgh",$35,Waring Pro 4-Slice Toaster,https://www.dealnews.com/Waring-Pro-4-Slice-Toaster-for-35-free-shipping/2168888.html,2017-12-30T12:01:59-05:00,2168888,,SMALL APPLIANCES,"As one of its daily deals, Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168888"">Waring Pro 4-Slice Toaster</a> in Black/Stainless Steel for <strong>$34.99</strong> with <strong>free shipping</strong>. That's $35 off list and the lowest price we could find. It features a slide-out crumb tray and a defrost function. Deal ends today.",
free shipping w/ Prime,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o5vtdyvkon9soeujbk6q",$15,180-Degree Full Face Snorkel Mask,https://www.dealnews.com/180-Degree-Full-Face-Snorkel-Mask-for-15-free-shipping-w-Prime/2168882.html,2017-12-30T11:54:09-05:00,2168882,,SWIM,"ZSport via Amazon offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168882"">ZSport 180° Full Face Snorkel Mask</a> in several colors (Black pictured) with prices starting from $19.99. Coupon code "" KZA9HVXZ"" cuts that to <strong>$15</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's tied with our mention from a week ago and the lowest price we've seen. (It's the best deal now by $3.) It's available in sizes S/M or L/XL. Deal ends December 31.",
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f0vtk0ztegkn4ri3ovju",Up to 50% off,REI Holiday Clearance,https://www.dealnews.com/REI-Holiday-Clearance-Up-to-50-off/2168258.html,2017-12-30T00:01:00-05:00,2168258,,REI COUPONS,"REI takes <strong>up to 50% off</strong> select items as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168258"">Holiday Clearance</a>. Plus, save <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088644,2168258"">new markdowns</a> at REI Garage. Shipping adds <strong>$5.99</strong>, although orders of $50 or more bag free shipping. (Some large items may incur additional handling charges; in-store pickup is available for most items.) Choose from categories including outerwear, apparel, accessories, and more. Deal ends January 1.",
free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/g9p7hza4sld2ljm5z70b",$10,Oneida Uncork It Premium Corkscrew,https://www.dealnews.com/Oneida-Uncork-It-Premium-Corkscrew-for-10-free-shipping/2168876.html,2017-12-30T11:50:22-05:00,2168876,,KITCHEN,"Oneida offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168876"">Oneida Uncork It Premium Corkscrew</a> for $11.99. Coupon code ""DEALNEWSFREE"" drops it to <b>$9.59</b> and bags <b>free shipping</b>. That's the lowest price we could find by $13. It includes an extra spiral. Deal ends today.",
at Redbox locations,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cug8emdlve7g26csf1fd",$4,Used Alien: Covenant on Blu-ray,https://www.dealnews.com/Used-Alien-Covenant-on-Blu-ray-for-4-at-Redbox-locations/2168867.html,2017-12-30T11:48:22-05:00,2168867,True,BLU-RAY DISC MOVIES,"With stock varying by ZIP code, Redbox offers used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168867"">Alien: Covenant on Blu-ray</a> for <strong>$3.99</strong> at participating locations. That's $13 under the best deal we could find for a sealed copy.<br>
<br>
You can also get it as a used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089898,2168867"">DVD</a> for <strong>$4.99</strong>.",
free shipping,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8fedmd200kgdisvn63i",$7,Anchor Hocking 4-Bottle Wire Wine Rack,https://www.dealnews.com/Anchor-Hocking-4-Bottle-Wire-Wine-Rack-for-7-free-shipping/2168873.html,2017-12-30T11:39:49-05:00,2168873,,KITCHEN,"Ending today, Oneida offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168873"">Anchor Hocking 4-Bottle Wire Wine Rack</a> for $8.99. Coupon code ""DEALNEWSFREE"" cuts the price to <strong>$7.19</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $15.",
