time_modified,url,editors_choice,picture_url,shipping,price,description,title,category,time_published,uuid,hotness
,https://www.dealnews.com/Mainstays-Recliner-for-159-free-shipping/2169008.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t7scx74oxtxxtyrswy0r",free shipping,$159,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169008"">Mainstays Recliner</a> in three colors (Grey Fabric pictured) for <strong>$159</strong> with <strong>free shipping</strong>. That's $40 off and a great deal for a recliner. It features pocketed comfort coils and fingertip actuated recline control.",Mainstays Recliner,CHAIRS,2017-12-30T22:32:33-05:00,2169008,4
,https://www.dealnews.com/Insulated-16-oz.-Thermos-w-Tea-Strainer-for-10-free-shipping-w-Prime/2169005.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hva2w82uuxd8nyp1ryru",free shipping w/ Prime,$10,"EFO-S via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169005"">EFOSHM Insulated Stainless Steel 16-oz. Thermos with Removable Tea Strainer</a> in Black for $16.99. Clip the 40% off coupon to drop the price to <b>$10.19</b>. Plus, Prime members receive <b>free shipping</b>. That's $7 under our January mention and the lowest price we've seen. This double-wall, vacuum-insulated thermos is BPA-free.",Insulated 16oz. Thermos w/ Tea Strainer,KITCHEN,2017-12-30T22:14:27-05:00,2169005,5
,https://www.dealnews.com/Mass-Effect-Andromeda-Deluxe-for-Xbox-One-for-10-3-s-h/2169002.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wac3gwfjw4hlgqcmqll9",$3 shipping,$10,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169002"">Mass Effect: Andromeda Deluxe for Xbox One</a> for $19.99. Coupon code ""EMCBCDR39"" cuts the price to <strong>$9.99</strong>. With <strong>$2.99</strong> for shipping, that's the lowest price we could find by $10, although it was a a buck less two weeks ago.",Mass Effect: Andromeda Deluxe for Xbox One,GAMES,2017-12-30T21:19:09-05:00,2169002,3
,https://www.dealnews.com/Staples-Bresser-Luxura-Managers-Chair-for-68-free-shipping/2168999.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f9wn4tixywx22ycx9uyt",free shipping,$68,"Staples offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168999"">Staples Bresser Luxura Managers Chair</a> in Tan for <strong>$67.86</strong> with <strong>free shipping</strong>. That's $81 off and the lowest price we could find. It's weight-rated to 225-lbs. and features pneumatic seat height adjustment, internal lumbar support, and adjustable tilt tension and lock.",Staples Bresser Luxura Managers Chair,OFFICE CHAIRS,2017-12-30T21:07:17-05:00,2168999,5
,https://www.dealnews.com/Mainstays-Adjustable-Height-Barstool-3-pk-for-50-pickup-at-Walmart/2168996.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h1wnhrcuqki32g6opoyd",pickup at Walmart,$50,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168996"">Mainstays Adjustable-Height Swivel Barstool 3-Pack</a> for <strong>$50</strong> with <strong>free shipping</strong>. That's $49 off and the lowest price we could find. They are adjustable from 24"" to 29"".",Mainstays Adjustable-Height Barstool 3pk,HOME FURNITURE,2017-12-30T20:54:59-05:00,2168996,4
,https://www.dealnews.com/Seat-Well-Ergonomic-Task-Chair-from-40-free-shipping/2168987.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckqmvbuikv7co3oxoxgb",free shipping,from $40,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168987"">SeatWell Ergonomic Task Chair</a> in several colors (White pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (Non-members pay a $3.99 surcharge.) That's $10 off and the lowest price we could find. It has a weight capacity of up to 300 lbs.",SeatWell Ergonomic Task Chair,OFFICE CHAIRS,2017-12-30T19:30:00-05:00,2168987,3
,https://www.dealnews.com/Cuisinart-8-Piece-Copper-Cookware-Set-for-180-5-s-h/2168945.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hc2huwiwmxqbnkwbjiqy",$5 shipping,$180,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168945"">Cuisinart 8-Piece Tri-Ply Hammered Copper Cookware Set</a> for <strong>$179.99</strong> plus <strong>$5</strong> for shipping. That's $144 off and the lowest price we could find. It includes three pots with lids and two skillets. Deal ends today.",Cuisinart 8-Piece Copper Cookware Set,KITCHEN,2017-12-30T19:00:00-05:00,2168945,3
,https://www.dealnews.com/CRKT-Ruger-Crack-Shot-Compact-Knife-for-20-5-s-h/2168960.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hv5cacrbiwi9pclqmft1",$5 shipping,$20,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168960"">CRKT Ruger Crack-Shot Compact Knife</a> for <strong>$19.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $4. It features a 3"" blade. Deal ends today.",CRKT Ruger Crack-Shot Compact Knife,KNIVES & MULTITOOLS,2017-12-30T18:30:00-05:00,2168960,3
,https://www.dealnews.com/The-Ripple-Trilogy-Kindle-eBook-Box-Set-for-free/2168957.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wekayadzdttbt2eavquf",,free,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168957"">Cidney Swanson's <i>The Ripple Trilogy: Books 1-3</i> for Kindle</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089955,2168957"">Barnes &amp; Noble</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089958,2168957"">Kobo</a> charge the same.) That's $8 off and the lowest price we could find.","""The Ripple Trilogy"" Kindle eBook Box Set",EBOOKS,2017-12-30T18:00:00-05:00,2168957,5
,"https://www.dealnews.com/lw/click.html?20,2,2168609",,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ttmjwoteco6cqmdv7rzz",,$200 Cash Rewards Bonus,"At Wells Fargo, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168609"">Wells Fargo Cash Wise Visa® Card</a> and receive a <strong>$200 Cash Rewards Bonus</strong> after you spend at least $1,000 on purchases in the first 3 months of account opening. Plus, you'll earn <strong>unlimited 1.5% Cash Rewards</strong> with no category limitations or quarterly activations. Also, earn <strong>1.8% Cash Rewards</strong> on Android Pay™ or Apple Pay® mobile wallet purchases during the first 12 months from account opening. Enjoy a <strong>0% Intro APR</strong> on purchases and balance transfers for 12 months. After that your variable APR will be 14.24% to 26.24%. Balance transfer fees apply. Finally, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089667,2168609"">click here</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",Wells Fargo Cash Wise Visa® Card,CREDIT CARDS,2017-12-30T00:01:00-05:00,2168609,
