editors_choice,description,url,time_published,picture_url,category,time_modified,uuid,price,hotness,title,shipping
,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169311"">Alex Toys Shimmer and Shine Knot-a-Pillow</a> for <strong>$5.29</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes everything necessary to create a 15"" round pillow without sewing.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",https://www.dealnews.com/Alex-Toys-Shimmer-and-Shine-Knot-a-Pillow-for-5-w-25-purchase-free-shipping-w-Prime/2169311.html,2017-12-31T23:48:20-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h96kpguog1m7bfqimd5l",TOYS & HOBBIES,,2169311,$5 w/ $25 purchase,0,Alex Toys Shimmer and Shine Knot-a-Pillow,free shipping w/ Prime
,"Sam's Club offers members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169308"">Kershaw FreeFall Folding Knife</a> for <strong>$9.98</strong> with <strong>free shipping</strong>. (Non-members pay a $1 surcharge. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090222,2169308"">Amazon</a> charges the same price with free shipping for Prime members, although it's temporarily out of stock.) That's tied with last month's mention and the lowest price we could find by $11. It features a 3.25"" blade, speedsafe assist opening, liner lock, and lanyard hole.",https://www.dealnews.com/Kershaw-Free-Fall-Folding-Knife-from-10-free-shipping/2169308.html,2017-12-31T23:28:59-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p356v1pu9stlznbqh9bz",KNIVES & MULTITOOLS,,2169308,from $10,5,Kershaw FreeFall Folding Knife,free shipping
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169305"">Disney Frozen Elsa Sparkling Smile 3-Piece Set</a> for <strong>$2.44</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $2 off list and the lowest price we could find. It includes a toothbrush holder, toothbrush, and rinse cup.",https://www.dealnews.com/Frozen-Elsa-Sparkling-Smile-3-Piece-Set-for-2-pickup-at-Walmart/2169305.html,2017-12-31T23:07:52-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mxou4emknpehbl38iidn",TOOTHBRUSHES,,2169305,$2,4,Frozen Elsa Sparkling Smile 3-Piece Set,pickup at Walmart
,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169302"">V8 V-Fusion 8-oz. Energy Drink 24-Pack</a> in Orange Pineapple for <strong>$11.14</strong> with <strong>free shipping</strong> via the steps below. That's $9 under what you'd pay in-store locally, although we saw it for a buck less in August. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169302"">V8 V-Fusion 8-oz. Energy Drink 24-Pack</a> for $15.92
 </li>
 <li>clip the 25% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$11.14</strong>
 </li>
</ol>
Note: Be sure to cancel Subscribe & Save after your order ships to avoid being billed for subsequent shipments.",https://www.dealnews.com/V8-V-Fusion-8-oz.-Energy-Drink-24-Pack-for-11-free-shipping/2169302.html,2017-12-31T22:50:04-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jwsaxoh4o6vajssbotoa",GROCERIES,,2169302,$11,4,V8 V-Fusion 8-oz. Energy Drink 24-Pack,free shipping
,"GuaranteeCellular via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169299"">OEM Samsung EG920 In-Ear Headphones for Samsung Galaxy Smartphones</a> in White for <strong>$2.99</strong> with <strong>free shipping</strong>. That's tied with our mention from four days ago, since expired, and the lowest price we could find by $3, outside of other eBay vendors. They feature an in-line microphone and volume control.",https://www.dealnews.com/Samsung-EG920-In-Ear-Headphones-for-3-free-shipping/2169299.html,2017-12-31T22:28:01-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jgg7fkgkkvfjd436uftj",HEADPHONES,,2169299,$3,4,Samsung EG920 In-Ear Headphones,free shipping
True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169296"">Disney Frozen Little Kingdom Elsa's Magical Snow Maker</a> for <strong>$8.31</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. It includes a doll, two outfits, ice cube tray, and water pen.",https://www.dealnews.com/Little-Kingdom-Elsas-Magical-Snow-Maker-for-8-free-shipping-w-Prime/2169296.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mebhgebixdzeudslaumb",TOYS & HOBBIES,2017-12-31T22:07:27-05:00,2169296,$8,3,Little Kingdom Elsa's Magical Snow Maker,free shipping w/ Prime
,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169293"">Greenco 5-Tier Wall Mount Corner Shelves</a> in Walnut for <strong>$19.99</strong> with <strong>free shipping</strong>. That's tied with last week's mention and the lowest price we could find by $6. It measures 7.75"" x 7.75"" x 48.5"" and includes all necessary mounting hardware.",https://www.dealnews.com/Greenco-5-Tier-Wall-Mount-Corner-Shelves-for-20-free-shipping-w-Prime/2169293.html,2017-12-31T21:49:07-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k5vz5c3vevrelnzy5t7u",DECOR,,2169293,$20,5,Greenco 5-Tier Wall Mount Corner Shelves,free shipping w/ Prime
,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169290""><i>Playing With Super Power: Nintendo Super NES Classics</i> Paperback Book</a> for <strong>$9.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090219,2169290"">Target</a> charges the same via pickup.) That's the lowest price we could find by $5. It includes history, fan art, music, and speedrunning strategies for top SNES games.",https://www.dealnews.com/Playing-With-Super-Power-Paperback-Book-for-10-free-shipping-w-Prime/2169290.html,2017-12-31T21:35:48-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mjcaitvvt3ibmsvfinay",BOOKS,,2169290,$10,4,"""Playing With Super Power"" Paperback Book",free shipping w/ Prime
,"SanDisk takes an <strong>extra 10% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090216,2169287"">items</a> via coupon code ""AfterXmas"" during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169287"">After Christmas Clearance Sale</a>. Plus, the same code nets <strong>free shipping</strong>. Save on memory cards, flash drives, earbuds, and MP3 players.",https://www.dealnews.com/San-Disk-After-Christmas-Clearance-Sale-Extra-10-off-free-shipping/2169287.html,2017-12-31T21:16:19-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t8uqi8y78as1vdqtr7u1",COMPUTER ACCESSORIES,,2169287,Extra 10% off,5,SanDisk After Christmas Clearance Sale,free shipping
,"With a 2-year TV and a 1-year Internet agreement, AT&T offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168576"">AT&amp;T Internet 50 service</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089631,2168576"">DIRECTV Select</a> and a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089634,2168576"">$300 in Reward Cards</a> for <strong>$65 per month</strong> for the first 12 months. (Scroll down. It's the offer on the right under ""Bundle AT&T services and save"".) The Internet 50 service features speeds up to 50Mbps with unlimited data. DIRECTV Select features over 150 channels, HD DVR service, plus HBO, SHOWTIME, STARZ, and Cinemax for three months. (Plan prices may vary by location. The cost for months 13-24 is $106/mo.)",https://www.dealnews.com/DIRECTV-AT-T-Internet-300-in-Reward-Cards-for-65-per-month/2168576.html,2017-12-31T00:01:00-05:00,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rurgdozgvabmllj0w2p6",COMPUTER SERVICES,,2168576,$65 per month,,"DIRECTV + AT&T Internet, $300 in Reward Cards",
