url,editors_choice,description,time_modified,hotness,title,picture_url,uuid,category,shipping,price,time_published
https://www.dealnews.com/Alex-Toys-Shimmer-and-Shine-Knot-a-Pillow-for-5-w-25-purchase-free-shipping-w-Prime/2169311.html,,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169311"">Alex Toys Shimmer and Shine Knot-a-Pillow</a> for <strong>$5.29</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes everything necessary to create a 15"" round pillow without sewing.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",,0,Alex Toys Shimmer and Shine Knot-a-Pillow,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h96kpguog1m7bfqimd5l",2169311,TOYS & HOBBIES,free shipping w/ Prime,$5 w/ $25 purchase,2017-12-31T23:48:20-05:00
https://www.dealnews.com/Kershaw-Free-Fall-Folding-Knife-from-10-free-shipping/2169308.html,,"Sam's Club offers members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169308"">Kershaw FreeFall Folding Knife</a> for <strong>$9.98</strong> with <strong>free shipping</strong>. (Non-members pay a $1 surcharge. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090222,2169308"">Amazon</a> charges the same price with free shipping for Prime members, although it's temporarily out of stock.) That's tied with last month's mention and the lowest price we could find by $11. It features a 3.25"" blade, speedsafe assist opening, liner lock, and lanyard hole.",,4,Kershaw FreeFall Folding Knife,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p356v1pu9stlznbqh9bz",2169308,KNIVES & MULTITOOLS,free shipping,from $10,2017-12-31T23:28:59-05:00
https://www.dealnews.com/Frozen-Elsa-Sparkling-Smile-3-Piece-Set-for-2-pickup-at-Walmart/2169305.html,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169305"">Disney Frozen Elsa Sparkling Smile 3-Piece Set</a> for <strong>$2.44</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $2 off list and the lowest price we could find. It includes a toothbrush holder, toothbrush, and rinse cup.",,4,Frozen Elsa Sparkling Smile 3-Piece Set,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mxou4emknpehbl38iidn",2169305,TOOTHBRUSHES,pickup at Walmart,$2,2017-12-31T23:07:52-05:00
https://www.dealnews.com/V8-V-Fusion-8-oz.-Energy-Drink-24-Pack-for-11-free-shipping/2169302.html,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169302"">V8 V-Fusion 8-oz. Energy Drink 24-Pack</a> in Orange Pineapple for <strong>$11.14</strong> with <strong>free shipping</strong> via the steps below. That's $9 under what you'd pay in-store locally, although we saw it for a buck less in August. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169302"">V8 V-Fusion 8-oz. Energy Drink 24-Pack</a> for $15.92
 </li>
 <li>clip the 25% off coupon on the product page
 </li>
 <li>order via Subscribe &amp; Save for a final price of <strong>$11.14</strong>
 </li>
</ol>
Note: Be sure to cancel Subscribe & Save after your order ships to avoid being billed for subsequent shipments.",,4,V8 V-Fusion 8-oz. Energy Drink 24-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jwsaxoh4o6vajssbotoa",2169302,GROCERIES,free shipping,$11,2017-12-31T22:50:04-05:00
https://www.dealnews.com/Samsung-EG920-In-Ear-Headphones-for-3-free-shipping/2169299.html,,"GuaranteeCellular via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169299"">OEM Samsung EG920 In-Ear Headphones for Samsung Galaxy Smartphones</a> in White for <strong>$2.99</strong> with <strong>free shipping</strong>. That's tied with our mention from four days ago, since expired, and the lowest price we could find by $3, outside of other eBay vendors. They feature an in-line microphone and volume control.",,4,Samsung EG920 In-Ear Headphones,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jgg7fkgkkvfjd436uftj",2169299,HEADPHONES,free shipping,$3,2017-12-31T22:28:01-05:00
https://www.dealnews.com/Little-Kingdom-Elsas-Magical-Snow-Maker-for-8-free-shipping-w-Prime/2169296.html,True,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169296"">Disney Frozen Little Kingdom Elsa's Magical Snow Maker</a> for <strong>$8.31</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. It includes a doll, two outfits, ice cube tray, and water pen.",2017-12-31T22:07:27-05:00,3,Little Kingdom Elsa's Magical Snow Maker,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mebhgebixdzeudslaumb",2169296,TOYS & HOBBIES,free shipping w/ Prime,$8,
https://www.dealnews.com/Greenco-5-Tier-Wall-Mount-Corner-Shelves-for-20-free-shipping-w-Prime/2169293.html,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169293"">Greenco 5-Tier Wall Mount Corner Shelves</a> in Walnut for <strong>$19.99</strong> with <strong>free shipping</strong>. That's tied with last week's mention and the lowest price we could find by $6. It measures 7.75"" x 7.75"" x 48.5"" and includes all necessary mounting hardware.",,5,Greenco 5-Tier Wall Mount Corner Shelves,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/k5vz5c3vevrelnzy5t7u",2169293,DECOR,free shipping w/ Prime,$20,2017-12-31T21:49:07-05:00
https://www.dealnews.com/Playing-With-Super-Power-Paperback-Book-for-10-free-shipping-w-Prime/2169290.html,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169290""><i>Playing With Super Power: Nintendo Super NES Classics</i> Paperback Book</a> for <strong>$9.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090219,2169290"">Target</a> charges the same via pickup.) That's the lowest price we could find by $5. It includes history, fan art, music, and speedrunning strategies for top SNES games.",,4,"""Playing With Super Power"" Paperback Book","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mjcaitvvt3ibmsvfinay",2169290,BOOKS,free shipping w/ Prime,$10,2017-12-31T21:35:48-05:00
https://www.dealnews.com/San-Disk-After-Christmas-Clearance-Sale-Extra-10-off-free-shipping/2169287.html,,"SanDisk takes an <strong>extra 10% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090216,2169287"">items</a> via coupon code ""AfterXmas"" during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169287"">After Christmas Clearance Sale</a>. Plus, the same code nets <strong>free shipping</strong>. Save on memory cards, flash drives, earbuds, and MP3 players.",,5,SanDisk After Christmas Clearance Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t8uqi8y78as1vdqtr7u1",2169287,COMPUTER ACCESSORIES,free shipping,Extra 10% off,2017-12-31T21:16:19-05:00
"https://www.dealnews.com/lw/click.html?20,2,2168627",,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168627"">BankAmericard® Credit Card</a> and receive a <strong>$0 Intro balance transfer fee</strong> for the first 60 days your account is open. After that, the fee for future balance transfers is 3% (min. $10). There's also <strong>no penalty APR</strong>. Paying late won't automatically raise your interest rate (APR). You can also <strong>access your FICO Score</strong> for free within Online Banking or your Mobile Banking app. Plus, the <strong>Zero Liability Fraud protection</strong> insures you're not responsible for any fraudulent charges made on your account. Also, the BankAmericard® credit card features chip technology for enhanced security at chip-enabled merchant terminals. Other account pricing and terms apply. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,,BankAmericard® Credit Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/neoa6i4qkb20kr8rjl1e",2168627,CREDIT CARDS,,0% intro fee,2018-01-01T00:01:00-05:00
