hotness,picture_url,time_modified,url,title,time_published,uuid,editors_choice,description,price,category,shipping
0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w9cj9uef0oq68b6f47zv",,https://www.dealnews.com/Vatos-Remote-Control-Car-for-25-free-shipping/2169332.html,Vatos Remote Control Car,2018-01-01T01:58:08-05:00,2169332,,"Vatos Toys via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169332"">Vatos Remote Control Car</a> for $49.99. Coupon code ""F2JE5N9O"" cuts it to <strong>$24.99</strong>. With <strong>free shipping</strong>, that's a $2 drop from two weeks ago and the lowest price we could find. It features a 164-foot range, 9 mph top speed, 15 minute playing time on full charge, and 180-minute charge time. Deal ends January 10.",$25,TOYS & HOBBIES,free shipping
0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bocy5xkpwxtb74e3w62t",,https://www.dealnews.com/Crest-Toothpaste-at-Walgreens-from-1-pickup/2169329.html,Crest Toothpaste at Walgreens,2018-01-01T01:40:14-05:00,2169329,True,"For its Balance Reward members, Walgreens offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169329"">Crest toothpaste</a> from $2.99. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090249,2169329"">join</a>.) Clip the $2 off coupon to drop starting prices to <strong>99 cents</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's $2 under what you'd pay at other retail stores. Deal ends January 27.",from $1,TOOTHPASTE,pickup
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ti7nirc5uaf0gfxozooj",,https://www.dealnews.com/Dillards-Permanently-Reduced-Items-Extra-50-off/2169323.html,Dillard's Permanently-Reduced Items,2018-01-01T01:20:16-05:00,2169323,True,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169323"">Dillard's</a> takes an <strong>extra 50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090243,2169323"">permanently-reduced items</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090246,2169323"">New Year's Day Clearance Event</a>. (Prices are as marked.) That's tied with our Black Friday week mention as the best extra percent-off discount we've seen from Dillard's. Shipping starts at <strong>$8.50</strong>. Choose from items such as apparel, lingerie, handbags, shoes, and home goods.",Extra 50% off,CLOTHING & ACCESSORIES,
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wckv8djgqj4t9zmunlon",,https://www.dealnews.com/Steve-Madden-Solid-Classic-Sport-Backpack-for-16-8-s-h/2169326.html,Steve Madden Solid Classic Sport Backpack,2018-01-01T01:15:37-05:00,2169326,,"Nordstrom Rack offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169326"">Steve Madden Solid Classic Sport Backpack</a> in Olive for <strong>$15.75</strong> plus <strong>$7.95</strong> for shipping. That's the lowest price we could find by $16. It measures 17"" x 11"" x 5"" and features dual, adjustable padded shoulder straps, front zip storage pocket, front zip around pocket, top zip stash pocket, and earphone cord eyelet.",$16,BACKPACKS,$8 shipping
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/waf8im2uodz5qalddamk",,https://www.dealnews.com/Firestone-Lifetime-Wheel-Alignment-for-120/2169320.html,Firestone Lifetime Wheel Alignment,2018-01-01T00:55:40-05:00,2169320,True,"Today only, Firestone Auto Care offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169320"">Lifetime Wheel Alignment</a> for <strong>$119.99</strong> via this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090240,2169320"">printable coupon</a>. That's tied with last year's mention, $70 off, and the best deal we've seen for this service. This entitles you to a standard alignment service, as well as free wheel alignments for as long as you own your vehicle.",$120,AUTOMOTIVE,
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ms1lv1yrwkmutbr5vkop",,https://www.dealnews.com/2-Something-Strong-Bags-for-50-free-shipping/2169317.html,2 Something Strong Bags,2018-01-01T00:46:38-05:00,2169317,True,"Something Strong via Flagship offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169317"">Something Strong backpacks, messenger bags, duffel bags, and laptop bags</a> for $89.99. Better yet, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090237,2169317"">add two</a> to your cart and apply coupon code ""BAGS"" to cut the price to <strong>$50</strong>. With <strong>free shipping</strong>, that's the lowest price we could find for any Something Strong bag by at least $30. Deal ends January 2.<br>
<br>
Note: This coupon applies to bags priced at $99 but drops the final price for two to $99.",$50,BACKPACKS,free shipping
4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kfqxjlw6hdejw18xtmwm",,https://www.dealnews.com/Philosophy-Gift-Sets-at-Macys-50-off-free-shipping/2169188.html,Philosophy Gift Sets at Macy's,2018-01-01T00:27:29-05:00,2169188,,"Macy's takes <strong>50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090195,2169188"">Philosophy Gift Sets</a>, with prices starting from <strong>$12.50</strong>. Plus, all orders receive <strong>free shipping</strong>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169188"">Philosophy 4-Piece Fresh Cream Gift Set</a> for <strong>$16</strong> (pictured, low by $12)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090183,2169188"">Philosophy 3-Piece Let Every Adventure Uplift You Gift Set</a> for <strong>$30</strong> (low by $24)
 </li>
</ul>
Note: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090192,2169188"">Nordstrom</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090189,2169188"">Bon-Ton</a> are also taking 50% off select Philosophy sets, including some sets not available at Macy's. Nordstrom has free shipping and Bon-Ton offers free shipping via coupon code ""BEAUTY"".",50% off,PERSONAL CARE,free shipping
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nscdynrvfrd8i8wm53ji",,https://www.dealnews.com/Unlocked-Nokia-3310-3-G-Cell-Phone-Bundle-from-47-free-shipping/2169314.html,Unlocked Nokia 3310 3G Cell Phone Bundle,2018-01-01T00:19:56-05:00,2169314,True,"Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169314"">Unlocked Nokia 3310 3G Cell Phone</a> in several colors (Charcoal pictured) bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090225,2169314"">Cricket Wireless Universal SIM Card Activation Kit</a> and a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090228,2169314"">Refill Card</a> from <strong>$46.98</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $53. This GSM phone features 2.4"" 320x240 LCD display, 16MB memory, Bluetooth, 2-megapixel camera, FM radio, and microSD slot. To get this deal:
<ol>
 <li>Add the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169314"">Unlocked Nokia 3310 3G Cell Phone</a> to your cart for $54.99
 </li>
 <li>select ""add to offer"" for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090231,2169314"">Cricket Wireless Universal SIM Card Activation Kit</a> for $9.99
 </li>
 <li>select ""add to offer"" for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090234,2169314"">refill card</a> of your choice
 </li>
 <li>click ""add to cart"" at the bottom of the page
 </li>
 <li>at final checkout, the price will drop to a starting price of <strong>$46.98</strong>, depending on the card selected
 </li>
</ol>",from $47,CELL PHONES,free shipping
5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wqbsox7u3pj5dlv2nfir",,https://www.dealnews.com/Steve-Madden-Sale-and-Clearance-Extra-40-off/2169158.html,Steve Madden Sale and Clearance,2018-01-01T00:12:38-05:00,2169158,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169158"">Steve Madden</a> cuts an <b>extra 40% off</b> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090126,2169158"">sale and clearance styles</a> via coupon code ""CHEERS"". Shipping adds a flat <strong>$7.95</strong>. Alternatively, for orders <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090129,2169158"">under $20</a>, bag <strong>free shipping</strong> via coupon code ""SHIP"" (Codes don't stack, but it yields a stronger discount on these orders.) Some exclusions may apply. Deal ends December 2.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1689/Steve-Madden/"">Steve Madden Coupons</a>.</p>",Extra 40% off,SHOES,
,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",,"https://www.dealnews.com/lw/click.html?20,2,2167586",Chase Sapphire Preferred® Card,2017-12-28T12:11:32-05:00,2167586,,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167586"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086874,2167586"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086877,2167586"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","50,000 bonus points",CREDIT CARDS,
