picture_url,description,time_published,category,uuid,url,hotness,price,editors_choice,shipping,title,time_modified
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vstekzvbirdpmtcama5y","TacklifeDirect via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169380"">Tacklife FK02 Pocket Folding Knife</a> for $8.97. Coupon code ""9Z3ZV4QV"" cuts it to <strong>$4.48</strong>. With <strong>free shipping</strong> for Prime members, that's $5 off and the lowest price we could find. It measures 4.7"" when closed and features a textured handle and a belt clip. Deal ends January 4.<br>
<br>
Note: the same code as above drops the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090303,2169380"">Tacklife FK04 Pocket Folding Knife</a> to <strong>$4.98</strong> or the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090306,2169380"">Tacklife FK03 Pocket Folding Knife</a> to <strong>$5.49</strong>, both with <strong>free shipping</strong> for Prime members.",2018-01-01T07:19:29-05:00,KNIVES & MULTITOOLS,2169380,https://www.dealnews.com/Tacklife-Pocket-Folding-Knife-for-4-free-shipping-w-Prime/2169380.html,0,$4,,free shipping w/ Prime,Tacklife Pocket Folding Knife,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ehsjnplbaoiticgmv3ei","As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169374"">Champion Sports Medicine Ball Tree</a> for <strong>$39.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $17. It holds up to five medicine balls and measures 15"" x 11"" x 52"". Deal ends today.",2018-01-01T07:11:53-05:00,SPORTS & FITNESS,2169374,https://www.dealnews.com/Champion-Sports-Medicine-Ball-Tree-for-40-free-shipping/2169374.html,3,$40,,free shipping,Champion Sports Medicine Ball Tree,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tzbvc0sbqma9ftdg38cm","Art of Deals via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169377"">Alpine Swiss Men's Niko Down Jacket</a> in Green for <strong>$24.99</strong> with <strong>free shipping</strong>. That's tied with our mention from November and the lowest price we could find by $6 today. It's available in sizes S to XXL.",2018-01-01T07:00:37-05:00,COATS,2169377,https://www.dealnews.com/Alpine-Swiss-Mens-Niko-Down-Jacket-for-25-free-shipping/2169377.html,4,$25,,free shipping,Alpine Swiss Men's Niko Down Jacket,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dv1yhxejy53h6qsoplfc","Gear up for 2018 shopping, because all of these <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/Items-That-Will-Be-Less-Expensive-in-2018/"">products are likely to cost less this year</a>. Get ready to shop for 4K TVs, VR headsets, used cars, and more.",2018-01-01T07:00:01-05:00,CONSUMER NEWS,2167511,https://www.dealnews.com/features/Items-That-Will-Be-Less-Expensive-in-2018/,,,,,8 Things That Will Be LESS Expensive in 2018,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/auzzzl3mavnudekppd64","Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169368"">Kobalt 19-Piece SAE Mechanic's Tool Set</a> for <b>$19.98</b>. Plus, MyLowe's members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090285,2169368"">join</a>.) That's tied with last week's mention and the lowest price we could find today by $44. It includes 16 common shallow and deep SAE sockets, a ratchet, extension, universal joint, and blow-molded case.",2018-01-01T06:59:44-05:00,HAND TOOLS,2169368,https://www.dealnews.com/Kobalt-19-Piece-SAE-Mechanics-Tool-Set-for-20-free-shipping/2169368.html,5,$20,,free shipping,Kobalt 19-Piece SAE Mechanic's Tool Set,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jtswwmpy3jtrihrsatoa","As one of its daily deals, Amazon cuts <strong>30% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090300,2169371"">Energy &amp; Diet Products</a>, with prices starting at <strong>$11.93</strong>. (Some feature additional discounts via on-page coupons or Subscribe & Save.) Plus, Prime members bag <strong>free shipping</strong> on all orders. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090297,2169371"">Cellucor C4 Original Pre Workout Powder Energy Drink</a> for <strong>$11.93</strong> (low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169371"">Optimum Nutrition Pre-Workout 30 Servings Tub</a> <strong>$16.62</strong> (pictured, low by $14)
 </li>
</ul>",2018-01-01T06:58:53-05:00,SUPPLEMENTS,2169371,https://www.dealnews.com/Energy-Diet-Products-at-Amazon-30-off-from-12-free-shipping-w-Prime/2169371.html,5,"30% off, from $12",,free shipping w/ Prime,Energy & Diet Products at Amazon,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ecsunhpzedmyhchck6w1","As one of its daily deals, Amazon offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090288,2169365"">fitness equipment</a>, with prices starting from <strong>$8.49</strong>. Plus, Prime members receive <strong>free shipping</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090291,2169365"">Harbinger 24x60"" Tri-Fold Exercise Mat</a> for <strong>$23.99</strong> (low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169365"">Lifeline Power Wheel</a> for <strong>$37.49</strong> (pictured, low by $2, most charge $44+)
 </li>
</ul>",2018-01-01T06:02:06-05:00,EXERCISE EQUIPMENT,2169365,https://www.dealnews.com/Fitness-Equipment-at-Amazon-Deals-from-8-free-shipping-w-Prime/2169365.html,5,Deals from $8,,free shipping w/ Prime,Fitness Equipment at Amazon,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/s82wyka3nr49pnet4ort","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169359"">Hanes</a> cuts <strong>up to 75% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090273,2169359"">clearance items</a>. Plus, all orders receive <b>free shipping</b>. (Shipping normally adds $7.99 for all orders under $60.) Sizes and stock are limited for some items.",2018-01-01T05:45:22-05:00,CLOTHING & ACCESSORIES,2169359,https://www.dealnews.com/Hanes-Clearance-Sale-Up-to-75-off-free-shipping/2169359.html,5,Up to 75% off,,free shipping,Hanes Clearance Sale,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dqzoum3czcnqlqabxty2","Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169362"">Gaiam Muse: The Brain Sensing Headband</a> in Black or White for <strong>$189.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090276,2169362"">Gaiam</a> direct charges the same.) That's tied with last week's mention as $60 off list and the lowest price we could find. It works with the Muse app (available on <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090279,2169362"">iOS</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090282,2169362"">Android</a> devices) to calm your mind and deliver feedback.",2018-01-01T05:42:25-05:00,EXERCISE EQUIPMENT,2169362,https://www.dealnews.com/Gaiam-Muse-The-Brain-Sensing-Headband-for-190-free-shipping/2169362.html,3,$190,,free shipping,Gaiam Muse: The Brain Sensing Headband,
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev","At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168336"">$15 Sam's Club Gift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088923,2168336"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088926,2168336"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",2018-01-01T00:01:00-05:00,SAM'S CLUB COUPONS,2168336,https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2168336.html,,free w/ membership,,,$15 Sam's Club Gift Card,
