editors_choice,hotness,time_modified,title,uuid,url,price,picture_url,category,shipping,description,time_published
True,0,,Galaxy S8 64GB Phone w/ Tab E 32GB for VZW,2169629,https://www.dealnews.com/Galaxy-S8-64-GB-Phone-w-Tab-E-32-GB-for-VZW-for-432-w-2-yr-contract-free-shipping/2169629.html,$432 w/ 2yr contract,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwzkltlflspdtesqyfjb",ANDROID PHONES,free shipping,"Today only, for qualified customers and with activation of a new 2-year contract, Verizon Wireless offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169629"">Samsung Galaxy S8 64GB 4G LTE Android Smartphone for Verizon Wireless</a> in several colors (Orchid Gray pictured) bundled with the 0.8-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091164,2169629"">Samsung Galaxy Tab E 8"" 32GB 4G LTE Android Tablet for Verizon Wireless</a> in Dark Gray for <b>$18/month for 24 months</b> ($432 total) with <b>free shipping</b> when you add each item to cart with monthly device payments. (Add both items to cart to see this price.) That's $124 under the lowest price we could find for <i>just the phone</i> for Verizon elsewhere. Note: You'll receive your savings as a monthly bill credit.<br>
<br>
The water-resistant phone features a Qualcomm Snapdragon 835 2.35GHz 8-core processor, 5.8"" 2960x1440 Super AMOLED touchscreen, 4GB RAM, 64GB storage, Dual Pixel 12-megapixel rear camera, 8-megapixel front-facing camera, 4K video recording, 802.11ac wireless, Bluetooth 5.0, microSD card slot, USB 3.1 Type-C, fingerprint sensor, and Android 7.0 (Nougat). The tablet features an Exynos 7570 1.4GHz quad-core processor, 8"" 1280x800 touchscreen LCD, 1.5GB RAM, 32GB storage, 5-megapixel rear camera, 2-megapixel front-facing camera, WiFi, Bluetooth 4.2, microSD card slot, and Android 7.1.1 (Nougat).",2018-01-01T13:58:57-05:00
,0,,Filson Men's Short Cruiser Jacket,2169626,https://www.dealnews.com/Filson-Mens-Short-Cruiser-Jacket-for-109-14-s-h/2169626.html,$109,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/drpldu0fc94k6eyf72cl",COATS,$14 shipping,"Sierra Trading Post offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169626"">Filson Men's Short Cruiser Jacket</a> in Olive for <strong>$109</strong> plus <strong>$13.95</strong> for shipping. That's the lowest price we could find by $68. It's available in sizes S to XL.",2018-01-01T13:56:41-05:00
,0,,Green Alien 2L Hydration Backpack,2169599,https://www.dealnews.com/Green-Alien-2-L-Hydration-Backpack-for-9-free-shipping/2169599.html,$9,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/na0z29wkylk9rwx9gtlm",BACKPACKS,free shipping,"GearXS via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169599"">Green Alien 2-Liter Hydration Backpack</a> in Black or Orange for <strong>$8.99</strong> with <strong>free shipping</strong>. That's $36 off list and the lowest price we could find. It features a flexible drinking tube and adjustable elastic cord.",2018-01-01T13:56:24-05:00
,0,,Teespring Women's Fab Fitness Leggings,2169614,https://www.dealnews.com/Teespring-Womens-Fab-Fitness-Leggings-for-20-free-shipping/2169614.html,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gsrf8o8muimkmko5klob",ACTIVEWEAR,free shipping,"Teespring via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169614"">Teespring Women's Fab Fitness Leggings</a> in several styles (Geometric pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $25 off list and the lowest price we could find. They're available in sizes XS to XL.",2018-01-01T13:55:59-05:00
,0,,Guess Women's Drama Square Sunglasses,2169620,https://www.dealnews.com/Guess-Womens-Drama-Square-Sunglasses-for-39-free-shipping/2169620.html,$39,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qgtcs9q50heunuz1mfnl",SUNGLASSES,free shipping,"Walkintofashion via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169620"">Guess Women's Drama Square Sunglasses</a> in Gold/Black or Rose Gold/White for <strong>$39.19</strong> with <strong>free shipping</strong>. That's $59 off and the lowest price we could find. They feature 60mm lenses.",2018-01-01T13:55:00-05:00
,0,,Ralph Lauren Happy New Year Sale,2169584,https://www.dealnews.com/Ralph-Lauren-Happy-New-Year-Sale-Extra-30-off-free-shipping-w-125/2169584.html,Extra 30% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jchk2ikwjesx4tabasme",CLOTHING & ACCESSORIES,free shipping w/ $125,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169584"">Ralph Lauren</a> takes an <strong>extra 30% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090960,2169584"">select styles</a>, already marked <strong>up to 65% off</strong>, via coupon code ""2018"" as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090963,2169584"">Happy New Year Sale</a>. Shipping adds <strong>$5</strong> (choose ""Economy"" at checkout), or spend $125 or more for free shipping via coupon code ""FREESHIP125"". Some exclusions apply. Deal ends January 4.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1092/Ralph-Lauren/"">Ralph Lauren Coupons</a>.</p>",2018-01-01T13:54:32-05:00
,0,,Carnival 7Nt Caribbean Cruise,2169623,https://www.dealnews.com/Carnival-7-Nt-Caribbean-Cruise-from-908-for-2/2169623.html,from $908 for 2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fowhgryua7flmcocpcbl",CRUISES,,"Vacations to Go offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169623"">Carnival Cruise 7-Night Caribbean Cruise for Two</a>, with prices starting from <strong>$908</strong>. That's the lowest price we could find by $40. This roundtrip cruise aboard the Carnival Glory departs from Miami, FL, on January 27. Book this travel deal by January 26.",2018-01-01T13:51:07-05:00
,0,,NordVPN 3-Year VPN Subscription,2169563,https://www.dealnews.com/Nord-VPN-3-Year-VPN-Subscription-for-99/2169563.html,$99,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bafiiamzd0g4c4n8h0az",SOFTWARE,,"NordVPN offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169563"">NordVPN 3-Year VPN Subscription</a> for <strong>$99</strong> ($2.75/month). That's tied with last week's mention, $331 off list, and the lowest price we could find. The service features AES 256-bit encryption, 2,533 worldwide servers in 56 different countries, a no-logs policy, and automatic kill switch. You can connect up to six devices simultaneously, and it's compatible with Windows, Mac, iOS, Android, and more.",2018-01-01T13:50:24-05:00
,0,,Dell XPS Coffee Lake i5 6-Core PC w/ 2GB GPU,2169617,https://www.dealnews.com/Dell-XPS-Coffee-Lake-i5-6-Core-PC-w-2-GB-GPU-for-686-free-shipping/2169617.html,$686,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wy8hcue5tbyzbno9tvy8",DESKTOPS,free shipping,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169617"">Dell XPS 8930 Tower Intel Coffee Lake Core i5 2.8GHz 6-Core Gaming Desktop PC</a> for $734.99. Coupon code ""50OFF699"" cuts that to <strong>$685.99</strong>. With <strong>free shipping</strong>, that's $114 off list, $14 below our mention from last week, and the lowest price we've seen. Deal ends February 3. Features include:
<ul>
 <li>Intel Core i5-8400 2.8GHz Coffee Lake 6-core processor
 </li>
 <li>8GB RAM
 </li>
 <li>1TB 7200 rpm hard drive
 </li>
 <li>AMD Radeon RX 560 2GB graphics
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>",2018-01-01T13:46:21-05:00
,,,Chase Sapphire Preferred® Card,2167586,"https://www.dealnews.com/lw/click.html?20,2,2167586","50,000 bonus points","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",CREDIT CARDS,,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167586"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086874,2167586"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086877,2167586"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",2017-12-28T12:11:32-05:00
