editors_choice,url,description,picture_url,time_modified,time_published,uuid,shipping,hotness,category,title,price
,https://www.dealnews.com/adidas-Mens-350-Shoes-for-40-free-shipping/2169722.html,"adidas via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169722"">adidas Men's 350 Shoes</a> in White for <b>$40</b> with <b>free shipping</b>. That's $40 off and the lowest price we could find. They're available in sizes 8 to 12.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ntwvpgim5nc0j0uz3rp8",,2018-01-01T17:30:00-05:00,2169722,free shipping,5,SHOES,adidas Men's 350 Shoes,$40
,https://www.dealnews.com/The-Step-Health-Club-Size-Aerobic-Platform-for-45-free-shipping/2169719.html,"As one of its daily deals, Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169719"">The Step Original Health Club Size Aerobic Platform</a> in Grey/Black for <strong>$44.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $22. It measures 43"" x 16"" and adjusts from 4"" to 8"" in height. Deal ends today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/irkbaewynzoqy46wnz68",,2018-01-01T17:03:35-05:00,2169719,free shipping,3,EXERCISE EQUIPMENT,The Step Health Club Size Aerobic Platform,$45
,https://www.dealnews.com/P90-X-Recovery-Stick-Self-Massage-Tool-for-7-pickup-at-Walmart/2169716.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169716"">P90X Recovery Stick Self Massage Tool</a> for <strong>$7.14</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $8. It features three independent massage rollers.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gnsigsokbevq6sduwheu",,2018-01-01T16:56:50-05:00,2169716,pickup at Walmart,3,EXERCISE EQUIPMENT,P90X Recovery Stick Self Massage Tool,$7
,https://www.dealnews.com/Reebok-Mens-Athletic-Performance-Jacket-for-15-free-shipping/2169710.html,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169710"">Reebok Men's Athletic Performance Jacket</a> in several colors (Red pictured) for <strong>$14.99</strong> with <strong>free shipping</strong>. That's tied with our Cyber Monday mention, $45 off, and the lowest price we've seen. It comes in select sizes from S to 5XL.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bsemhx1lbveapix1fwhy",,2018-01-01T16:56:35-05:00,2169710,free shipping,5,COATS,Reebok Men's Athletic Performance Jacket,$15
,https://www.dealnews.com/Yamaha-Bluetooth-Soundbar-w-Subwoofer-for-155-free-shipping/2169713.html,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169713"">Yamaha Bluetooth Sound Bar and Wireless Subwoofer</a> for <b>$154.95</b> with <b>free shipping</b>. That's tied with our Black Friday week mention and the lowest price we could find by $125. It features two 2-1/8"" cone speakers, 6.5"" subwoofer, 200-watt total output, and Bluetooth streaming.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cya1qczvkqaty95qjumq",,2018-01-01T16:52:14-05:00,2169713,free shipping,4,SPEAKERS,Yamaha Bluetooth Soundbar w/ Subwoofer,$155
,https://www.dealnews.com/Withings-Unisex-Activite-Pop-Fitness-Watch-for-44-free-shipping/2169704.html,"Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169704"">Withings Unisex Activite Pop Fitness Watch</a> in Azure or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091449,2169704"">Grey</a> for $53.99. Coupon code ""EXTRA18"" cuts that to <strong>$44.27</strong>. With <strong>free shipping</strong>, that's $16 below our July mention and the lowest price we've seen. (It's the best deal now by $6.) It features a stainless steel case, silicone sport strap, HealthMate app for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091452,2169704"">Android</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091455,2169704"">iOS</a>, and water resistance to 150 feet. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fuur3fsnzhgwivwi1jxt",,2018-01-01T16:43:09-05:00,2169704,free shipping,3,SPORTS & FITNESS,Withings Unisex Activite Pop Fitness Watch,$44
,https://www.dealnews.com/TP-Link-Archer-AC3200-802.11-ac-Wi-Fi-Router-for-110-3-s-h/2169701.html,"TigerDirect Business offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169701"">TP-Link Archer AC3200 Tri-Band 802.11ac Wireless Gigabit Ethernet Router</a> for <b>$109.99</b> plus <b>$2.99</b> for shipping. That's $7 under our October mention and the lowest price we could find now by $67. The tri-band wireless router (2.4GHz and two 5GHz) features a 1GHz dual-core processor, four Gigabit Ethernet ports, USB 3.0, and six antennas.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xwdrn0z6btjpbbordcdh",2018-01-01T17:56:59-05:00,,2169701,$3 shipping,3,ROUTERS,TP-Link Archer AC3200 802.11ac WiFi Router,$110
True,https://www.dealnews.com/Roccat-Kave-XTD-Headset-w-Syva-Headphones-for-40-free-shipping/2169707.html,"Dell Home offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169707"">Roccat Kave XTD Stereo Gaming Headset</a> in Black bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091461,2169707"">Roccat Syva In-Ear Headphones</a> in Black/Blue for <strong>$39.99</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find for these items purchased separately elsewhere by $63.<br>
<br>
The headset features 50mm neodymium drivers, a 20Hz to 20kHz frequency response, detachable and 360°-rotatable noise-canceling boom microphone, in-line remote, and 8-foot cable. The headphones feature 10mm drivers, a 20Hz to 20kHz frequency response, and in-line remote and microphone.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ycl0p7rzanw2t3tud3ff",,2018-01-01T16:41:41-05:00,2169707,free shipping,2,HEADPHONES,Roccat Kave XTD Headset w/ Syva Headphones,$40
True,https://www.dealnews.com/Panasonic-Arc5-Electric-Wet-Dry-Shaver-for-123-free-shipping/2169698.html,"Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169698"">Panasonic Arc5 5-Blade Rechargeable Wet/Dry Shaver with Cleaning System</a> for $150.09. Coupon code ""EXTRA18"" drops it to with <b>$123.07</b>. With <b>free shipping</b>, that's the best deal we could find by $77 and the lowest price we've seen. It features a motor that runs at 14,000 cuts per minute, 5-blade cutting system, pivoting head, LCD display, and an automatic cleaning and charging system. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mldy3h4k7vc7bdxwv4xd",,2018-01-01T16:25:25-05:00,2169698,free shipping,3,SHAVING & GROOMING,Panasonic Arc5 Electric Wet / Dry Shaver,$123
,https://www.dealnews.com/Dell-Member-Purchase-Program-Up-to-30-off-free-shipping/2168309.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168309"">Dell Home</a>, via its Member Purchase Program, offers discounts of <strong>up to 30% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088845,2168309"">laptops, desktops, tablets, electronics, and accessories</a>. Plus, <b>free shipping</b> applies to most items.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n4kjqjecsrrpu9icfevm",,2018-01-01T00:01:00-05:00,2168309,free shipping,,COMPUTERS,Dell Member Purchase Program,Up to 30% off
