shipping,time_published,editors_choice,category,hotness,title,url,picture_url,price,time_modified,uuid,description
free shipping w/ Prime,2018-01-02T06:06:43-05:00,,KITCHEN,0,Prepworks by Progressive Onion Chopper,https://www.dealnews.com/Prepworks-by-Progressive-Onion-Chopper-for-12-free-shipping-w-Prime/2169980.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zv0rzcsvjxwygvnaus88",$12,,2169980,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169980"">Prepworks by Progressive Onion Chopper</a> for <strong>$11.63</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2."
free shipping,2018-01-02T06:05:54-05:00,True,EXERCISE EQUIPMENT,0,NordicTrack Commercial Vr21 Recumbent Bike,https://www.dealnews.com/Nordic-Track-Commercial-Vr21-Recumbent-Bike-for-550-free-shipping/2169968.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mayuwevo2ubrkv5t9bwg",$550,,2169968,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169968"">NordicTrack Commercial Vr21 Recumbent Bike</a> for <strong>$549.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $178. It measures 59"" x 22.25"" x 52"" and features a 5"" backlit display, 23-lb. flywheel, 25 resistance levels, 32 workout apps, a heart rate monitor with wireless chest strap, tablet holder, and a 350-lb. capacity. Deal ends today."
free shipping,2018-01-02T06:03:30-05:00,,EXERCISE EQUIPMENT,0,NordicTrack SE9i Elliptical Trainer,https://www.dealnews.com/Nordic-Track-SE9-i-Elliptical-Trainer-for-1-029-free-shipping/2169965.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x0iq1kodelgpcvmgpo7p","$1,029",,2169965,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169965"">NordicTrack Spacesaver SE9i Elliptical Trainer</a> for <strong>$1,029</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $220. It features heart rate monitor, 18"" stride length, 24 digital resistance levels, vertical SpaceSaver design, iFit coach ready, 0- to 10-degree adjustable incline, water bottle holder, soft touch upper body grips, and transport wheels. Deal ends today."
free shipping,2018-01-02T06:01:03-05:00,,MONITORS,0,"Refurb LG 34"" 1080p IPS LED LCD Display",https://www.dealnews.com/Refurb-LG-34-1080-p-IPS-LED-LCD-Display-for-253-free-shipping/2169974.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qlreevnkbkyohhlyntas",$253,,2169974,"Newegg offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169974"">LG 34"" 1080p IPS LED-Backlit LCD Monitor</a> for $257.99. Coupon code ""RTHRSBLS5"" cuts it to <strong>$252.99</strong>. With <strong>free shipping</strong>, that's $27 under the lowest price we could find for a new one. It features a 2560x1080 native resolution, 5ms response time, and two HDMI inputs. Deal ends January 3.<br>
<br>
Note: A 90-day warranty applies, although it is unclear who backs it."
free shipping w/ $50,2018-01-02T06:00:08-05:00,,SHOES,0,Aldo Sale,https://www.dealnews.com/Aldo-Sale-50-off-free-shipping-w-50/2169971.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tdq5ymizxzg3pr7iwaeo",50% off,,2169971,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169971"">Aldo</a> takes <b>50% off</b> the original price of a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091863,2169971"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091866,2169971"">women's</a> shoes and accessories. Shipping adds <strong>$5</strong>, but orders of $50 or more receive free shipping. That's the best discount we've seen from Aldo this year."
free shipping,2018-01-02T05:59:24-05:00,,TV STANDS,0,"Mainstays 3-in-1 70"" TV Stand",https://www.dealnews.com/Mainstays-3-in-1-70-TV-Stand-for-65-free-shipping/2169959.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wcrp1p8yozcxgsgtedcp",$65,,2169959,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169959"">Mainstays 3-in-1 TV Stand for TVs up to 70""</a> for <strong>$64.99</strong> with <strong>free shipping</strong>. That's the best price we could find by $14. It features swivel, wall, or tabletop mounting options, and features two shelves."
free shipping,2018-01-02T05:55:24-05:00,,APPLE IPHONES,0,Refurb Unlocked iPhone 7 32GB Smartphone,https://www.dealnews.com/Refurb-Unlocked-iPhone-7-32-GB-Smartphone-for-460-free-shipping/2169947.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gfdwnoqadsrremt0ptpz",$460,,2169947,"MyWit via eBay offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169947"">Unlocked Apple iPhone 7 32GB Smartphone</a> in several colors (Black pictured) for <strong>$459.99</strong> with <strong>free shipping</strong>. That's tied with our November mention and $89 under the lowest price we could find for it new.<br>
<br>
Note: This phone doesn't include a SIM card, headphones, original box, or warranty."
free shipping w/ Prime,2018-01-02T05:50:13-05:00,,SOFTWARE,0,Webroot AntiVirus 2018 5-Device for PC/Mac,https://www.dealnews.com/Webroot-Anti-Virus-2018-5-Device-for-PC-Mac-for-25-free-shipping-w-Prime/2169956.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/guzdzwjw1jldruwzhca8",$25,,2169956,"As one of its daily deals, Amazon offers Prime members <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169956"">Webroot SecureAnywhere Internet Security Complete + AntiVirus 2018 5-Device 1-Year for Windows and Mac</a> for <strong>$24.99</strong> with <strong>free shipping</strong>. (Downloads are also available for the same price.) That's the lowest price we could find by $5. Deal ends today."
free shipping,2018-01-02T05:49:25-05:00,,SUPPLEMENTS,0,Scivation Xtend BCAA Powder 30-Serving Tub,https://www.dealnews.com/Scivation-Xtend-BCAA-Powder-30-Serving-Tub-for-15-free-shipping/2169962.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zf0nbmdbj9sdztwsbgsj",$15,,2169962,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169962"">Scivation Xtend BCAA Powder 30-Serving Tub</a> in Blue Raspberry for <strong>$14.69</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $14. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169962"">Scivation Xtend BCAA Powder 30-Serving Tub</a> for $20.99
 </li>
 <li>clip the 15% off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$14.69</strong> with <strong>free shipping</strong>
 </li>
</ol>
Be sure to cancel your subscription once your order ships to avoid being billed for further shipments."
,2018-01-01T00:01:00-05:00,,CREDIT CARDS,,BankAmericard® Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2168627","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/neoa6i4qkb20kr8rjl1e",0% intro fee,,2168627,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168627"">BankAmericard® Credit Card</a> and receive a <strong>$0 Intro balance transfer fee</strong> for the first 60 days your account is open. After that, the fee for future balance transfers is 3% (min. $10). There's also <strong>no penalty APR</strong>. Paying late won't automatically raise your interest rate (APR). You can also <strong>access your FICO Score</strong> for free within Online Banking or your Mobile Banking app. Plus, the <strong>Zero Liability Fraud protection</strong> insures you're not responsible for any fraudulent charges made on your account. Also, the BankAmericard® credit card features chip technology for enhanced security at chip-enabled merchant terminals. Other account pricing and terms apply. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>"
