hotness,url,time_modified,price,title,time_published,uuid,picture_url,category,description,editors_choice,shipping
0,https://www.dealnews.com/3-Cambond-Retractable-Ball-Point-Pens-for-6-free-shipping-w-Prime/2170130.html,,$6,3 Cambond Retractable Ball Point Pens,2018-01-02T09:59:10-05:00,2170130,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fvoryifxmujeov6i7g6a",SUPPLIES,"Cambond via Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170130"">three Cambond Stainless Steel Retractable Ball Point Pens</a> for $9.99. Coupon code ""K47ILVNL"" drops it to <b>$5.99</b>. Plus, Prime members bag <b>free shipping</b>. That's $3 off list, tied with our mention from two weeks ago, and the lowest price we could find. Each pen has an all-metal design with 1mm point and includes a refill cartridge. Deal ends January 7.",,free shipping w/ Prime
0,https://www.dealnews.com/Lenovo-Skylake-i5-Quad-Desktop-PC-w-2-GB-GPU-for-900-free-shipping/2170127.html,,$900,Lenovo Skylake i5 Quad Desktop PC w/ 2GB GPU,2018-01-02T09:51:44-05:00,2170127,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xa6v2d5lt7gdqlgwez5v",DESKTOPS,"Lenovo via eBay offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170127"">Lenovo IdeaCentre 710 Intel Skylake Core i5 3.4GHz Desktop PC</a> for <strong>$899.99</strong> with <strong>free shipping</strong>. That's $300 off list and the lowest we could find. It features an Intel Core i7-6700 3.4GHz Skylake quad-core processor, 32GB RAM, 1TB 7200 rpm hard drive with an 8GB SSD, Nvidia GeForce GTX 960 2GB graphics, DVD burner, 802.11ac wireless, Bluetooth 4.0, and Windows 10 Home 64-bit.",,free shipping
0,https://www.dealnews.com/Pineapple-Corer-and-Slicer-for-4-free-shipping/2170124.html,,$4,Pineapple Corer and Slicer,2018-01-02T09:45:25-05:00,2170124,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zyl0jhlsmqk91tmsarxe",KITCHEN,"GearXS via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170124"">Pineapple Corer and Slicer</a> for <b>$3.99</b> with <b>free shipping</b>. That's the lowest price we could find by $2, outside of other eBay vendors. It can core and slice a pineapple in one operation.",,free shipping
0,https://www.dealnews.com/Ace-Teah-Air-Vent-Magnetic-Car-Phone-Holder-for-7-free-shipping-w-Prime/2170136.html,2018-01-02T09:45:23-05:00,$7,Ace Teah Air Vent Magnetic Car Phone Holder,,2170136,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gqwbavfmq7n0t4b0zui1",CELL PHONE ACCESSORIES,"Ace Teah via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170136"">Ace Teah Air Vent Magnetic Car Phone Holder</a> for $9.99. Coupon code ""VT2UODVG"" cuts it to <b>$6.99</b>. With <b>free shipping</b> for Prime members, that's tied with our mention from three weeks ago at $3 off and the lowest price we could find. It features a 360-degree ball joint. Deal ends January 7.",,free shipping w/ Prime
0,https://www.dealnews.com/Neiman-Marcus-Last-Call-Sale-Up-to-70-off-free-shipping/2170118.html,,Up to 70% off,Neiman Marcus Last Call Sale,2018-01-02T09:32:23-05:00,2170118,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v4pqnlyk5acmhtwslzis",NEIMAN MARCUS COUPONS,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092013,2170118"">Neiman Marcus</a> takes <strong>up to 70% off</strong> a selection <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092010,2170118"">women's clothing, shoes, accessories, home items, toys, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170118"">Last Call Sale</a>. Plus, all orders receive <strong>free shipping</strong>.",,free shipping
5,https://www.dealnews.com/Small-Appliances-at-Best-Buy-20-off-1-full-price-item-free-shipping-w-35/2170121.html,,20% off 1 full-price item,Small Appliances at Best Buy,2018-01-02T09:29:56-05:00,2170121,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l2d1easz6ywqivgamaud",SMALL APPLIANCES,"Best Buy takes <strong>20% off</strong> one <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170121"">regular-priced small appliance</a> via coupon code ""SAVEONSMALLSNOW"". Choose in-store <strong>pickup</strong> to dodge shipping fees, which start around $3, or bag free shipping on orders of $35 or more <i>before</i> discount. Several brand exclusions apply, such as Dyson, Vitamix, and LG. Deal ends January 7.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s560/Best-Buy/"">Best Buy Coupons</a>.</p>",,free shipping w/ $35
4,https://www.dealnews.com/Amped-Wi-Fi-Range-Extender-for-30-free-shipping/2170097.html,,$30,Amped WiFi Range Extender,2018-01-02T09:27:20-05:00,2170097,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/caomnjddm7wugs4mmw2b",WIRELESS NETWORKING,"Dpi via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170097"">Amped WiFi Range Extender</a> for <strong>$29.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. It features speeds up to 300Mbps and a coverage of up to 10,000 square feet.",,free shipping
3,https://www.dealnews.com/Fisher-Price-Imaginext-DC-Flight-City-Playset-for-29-free-shipping/2170115.html,,$29,Fisher-Price Imaginext DC Flight City Playset,2018-01-02T09:18:00-05:00,2170115,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nzdpvyjwtttnobzjeh61",TOYS & HOBBIES,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170115"">Fisher-Price Imaginext DC SuperFriends Super Hero Flight City Playset</a> for <strong>$29.05</strong>. Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's $4 below our mention from three weeks ago and the lowest price we've seen. (It's the best deal now by $14.) It combines Gotham City and Metropolis and features four power pads.",True,free shipping
3,https://www.dealnews.com/New-Balance-Mens-410-v5-Trail-Running-Shoes-for-37-free-s-h-w-beauty-item/2170109.html,,$37,New Balance Men's 410v5 Trail Running Shoes,2018-01-02T09:12:51-05:00,2170109,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wtkolqvpretz4kpa2jek",SHOES,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170109"">New Balance Men's 410v5 Trail Running Shoes</a> for <strong>$37.48</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17091950,2170109"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's the lowest price we could find by $13, although we saw them for $2 less last month. They're available in sizes 8 to 13.",,free s&h w/beauty item
,https://www.dealnews.com/Sharp-50-4-K-HDR-LED-LCD-UHD-Smart-TV-for-400-free-shipping/2169470.html,,$400,"Sharp 50"" 4K HDR LED LCD UHD Smart TV",2018-01-02T00:01:00-05:00,2169470,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/njnmat5vwwd8tglpqyya",TVS,"Dell Home, via its Member Purchase Program, offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169470"">Sharp Aquos 50"" 4K HDR LED-Backlit LCD Ultra HD Smart Television</a>, model no. LC-50P8000U, for <strong>$399.99</strong> with <strong>free shipping</strong>. It features a 3840x2160 (4K, 2160p) native resolution, HDR10 content support, 4K upscaling, 802.11ac wireless, Smart TV apps (including Hulu Plus, Netflix, and YouTube), Bluetooth 4.0, USB 3.0, and four HDMI inputs.",,free shipping
