price,title,shipping,time_modified,category,url,editors_choice,time_published,description,picture_url,hotness,uuid
$50,2 Parrot Jumping Night Mini Drones,free shipping,,TOYS & HOBBIES,https://www.dealnews.com/2-Parrot-Jumping-Night-Mini-Drones-for-50-free-shipping/2170265.html,True,2018-01-02T11:54:54-05:00,"TechRabbit offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170265"">two Parrot Jumping Night Mini Drones</a> in several colors (White pictured) for <strong>$49.99</strong> with <strong>free shipping</strong>. (Add two to your cart to see the discount.) That's the lowest price we could find for this quantity by at least $50, with most vendors charging the $150 retail price for one drone alone. It jumps up to 2.5 feet in the air and features two LED lights, 20 minutes of usage time, and VGA mini camera. Deal ends January 8.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cfbcwgbzidexla4a6r7x",0,2170265
$78,Apple Pencil for iPad Pro,free shipping,,IPAD ACCESSORIES,https://www.dealnews.com/Apple-Pencil-for-iPad-Pro-for-78-free-shipping/2170253.html,,2018-01-02T11:53:32-05:00,"Ending today, Spring offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170253"">Apple Pencil for iPad Pro</a> for $98. Coupon code ""GREATSTART20"" cuts that to <strong>$78.40</strong>. Plus, get <strong>free shipping</strong>. That's $2 under our mention from three weeks ago and the best price we've seen for a new, factory-sealed unit. (It's the lowest price we could find now by $20.)","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aypltjfxblvucro4fhry",0,2170253
Up to 60% off + 40% off,Gap Great Big Winter Sale,free shipping w/ $50,,CLOTHING & ACCESSORIES,https://www.dealnews.com/Gap-Great-Big-Winter-Sale-Up-to-60-off-40-off-free-shipping-w-50/2170259.html,,2018-01-02T11:47:27-05:00,"Today only, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170259"">Gap</a> takes <strong>up to 60% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092478,2170259"">men's, women's, and kids' styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092481,2170259"">Great Big Winter Sale</a>. Even better, cut an <strong>extra 40% off</strong> via coupon code ""2018"". Shipping adds <strong>$7</strong>, although orders of $50 or more bag free shipping.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s319/Gap/"">Gap Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vhp187pny4oevdo8en9w",0,2170259
$13,Claiborne Men's Cotton Pants,$4 pickup at JCP,,PANTS,https://www.dealnews.com/Claiborne-Mens-Cotton-Pants-for-13-4-pickup-at-JCP/2170256.html,True,2018-01-02T11:47:15-05:00,"JCPenney offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170256"">Claiborne Men's Cotton Pants</a> in Asphalt Grey for $17.99. Coupon code ""4DEALS"" cuts that to <strong>$13.49</strong>. Choose <strong>$3.95</strong> in-store pickup to dodge the $8.95 shipping fee. That's $47 off list and the lowest price we could find. They come in select sizes from 30x30 to 40x30. Deal ends January 10.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ogptuoakyieiqnbbgdyq",0,2170256
$79,Cole Haan McKinney Brief Case,free shipping,,LUGGAGE & TRAVEL GEAR,https://www.dealnews.com/Cole-Haan-Mc-Kinney-Brief-Case-for-79-free-shipping/2170247.html,True,2018-01-02T11:45:18-05:00,"Ending today, Spring offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170247"">Cole Haan McKinney Brief Case</a> in Black for $98.99. Coupon code ""GREATSTART20"" cuts it to <strong>$79.20</strong>. With <strong>free shipping</strong>, that's $371 off and less than half the price of buying from Cole Haan directly. It features an adjustable strap, polished nickel hardware, and it measure 15.5"" x 10.5"" x 2.5"".","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ofbp41mxk6cwxsj3ga57",0,2170247
$96,Cole Haan Men's Zerogrand Motoring Coat,free shipping,,COATS,https://www.dealnews.com/Cole-Haan-Mens-Zerogrand-Motoring-Coat-for-96-free-shipping/2170235.html,True,2018-01-02T11:43:22-05:00,"Ending today, Spring offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170235"">Cole Haan Men's Zerogrand Motoring Coat</a> in Stone Green for $119.99. Coupon code ""GREATSTART20"" cuts that to <strong>$96</strong>. With <strong>free shipping</strong>, that's $354 off and the lowest price we could find. It's available in sizes S to XL.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z7kwlzkawvzlcyxgth5v",0,2170235
$30,Alxum 48W 5-Port USB Charging Station,free shipping,,CELL PHONE CHARGERS,https://www.dealnews.com/Alxum-48-W-5-Port-USB-Charging-Station-for-30-free-shipping/2170226.html,,2018-01-02T11:32:06-05:00,"Weme via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170226"">Alxum 48-watt 5-Port USB Charging Station</a> in Black for $34.99. Coupon code ""7XPUSGR9"" cuts it to <strong>$29.99</strong>. With <strong>free shipping</strong>, that's $5 off and the lowest price we could find. It features BC 1.2 technology and provides up to 5-volts / 2.4-amps of power per port. Deal ends January 15.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z0ve3erqmglk7a3kkida",0,2170226
$20,Greats Men's G-Knit Sneakers,free shipping,,SHOES,https://www.dealnews.com/Greats-Mens-G-Knit-Sneakers-for-20-free-shipping/2170241.html,True,2018-01-02T11:30:44-05:00,"Ending today, Spring offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170241"">Greats Men's G-Knit Sneakers</a> in Grey for $25. Coupon code ""GREATSTART20"" cuts that to <strong>$20</strong>. With <strong>free shipping</strong>, that's $69 off list and the lowest price we could find. They come in select sizes from 7 to 10.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kq85q2mrilgczkkredzo",4,2170241
$550,"HP 15t Kaby Lake i7 2.7GHz 16"" Touch Laptop",free shipping,,LAPTOPS,https://www.dealnews.com/HP-15-t-Kaby-Lake-i7-2.7-GHz-16-Touch-Laptop-for-550-free-shipping/2170238.html,,2018-01-02T11:30:27-05:00,"HP offers its 4.2-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170238"">HP 15t Intel Kaby Lake Core i7 2.7GHz 15.6"" Touchscreen Laptop</a> in Black for <strong>$549.99</strong> with <strong>free shipping</strong>. That's tied with our mention from September, $520 off list, and the lowest price we've seen. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 15.6"" 1366x768 (720p) LED-backlit touchscreen LCD, 8GB RAM, 1TB hard drive, 802.11n wireless, Gigabit Ethernet, USB 3.1, HDMI, 3-cell battery, and Windows 10 Home 64-bit.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/abrawjpbitvtsywewkeh",3,2170238
,Latest Credit Card Offers from Chase,,,CREDIT CARDS,"https://www.dealnews.com/lw/click.html?20,2,2168621",,2018-01-01T00:01:00-05:00,"Looking for a new credit card? Check out our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a> which features several offers available to applicants from a wide range of credit ratings. Some notable cards include Chase Sapphire Preferred®, Chase Freedom Unlimited®, and United MileagePlus® Explorer Card.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hozow7nxzxkuqstccluu",,2168621
