editors_choice,description,hotness,shipping,title,url,category,time_modified,price,picture_url,uuid,time_published
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170538"">Cambridge Silversmiths Shiloh 3-Quart Ice Bucket</a> for <strong>$25</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $4 off list and the lowest price we could find. It features a galvanized finish and rope.",0,pickup at Walmart,Cambridge Shiloh 3-Qt. Ice Bucket,https://www.dealnews.com/Cambridge-Shiloh-3-Qt.-Ice-Bucket-for-25-pickup-at-Walmart/2170538.html,KITCHEN,,$25,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nahjcv66jxfickijjjei",2170538,2018-01-02T21:55:54-05:00
,"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170535"">Kobalt 4-Tool 24-volt Max Lithium Ion Cordless Combo Kit</a> for <strong>$149</strong> with <strong>free shipping</strong>. That's $150 off list and the lowest price we could find. It includes a drill/driver, circular saw, flashlight, battery, and charger.",0,free shipping,Kobalt 4-Tool 24V Cordless Combo Kit,https://www.dealnews.com/Kobalt-4-Tool-24-V-Cordless-Combo-Kit-for-149-free-shipping/2170535.html,POWER TOOLS,,$149,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pnwlbenh2dzhtgcsauf2",2170535,2018-01-02T21:40:03-05:00
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170532"">BHG 3-Cube Organizer Bench</a> in Weathered for <strong>$47</strong> with <strong>free shipping</strong>. That's $42 off list and the lowest price we could find. It's compatible with 13"" storage bins and baskets and measures approximately 44.5"" x 18"" x 20"".",4,free shipping,BHG 3-Cube Organizer Bench,https://www.dealnews.com/BHG-3-Cube-Organizer-Bench-for-47-free-shipping/2170532.html,HOME FURNITURE,,$47,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/szctkel8e5aumjv0isrt",2170532,2018-01-02T21:30:13-05:00
True,"For Amazon Prime members only, The Washington Post offers new subscribers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170529"">six months of digital access</a> for <strong>free</strong>. That's a $60 savings and tied with our August mention as a rare offer for free Washington Post access.<br>
<br>
Note: When the free six month period is up, Prime members can opt to continue their subscription for $3.99 per month. That will be a savings of $6 per month.",5,,Washington Post 6-Month Digital Subscription,https://www.dealnews.com/Washington-Post-6-Month-Digital-Subscription-free-w-Prime/2170529.html,BOOKS & MAGAZINES,2018-01-02T21:14:58-05:00,free w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ogyljitfxawkfp2wuxl1",2170529,
,"DealYard via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170526"">Sunbeam Royal Mink Chill-Away Heated Wrap</a> in three colors (Lavender pictured) for <strong>$29.97</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093534,2170526"">Amazon</a> charges the same.) That's the lowest price we could find by $19. This machine-washable wrap measures 25"" x 57"" and features three heat-settings and 3-hour auto-off.",4,free shipping,Sunbeam Royal Mink Chill-Away Heated Wrap,https://www.dealnews.com/Sunbeam-Royal-Mink-Chill-Away-Heated-Wrap-for-30-free-shipping/2170526.html,BEDDING,,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zhk20yl3z2ozrkfxyql9",2170526,2018-01-02T20:44:31-05:00
True,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170523"">Despicable Me Minion Dave Plush</a> for <strong>$6.90</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $13. He stands approximately 10.5"" tall and when you squeeze his belly, his eyes pop out and light up when he talks.<br>
<br>
Note: This is part of the Amazon ""add-on"" program and can only be purchased with orders of $25 or more.",4,free shipping,Despicable Me Minion Dave Plush,https://www.dealnews.com/Despicable-Me-Minion-Dave-Plush-for-7-w-25-purchase-free-shipping/2170523.html,TOYS & HOBBIES,,$7 w/$25 purchase,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uwpokwyoodgiautvi0bf",2170523,2018-01-02T20:30:53-05:00
True,"Ending today, Macy's takes <strong>75% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093531,2170520"">regular-priced women's shoes</a> via coupon code ""FLASH"" during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093522,2170520"">Flash Sale</a>. After coupon, many popular brands are significantly lower than other retailers. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093525,2170520"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. A couple of best bets, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093528,2170520"">Style &amp; Co Alyson Slip-On Loafer Flats</a> for <strong>$12.38</strong> ($37 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170520"">Seven Dials Women's Brystal Booties</a> for <strong>$17.25</strong> (pictured, low by $42)
 </li>
</ul>",5,free s&h w/beauty item,Women's Shoes at Macy's,https://www.dealnews.com/Womens-Shoes-at-Macys-75-off-free-s-h-w-beauty-item/2170520.html,SHOES,,75% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uejv0uwdqqjybt1kmtur",2170520,2018-01-02T20:09:32-05:00
True,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170517"">Penguin Food Jar 2-Pack</a> for <strong>$5.53</strong>. Opt for free in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest total price we could find by $10. These 16-oz. BPA-free containers purport to keep food cold for seven hours and warm for five hours.",4,pickup at Walmart,Penguin Food Jar 2-Pack,https://www.dealnews.com/Penguin-Food-Jar-2-Pack-for-6-pickup-at-Walmart/2170517.html,KITCHEN,,$6,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vntaqvmdbdxswcasff5q",2170517,2018-01-02T19:43:36-05:00
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170514"">Elf Stor Premium Christmas Tree Bag</a> in White for <b>$12.88</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093516,2170514"">Discount Tommy via Amazon</a> charges the same for Prime members.) That's the lowest price we could find by $4, although it was a buck less a year ago. It measures approximately 60"" x 30"" x 30"" and holds up to a 9-foot disassembled artificial Christmas tree. Features include tear-proof polypropylene construction and nylon carry handles.",3,pickup at Walmart,Elf Stor Premium Christmas Tree Bag,https://www.dealnews.com/Elf-Stor-Premium-Christmas-Tree-Bag-for-13-pickup-at-Walmart/2170514.html,SEASONAL/HOLIDAYS,,$13,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yfgyw6jqmn6b6teohuxg",2170514,2018-01-02T19:34:54-05:00
,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168627"">BankAmericard® Credit Card</a> and receive a <strong>$0 Intro balance transfer fee</strong> for the first 60 days your account is open. After that, the fee for future balance transfers is 3% (min. $10). There's also <strong>no penalty APR</strong>. Paying late won't automatically raise your interest rate (APR). You can also <strong>access your FICO Score</strong> for free within Online Banking or your Mobile Banking app. Plus, the <strong>Zero Liability Fraud protection</strong> insures you're not responsible for any fraudulent charges made on your account. Also, the BankAmericard® credit card features chip technology for enhanced security at chip-enabled merchant terminals. Other account pricing and terms apply. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,,BankAmericard® Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2168627",CREDIT CARDS,2018-01-02T19:03:49-05:00,0% intro fee,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/neoa6i4qkb20kr8rjl1e",2168627,
,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170511"">Jana Queen Bed</a> in several colors (Natural Fabric pictured) for <strong>$189.88</strong> with <strong>free shipping</strong>. (Non-members pay a $18.99 surcharge.) That's the lowest price we could find by $23. This foam-padded headboard measures 86"" x 63"" x 53"" and is crafted from pinewood and plywood.",3,free shipping,Jana Queen Bed,https://www.dealnews.com/Jana-Queen-Bed-from-190-free-shipping/2170511.html,BABIES & KIDS ITEMS,,from $190,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nkrc9t3ebip5nso248nu",2170511,2018-01-02T19:21:30-05:00
,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170508"">JVC 2.1-Channel Bluetooth 37"" Sound Bar System</a> for <strong>$79.99</strong> with <strong>free shipping</strong>. That's $100 off and tied with our November mention as the lowest price we could find. It features Bluetooth 4.2 and comes with a wireless subwoofer.",3,free shipping,"JVC 37"" 2.1 Bluetooth Sound Bar",https://www.dealnews.com/JVC-37-2.1-Bluetooth-Sound-Bar-for-80-free-shipping/2170508.html,SPEAKERS,,$80,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ko0jse1x6omvmb4vj0rw",2170508,2018-01-02T19:01:56-05:00
