shipping,editors_choice,category,hotness,uuid,time_published,title,picture_url,description,time_modified,url,price
pickup at GameStop,True,GAMES,4,2170616,2018-01-03T03:30:58-05:00,Pillars of Eternity Complete Ed for PS4 / XB1,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/riyvcuoeqxfm7prwhxbj","GameStop offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170616"">Pillars of Eternity Complete Edition for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093594,2170616"">Xbox One</a> for <strong>$19.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find for this highly-rated game by at least $22, although most major retailers charge $50 or more.",,https://www.dealnews.com/Pillars-of-Eternity-Complete-Ed-for-PS4-XB1-for-20-pickup-at-Game-Stop/2170616.html,$20
free shipping,True,AFTER CHRISTMAS SALES,5,2170607,2018-01-03T03:25:36-05:00,Eastbay Year-End Clearance Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckkonkdpgeuf1v9rldzo","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170607"">Eastbay</a> takes an <strong>extra 50% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093576,2170607"">clearance items</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093579,2170607"">Year-End Clearance Sale</a>. (Discount applies in cart.) Plus, all orders receive <strong>free shipping</strong>. That ties our mention from a week ago as the largest extra discount we've seen on clearance items at Eastbay. Eligible items include styles by Nike, Under Armour, adidas, and New Balance.<br>
<br>
Need more options? Select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093582,2170607"">other clearance items</a> receive an <strong>extra 40% off</strong> in cart, while <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093585,2170607"">others</a> get an <strong>extra 30% off</strong>.",,https://www.dealnews.com/Eastbay-Year-End-Clearance-Sale-Extra-50-off-free-shipping/2170607.html,Extra 50% off
free shipping,True,CHAIRS,4,2170598,2018-01-03T03:24:08-05:00,BestMassage Video Gaming Massage Chair,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i1mnfnyubeoapbfv9ngn","Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170598"">BestMassage Video Gaming Shiatsu Massage Chair</a> in several colors (Black pictured) for <strong>$259.88</strong> with <strong>free shipping</strong>. (Non-members pay a $25.99 surcharge.) That's tied with our mention from a week ago as the lowest price we've seen. (It's the best deal today by $110.) It features a touch control armrest, 3D surround sound, and a 190-lb. weight capacity.",,https://www.dealnews.com/Best-Massage-Video-Gaming-Massage-Chair-from-260-free-shipping/2170598.html,from $260
free shipping,True,CLOTHING & ACCESSORIES,5,2170604,2018-01-03T03:20:00-05:00,Nike Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bxfolaryjwvbz8uruz32","<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170604"">Nike</a> takes an <strong>extra 25% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093570,2170604"">sale styles</a>. (Discount applies automatically in cart.) Plus, Nike+ members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093573,2170604"">join</a>.) That's tied with our Cyber Monday mention as the best discount we've seen on sale styles in over a year. Some exclusions apply. Deal ends January 4.",,https://www.dealnews.com/Nike-Sale-Extra-25-off-free-shipping/2170604.html,Extra 25% off
pickup at Walmart,,KIDS' CLOTHES,5,2170610,2018-01-03T03:19:19-05:00,Miss Chievous Girls' Character Hoodie,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w5nywu6bnljac8vkduh3","Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170610"">Miss Chievous Girls' Plush Fleece Character Hoodie</a> in several colors (Snowpeak pictured) for <strong>$5</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's tied with last week's mention, $4 off, and the best deal we could find. It's available in select sizes from S to XL.",,https://www.dealnews.com/Miss-Chievous-Girls-Character-Hoodie-for-5-pickup-at-Walmart/2170610.html,$5
free shipping,True,CLOTHING & ACCESSORIES,4,2170601,2018-01-03T03:12:24-05:00,Kate Spade Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x2afdk2ax3twkg4xm8ez","Ending today, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170601"">Kate Spade</a> takes an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093567,2170601"">sale styles</a> via coupon code ""EXTRATREAT"". Plus, all orders receive <strong>free shipping</strong>. That's tied with our Cyber Monday mention as the best extra discount we've seen from Kate Spade this year. Some exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1457/Kate-Spade/"">Kate Spade Coupons</a>.</p>",,https://www.dealnews.com/Kate-Spade-Sale-Extra-40-off-free-shipping/2170601.html,Extra 40% off
,,GAMES,4,2170595,2018-01-03T02:12:33-05:00,CrapsVR for Windows Mixed Reality,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jrbiqm2ke9xzue7kzht5","Microsoft Store offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170595"">CrapsVR for Windows Mixed Reality</a> for <strong>free</strong>. That's $5 off list and the lowest price we could find.<br>
<br>
Note: A Windows 10 device is required to download this game.",,https://www.dealnews.com/Craps-VR-for-Windows-Mixed-Reality-for-free/2170595.html,free
free shipping,,LAPTOPS,3,2170592,2018-01-03T01:56:17-05:00,"Dell Inspiron Kaby Lake i7 Dual 16"" Laptop","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uuwltvbevgjtkb9csw63","Dell Small Business offers its 5.2-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170592"">Dell Inspiron 15 5000 Series 5566 Intel Kaby Lake Core i7 2.7GHz 15.6"" Laptop</a> in Black for $899.99. Coupon code ""HOLIDAY579"" cuts it to <strong>$579.99</strong>. With <strong>free shipping</strong>, that's tied with last week's mention and the lowest price we could find by $134. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 15.6"" 1366x768 (720p) LED-backlit LCD, 8GB RAM, 512GB SSD, DVD burner, 4-cell battery, and Windows 10 Professional 64-bit. Deal ends January 4 at 8 am ET.",,https://www.dealnews.com/Dell-Inspiron-Kaby-Lake-i7-Dual-16-Laptop-for-580-free-shipping/2170592.html,$580
pickup at Walgreens,,CHOCOLATES,5,2170586,2018-01-03T01:41:56-05:00,Ferrero Collection Assorted Star Gift Box,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fnto6j0etrvp1acga4x8","Walgreens offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170586"">Ferrero Collection Assorted 4.7-oz. Star Gift Box</a> for <strong>$2.89</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $7 off list and the lowest price we could find. It features an assortment of Rocher, Rondnoir, and Raffaello chocolates.",,https://www.dealnews.com/Ferrero-Collection-Assorted-Star-Gift-Box-for-3-pickup-at-Walgreens/2170586.html,$3
,,CREDIT CARDS,,2170193,2018-01-02T10:45:01-05:00,United MileagePlus® Explorer Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/adilagzzfhgr5nnfvn9c","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170193"">United MileagePlus® Explorer Card</a> and <strong>earn 40,000 bonus miles</strong> after you spend $2,000 in the first 3 months your account is open. Plus, <strong>earn 5,000 bonus miles</strong> after you add the first authorized user to your account and make a purchase with your Card during the first 3 months your account is open. Finally, you'll <strong>earn 2 miles</strong> for each $1 spent on tickets purchased from United, and <strong>earn 1 mile</strong> for each $1 spent on all other purchases. (Miles don't expire as long as your credit card account remains open.) There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092241,2170193"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,"https://www.dealnews.com/lw/click.html?20,2,2170193","40,000 bonus miles"
