description,uuid,title,category,price,picture_url,shipping,editors_choice,time_published,time_modified,url,hotness
"MaidMax via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170910"">Maidmax Over The Door Shoe Organizer</a> for $10.99. Coupon code ""CJQPVB7S"" cuts it to <strong>$5</strong>. With <strong>free shipping</strong> via Prime, that's tied with our mention from two weeks ago as the lowest price we've seen. (It's also the best deal now by $5.) It features 24 clear PVC pockets, a breathable non-woven backing, and four metal mounting hooks. Deal ends January 31.",2170910,Maidmax Over The Door Shoe Organizer,HOME & GARDEN,$5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/be8iymxwyacigiyryado",free shipping w/ Prime,,2018-01-03T09:59:08-05:00,,https://www.dealnews.com/Maidmax-Over-The-Door-Shoe-Organizer-for-5-free-shipping-w-Prime/2170910.html,0
"Vacations to Go offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170916"">Carnival Cruises 4-Night Mexico Cruise for Two</a> with prices starting from <strong>$418</strong>. That's the lowest price we could find by $110. This roundtrip cruise aboard the Carnival Imagination departs on February 11. Additional fees may apply. Book this travel deal by February 3.",2170916,Carnival 4Nt Mexico Cruise in February,CRUISES,from $418 for 2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wqbpza3eyarp8hxktdo3",,,2018-01-03T09:59:05-05:00,,https://www.dealnews.com/Carnival-4-Nt-Mexico-Cruise-in-February-from-418-for-2/2170916.html,0
"Won Lane via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170838"">OxGord Paws &amp; Pals Automatic Programmable Pet Feeder</a> for <strong>$32.95</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $3. It holds up to 45 cups of pet food and features an LCD screen, built-in voice recorder and speaker, programmable portion sizes and feeding times, and pet-proof lock.",2170838,OxGord Paws & Pals Automatic Pet Feeder,PETS,$33,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bon6ujvyu9kk7w6vkkhf",free shipping,,2018-01-03T09:57:02-05:00,,https://www.dealnews.com/Ox-Gord-Paws-Pals-Automatic-Pet-Feeder-for-33-free-shipping/2170838.html,0
"Exclusively for Prime members, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170895"">V8 100% Vegetable Juice 11.5-oz. Can 24-Pack</a> in Original for $11.04. Clip the 25% off coupon on the product page to drop it to <strong>$8.28</strong>. With <strong>free shipping</strong>, that's $7 under picking it up from a local store, although we saw it for $2 less in July. Made from a blend of eight vegetables, this juice offers two full servings of vegetables per 8-oz. serving.",2170895,V8 Vegetable Juice 11.5-oz. Can 24-Pack,GROCERIES,$8 w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zsqreeurf4jx05jit5sz",free shipping,,2018-01-03T09:55:14-05:00,,https://www.dealnews.com/V8-Vegetable-Juice-11.5-oz.-Can-24-Pack-for-8-w-Prime-free-shipping/2170895.html,0
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170913"">Hotels.com</a> takes an <b>up to 40% off</b> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094050,2170913"">hotel stays nationwide</a>. Plus, take an <b>extra 8% off</b> via coupon code ""SAVE8JAN18"". Some exclusions apply. Book this travel deal by January 7 for stays through February 11.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2306/Hotels.com/"">Hotels.com Coupons</a>.</p>",2170913,Hotels.com coupon,HOTELS,Up to 40% off + 8% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mcm0vlzacz87nzowxq7n",,,2018-01-03T09:52:10-05:00,,https://www.dealnews.com/Hotels.com-coupon-Up-to-40-off-8-off/2170913.html,0
"Dell Home, via its Member Purchase Program, offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170904"">Dell Professional Soundbar for Monitors</a> for <b>$47.49</b> with <b>free shipping</b>. That's the lowest price we could find by $4. This soundbar is certified for Microsoft Skype for Business, and is compatible with Dell UltraSharp, P Model, or E Model monitors. Other features include a frequency response of 90Hz to 20kHz plus two built-in microphones.",2170904,Dell Professional Soundbar for Displays,PERIPHERALS,$47,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xoalsoztcafn8zzdnigj",free shipping,,2018-01-03T09:49:30-05:00,,https://www.dealnews.com/Dell-Professional-Soundbar-for-Displays-for-47-free-shipping/2170904.html,0
"Walmart offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170877"">Teddy Ruxpin</a> for <strong>$66.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094032,2170877"">Amazon</a> has it for the same price.) That's $16 under our mention from two weeks ago and the lowest price we've seen. (It's the best deal today by $33.) It measures 14"" and features color LCD eyes, a motorized mouth, sing-along mode, and three original stories. Unlike the original model, which relied on cassette tapes, this version is Bluetooth compatible and also has a companion app (free to download). Four AA batteries are included.",2170877,Teddy Ruxpin,TOYS & HOBBIES,$67,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/elsnazbiap2g2hvixx6v",free shipping,,,2018-01-03T09:50:48-05:00,https://www.dealnews.com/Teddy-Ruxpin-for-67-free-shipping/2170877.html,0
"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170781"">AZ Patio Heaters Extruded Aluminum Rectangular Gas Fire Pit</a> in Bronze for <strong>$433.47</strong> with <strong>free shipping</strong>. That's $96 less than last week's mention and the lowest price we could find by $167. It measures 49.5"" x 37.5"" x 22.5"" and has 42,000-BTU output.",2170781,AZ Patio Heaters Rectangular Gas Fire Pit,PATIO FURNITURE,$433,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dtwqzer04a7yxlr2r6iv",free shipping,,2018-01-03T09:42:39-05:00,,https://www.dealnews.com/AZ-Patio-Heaters-Rectangular-Gas-Fire-Pit-for-433-free-shipping/2170781.html,0
"CheapCaribbean via Dunhill travel offers an <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170907"">All-Inclusive Holiday Inn Resort Los Cabos 3-Night Flight and Hotel Vacation for two</a> in San Jose del Cabo, Mexico, with prices starting at <strong>$880.04</strong>. (Click ""Take Me There!"" on the landing page to see this offer.) Plus, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094017,2170907"">two kids 12 and under stay and eat</a> for <b>free</b>. That's the lowest price we could find for this vacation by $159. This 3-star hotel has an Expedia rating of 85% based on 553 reviews. Book this travel deal by January 9 for travel through April 30.",2170907,3Nt All-Incl. Los Cabos Flight & Hotel Pkg,VACATIONS,from $880 for 2 + kids,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hitryxlwvjxa82g88kcs",,,2018-01-03T09:42:00-05:00,,https://www.dealnews.com/3-Nt-All-Incl.-Los-Cabos-Flight-Hotel-Pkg-from-880-for-2-kids/2170907.html,0
"Dockers cuts an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170403"">select men's, women's, and kids' sale items</a> via coupon code ""TAKE40"". Shipping adds <strong>$7.50</strong>, but orders of $50 or more get free shipping. Some exclusions apply. Deal ends January 7.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1910/Dockers/"">Dockers Coupons</a>.</p>",2170403,Dockers coupon,CLOTHING & ACCESSORIES,Extra 40% off sale items,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e631ccofsqhuiuuszg4o",free shipping w/ $50,,2018-01-03T00:01:00-05:00,,https://www.dealnews.com/Dockers-coupon-Extra-40-off-sale-items-free-shipping-w-50/2170403.html,
