editors_choice,description,uuid,shipping,hotness,category,picture_url,time_published,price,title,url,time_modified
,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170766"">Chaos Men's Summit Bucket Hat</a> in Khaki or Olive for <strong>$6.73</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $8 off and the lowest price we could find. It's available in sizes S/M or L/XL.",2170766,pickup at REI,0,ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ldno9tjw5gldwnxim3t4",2018-01-03T07:59:17-05:00,$7,Chaos Men's Summit Bucket Hat,https://www.dealnews.com/Chaos-Mens-Summit-Bucket-Hat-for-7-pickup-at-REI/2170766.html,
,"REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170808"">Storm Spray-On Deodoriser</a> for <strong>$1.93</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $5 off and the lowest price we could find. It's hypoallergenic.",2170808,pickup at REI,0,CAMPING & OUTDOORS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ysafghepew6stdhmtgg0",2018-01-03T07:57:04-05:00,$2,Storm Spray-On Deodoriser,https://www.dealnews.com/Storm-Spray-On-Deodoriser-for-2-pickup-at-REI/2170808.html,
,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170763"">Nokia Body+ WiFi Bathroom Scale</a> for <strong>$59.97</strong> with <strong>free shipping</strong>. That's tied with our mention from Black Friday week and the lowest price we could find by $20. It gives readings on weight, body fat & water percentage, and muscle & bone mass for up to eight users in kilograms, pounds, or stone & pounds. Deal ends today.",2170763,free shipping,0,HEALTH,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ct3a1tjhgqk19i9enf8u",2018-01-03T07:51:11-05:00,$60,Nokia Body+ WiFi Bathroom Scale,https://www.dealnews.com/Nokia-Body-Wi-Fi-Bathroom-Scale-for-60-free-shipping/2170763.html,
,"At participating <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170757"">Boston Market</a> locations, buy one <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093765,2170757"">individual meal and a drink</a> and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093768,2170757"">second individual meal</a> for <b>free</b> via this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093771,2170757"">printable coupon</a>. (The free meal doesn't include a drink.) <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17093729,2170757"">Click here</a> to find a location near you. Deal ends January 5.<br>
<br>
Note: You may need to close the ""$3 off $10"" pop-up window that appears to see the BOGO coupon.",2170757,,0,RESTAURANTS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u59ilch359lugsep3w9v",2018-01-03T07:43:40-05:00,"Buy 1 meal, get 2nd free",Boston Market coupon,https://www.dealnews.com/Boston-Market-coupon-Buy-1-meal-get-2-nd-free/2170757.html,
,"HP offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170736"">HP Pavilion 570-p045xt Intel Kaby Lake Core i5 3GHz Desktop PC</a> in Silver for <strong>$569.99</strong> with <strong>free shipping</strong>. That's $80 off list and the lowest price we could find. It features an Intel Core i5-7400 3GHz Kaby Lake quad-core processor, 8GB RAM, 1TB hard drive, AMD Radeon RX 460 2GB video card, DVD burner, and Windows 10 Home 64-bit.",2170736,free shipping,1,DESKTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/efkmnujzudlgp4jwuoec",2018-01-03T07:30:46-05:00,$570,HP Kaby Lake i5 PC w/ 2GB GPU,https://www.dealnews.com/HP-Kaby-Lake-i5-PC-w-2-GB-GPU-for-570-free-shipping/2170736.html,
,"Tacklife Direct via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170784"">Tacklife Oscillating Multi-Tool</a> for $52.97. Coupon code ""VT9AMSOF"" drops it to <b>$42.38</b>. With <b>free shipping</b>, that's $3 under our Black Friday week mention, $18 off list, and the lowest price we could find. It features a 23-piece accessory kit and storage case. Deal ends January 5.",2170784,free shipping,3,POWER TOOLS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zjqcnzm88km1qy3ipcwa",2018-01-03T07:26:57-05:00,$42,Tacklife Oscillating Multi-Tool,https://www.dealnews.com/Tacklife-Oscillating-Multi-Tool-for-42-free-shipping/2170784.html,
,"as_seen_on_tv via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170730"">Bionic Steel 50-Foot Garden Hose</a> for <strong>$34.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. It is flexible, puncture proof, and pressure resistant.",2170730,free shipping,3,GARDEN,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nb1lrdj82ylkcdtxhmum",2018-01-03T07:19:01-05:00,$35,Bionic Steel Garden Hose,https://www.dealnews.com/Bionic-Steel-Garden-Hose-for-35-free-shipping/2170730.html,
,"Yallstore via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170724"">Car Auto 12-volt Vacuum Cleaner</a> for <strong>$6.95</strong> with <strong>free shipping</strong>. That's tied with last week's mention, $7 off, and the lowest price we could find. It includes a nozzle attachment and an upholstery tool / dust brush.",2170724,free shipping,3,AUTOMOTIVE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iofk6msiep1httaeanxx",2018-01-03T07:13:39-05:00,$7,Car 12V Vacuum Cleaner,https://www.dealnews.com/Car-12-V-Vacuum-Cleaner-for-7-free-shipping/2170724.html,
,"Lazy Mooon via eBay offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170709"">Lazy Moon Portable 5-Gallon Toilet</a> for <strong>$49.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $17. Features include a waste tank, water tank, latch to lock sides together, and pedestal design.",2170709,free shipping,3,CAMPING & OUTDOORS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ilmh1ql5kdoavnadtccd",2018-01-03T07:09:14-05:00,$50,Lazy Moon Portable 5-Gallon Toilet,https://www.dealnews.com/Lazy-Moon-Portable-5-Gallon-Toilet-for-50-free-shipping/2170709.html,
,"T-Mobile cuts <b>$90 off</b> its Certified Pre-Owned <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170448"">Samsung Galaxy S8 4G LTE Android Smartphones for T-Mobile</a>. Plus, <b>free shipping</b> applies. It features an octacore (2.3GHz Quad + 1.7GHz Quad) processor, 5.8"" 2960x1440 touchscreen Super AMOLED LCD, 4GB RAM, 64GB internal storage, dual 12-megapixel rear-facing cameras, 8-megapixel front-facing camera, 4K video recording at 30fps, 802.11ac wireless, Bluetooth 5.0, microSD card slot, water-resistance, and Android 7.0 (Nougat).",2170448,free shipping,,ANDROID PHONES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wqjjgzlemihkbtmi470q",2018-01-03T00:01:00-05:00,$90 off,Pre-Owned Galaxy S8 4G LTE Phone for T-Mobile,https://www.dealnews.com/Pre-Owned-Galaxy-S8-4-G-LTE-Phone-for-T-Mobile-90-off-free-shipping/2170448.html,
