hotness,description,time_published,editors_choice,time_modified,shipping,url,uuid,price,category,picture_url,title
0,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171261"">Express</a> takes an <strong>extra 40% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095262,2171261"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095265,2171261"">women's clearance items</a>. (Discount is applied automatically in-cart.) Plus, coupon code ""2869"" takes <b>15% off</b> most regular-price items. Shipping adds <strong>$8</strong>, but orders of $50 or more qualify for free shipping. Some exclusions apply. Deal ends January 20.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s273/Express/"">Express Coupons</a>.</p>",2018-01-03T17:20:29-05:00,,,free shipping w/ $50,https://www.dealnews.com/Express-Clearance-Sale-Extra-40-Off-free-shipping-w-50/2171261.html,2171261,Extra 40% Off,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hvd4psobimaskomcdayj",Express Clearance Sale
0,"Dick's Sporting Goods takes <strong>up to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095103,2171216"">men's, women's, and kids' bikes</a>. (Prices are as marked.) Where available, choose in-store <b>pickup</b> to avoid shipping fees, which start at $5, although select items receive free shipping. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171216"">Columbia Unisex Hampton 7-Speed Beach Cruiser Bike</a> for <strong>$199.99</strong> + <b>$25</b> s&amp;h (pictured, $100 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095106,2171216"">Diamondback Women's Laurito Mountain Bike</a> for <strong>$349.99</strong> + <b>$5</b> s&amp;h (low by $11)
 </li>
</ul>
Note: You may receive $10 in Dick's Cash with select orders of $50 or more when you choose in-store pickup. (Availability varies greatly by ZIP code. The credit will arrive via email within 10 days of purchase and must be redeemed by February 21.) This deal ends January 27. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095109,2171216"">Click here</a> for more information.",2018-01-03T17:20:22-05:00,,,,https://www.dealnews.com/Bikes-at-Dicks-Sporting-Goods-Up-to-50-off/2171216.html,2171216,Up to 50% off,BICYCLING,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pa7j3gdq9pr35fbjukdq",Bikes at Dick's Sporting Goods
0,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170799"">Louis Garneau Women's Icefit 2 Bike Jersey</a> in White for <strong>$44.73</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $13. It's available in sizes XS to XXL.",2018-01-03T17:15:10-05:00,,,pickup at REI,https://www.dealnews.com/Louis-Garneau-Womens-Icefit-2-Bike-Jersey-for-45-pickup-at-REI/2170799.html,2170799,$45,ACTIVEWEAR,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zp4qwopxx2sjroimidj2",Louis Garneau Women's Icefit 2 Bike Jersey
4,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171252"">Head &amp; Shoulders Smooth and Silky Conditioner 23-oz. Bottle</a> for $4. Clip the $2 off coupon on the product page to drop that to <strong>$2</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $4. Deal ends January 27.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",2018-01-03T17:01:56-05:00,,,free shipping,https://www.dealnews.com/Head-Shoulders-Conditioner-23-oz.-Bottle-for-2-w-25-purchase-free-shipping/2171252.html,2171252,$2 w/ $25 purchase,HAIR CARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lvqguflftwmdwdikmgqa",Head & Shoulders Conditioner 23-oz. Bottle
3,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171240"">Garmin Vivofit 3 Style Collection Bluetooth Fitness Band</a> in Gabrielle for <b>$32.99</b> with <b>free shipping</b>. (You may need to apply coupon code ""c11711274713"" to see this price.) That's tied with our mention from a month ago and the best deal we could find today by $16. This water-resistant fitness tracker monitors steps, calories, distance, intensity minutes, and sleep. It features a 64x64 always-on LCD, Garmin Move IQ automatic activity detection, watch function, audible alerts, inactivity alerts, and 1-year battery life. It comes with two sculpted silicone bands. It's available in regular fit only. Deal ends January 5.<br>
<br>
Also available is the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095226,2171240"">Garmin Vivofit 3 Regular Fit Bluetooth Fitness Band</a> in Black or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095163,2171240"">White</a> for <strong>$49.99</strong> with <strong>free shipping</strong>. (It's available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095166,2171240"">XL Fit in Black</a> for the same price. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095169,2171240"">Groupon</a> charges the same.) That's the lowest price we could find now by $7, although we saw it for $20 less on Black Friday. Its functions are the same as the above device, but it comes with just one standard silicone band.",2018-01-03T16:55:40-05:00,,,free shipping,https://www.dealnews.com/Garmin-Vivofit-3-Style-Bluetooth-Fitness-Band-from-33-free-shipping/2171240.html,2171240,from $33,SPORTS & FITNESS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/po4oeeyfruxmdoctzinn",Garmin Vivofit 3 Style Bluetooth Fitness Band
5,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171249"">The 7th Guest for iPhone and iPad</a> for <b>free</b>. That's $5 off list and the lowest price we could find.",2018-01-03T16:51:42-05:00,,,,https://www.dealnews.com/The-7-th-Guest-for-iPhone-and-iPad-for-free/2171249.html,2171249,free,IPHONE / IPOD APPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z0uzr6wczeql5rckewlf",The 7th Guest for iPhone and iPad
3,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171228"">Home Decorators Collection Hamilton Infrared Pocket Mantel Heater</a> in Aged White for <b>$199</b> with <b>free shipping</b>. That's $30 off list and the lowest price we could find. It features a quartz infrared heating element, 5,200 BTU, adjustable thermostat, timer, automatic cutoff, and remote control. Deal ends January 4.",2018-01-03T16:30:21-05:00,,,free shipping,https://www.dealnews.com/Home-Decorators-Collection-Hamilton-Heater-for-199-free-shipping/2171228.html,2171228,$199,HEATERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u7czzkcubws12f6m64lh",Home Decorators Collection Hamilton Heater
3,"Pido Products offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171225"">Pido Universal Car Seat Protector for Child Car Seat</a> in Black for $18.99. Coupon code ""NPQBDNW9"" cuts that to <strong>$14.62</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's $4 off and the lowest price we could find. It measures 49"" x 18"" and features three storage pockets. Deal ends January 15.",2018-01-03T16:15:30-05:00,,,free shipping w/ Prime,https://www.dealnews.com/Pido-Car-Seat-Protector-for-Child-Car-Seat-for-15-free-shipping-w-Prime/2171225.html,2171225,$15,AUTOMOTIVE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/voy16geob9l3dmtkkyt2",Pido Car Seat Protector for Child Car Seat
4,"Costco offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171207"">SafeRacks Garage 4x8-Foot Storage Rack 2-Pack</a> with 18-Piece Deluxe Hook Kit in three drop ranges (12""-21"" to 24""-45"") for <strong>$249.99</strong> with <strong>free shipping</strong>. (Non-members pay a $12.50 surcharge.) That's $10 under our mention from last January, $150 off list, and the lowest total price we've seen. It includes two 4x8-foot racks and an 18-piece deluxe hook set. Deal ends January 28.",2018-01-03T16:13:22-05:00,,,free shipping,https://www.dealnews.com/Safe-Racks-Overhead-Garage-Storage-Combo-Kit-from-250-free-shipping/2171207.html,2171207,from $250,TOOL STORAGE & ORGANIZATION,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d9tdh65p9oje0fkrybsg",SafeRacks Overhead Garage Storage Combo Kit
,"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170364"">$15 Sam's Club Gift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092991,2170364"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17092994,2170364"">Sam's Club 1-Year Membership</a>. Deal ends January 31.",2018-01-03T00:01:00-05:00,,,,https://www.dealnews.com/15-Sams-Club-Gift-Card-free-w-membership/2170364.html,2170364,free w/ membership,SAM'S CLUB COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",$15 Sam's Club Gift Card
