editors_choice,shipping,picture_url,hotness,price,time_published,category,uuid,time_modified,description,url,title
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dgkre7hd0qjxdre0ci11",0,$1,2018-01-03T23:50:37-05:00,TOOTHPASTE,2171363,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171363"">Crest Baking Soda and Peroxide Whitening with Tartar Protection Fresh Mint 4.6-oz. Toothpaste</a> for $2.99. Clip the $2 off coupon to drop that to <strong>$0.99</strong>. Plus Prime members qualify for <strong>free shipping</strong>. That's $1 under our July mention, $2 off list, and the lowest price we've seen.",https://www.dealnews.com/Crest-Whitening-Fresh-Mint-4.6-oz.-Toothpaste-for-1-free-shipping/2171363.html,Crest Whitening Fresh Mint 4.6-oz. Toothpaste
True,$7 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbqkbpk156dl4obwcuws",0,$55,2018-01-03T23:39:48-05:00,SHOES,2171360,,"JackRabbit offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171360"">Saucony Men's / Women's Kinvara 8 Running Shoes</a> in several colors (Grey/Blue/Orange pictured) for $110. Coupon code ""JOMRPJ50"" cuts the price to <strong>$54.97</strong>. With <strong>$6.99</strong> for shipping, that's the lowest price we could find by $42. They're available in men's sizes 8 to 13 and women's sizes 6.5 to 11.",https://www.dealnews.com/Saucony-Mens-Womens-Kinvara-8-Shoes-for-55-7-s-h/2171360.html,Saucony Men's / Women's Kinvara 8 Shoes
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ib5t88wzg7mlmzbhpqrx",3,$14... or less,2018-01-03T23:19:06-05:00,T-SHIRTS,2171357,,"Under Armour offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171357"">UA Men's Threadborne Siro V-Neck Short Sleeve T-Shirt</a> in Artillery Green or Pomegranate for <strong>$13.50</strong>. Coupon code ""FSASHOLIDAY"" nets <strong>free shipping</strong>. That's the lowest price we could find by $3, outside of the deal below. It's available in sizes S to XXL. Deal ends January 11.<br>
<br>
Note: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095448,2171357"">Amazon</a> offers it in Artillery Green in size small only for $11.07 with free shipping for Prime members.",https://www.dealnews.com/UA-Mens-Threadborne-Siro-V-Neck-T-Shirt-for-14...-or-less-free-shipping/2171357.html,UA Men's Threadborne Siro V-Neck T-Shirt
,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m1dm4ixbgrf8i1jyjtvc",3,$17,2018-01-03T22:51:03-05:00,TOYS & HOBBIES,2171354,,"Liberty Imports via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171354"">Power Tools 31-Piece Pretend Tool Set</a> for <strong>$16.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It features a 12"" x 6"" x 6"" tool box and includes a variety of tools, screws, nuts, bolts, and safety gear.",https://www.dealnews.com/Power-Tools-31-Piece-Pretend-Tool-Set-for-17-free-shipping-w-Prime/2171354.html,Power Tools 31-Piece Pretend Tool Set
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vd8daq3nmyrpqajufx8d",3,$900,2018-01-03T22:28:00-05:00,LAPTOPS,2170850,,"Lenovo offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170850"">Lenovo Yoga 720 Intel Kaby Lake Core i7 2.7GHz 12.5"" 1080p Laptop</a> in Iron Grey for <strong>$899.99</strong> with <strong>free shipping</strong>. That's $300 off and the lowest price we could find. It features an Intel Core i7-7500U 2.7GHz Kaby Lake dual-core processor, 12.5"" 1920x1080 (1080p) LCD, 8GB RAM, 512GB SSD, 3-cell battery, and Windows 10 Home 64-bit.",https://www.dealnews.com/Lenovo-Kaby-Lake-i7-2.7-GHz-13-1080-p-Laptop-for-900-free-shipping/2170850.html,"Lenovo Kaby Lake i7 2.7GHz 13"" 1080p Laptop"
,pickup at Home Depot,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q3fhr0qrwfkljp0jht2h",4,$200,2018-01-03T22:05:10-05:00,HOME FURNITURE,2171054,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171054"">Home Decorators Collection Martin Glass Door Bookcase</a> in Black for <b>$199.50</b>. Choose in-store <b>pickup</b> to dodge the $55 shipping fee. That's the lowest price we could find by $165. It features five adjustable shelves and four doors. Deal ends January 7.",https://www.dealnews.com/Home-Decorators-Martin-Glass-Door-Bookcase-for-200-pickup-at-Home-Depot/2171054.html,Home Decorators Martin Glass Door Bookcase
,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/es7nbdlorbae5qhjpisz",4,$6,2018-01-03T21:57:03-05:00,KITCHEN,2171351,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171351"">Cuisinart Non-Stick Nacho Grilling Platter</a> for <strong>$5.71</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $4. It features a 13"" diameter.",https://www.dealnews.com/Cuisinart-Non-Stick-Nacho-Grilling-Platter-for-6-pickup-at-Walmart/2171351.html,Cuisinart Non-Stick Nacho Grilling Platter
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzhibtmfdb4sdlfdeig0",3,$180,2018-01-03T21:52:40-05:00,HOME FURNITURE,2171294,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171294"">Storkcraft Caribou Solid Hardwood Twin Bunk Bed</a> in Navy for <b>$179.99</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095355,2171294"">Amazon</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095358,2171294"">Hayneedle</a> have it for the same.) That's the lowest price we could find in any color by $118. It features solid wood construction and measures 42.6"" x 78.4"" x 58.3"".",https://www.dealnews.com/Storkcraft-Caribou-Twin-Bunk-Bed-for-180-free-shipping/2171294.html,Storkcraft Caribou Twin Bunk Bed
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/akitx7ipndmhxu1y6pzi",3,$11,2018-01-03T21:45:24-05:00,SOFTWARE,2171339,,"Udemy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171339"">Unity Networking From Scratch Course</a> for <strong>$10.99</strong>. That's $139 off and the lowest price we could find. It includes over six hours of content.",https://www.dealnews.com/Unity-Networking-From-Scratch-Course-for-11/2171339.html,Unity Networking From Scratch Course
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",,$150 cash rewards offer,2018-01-03T11:25:50-05:00,CREDIT CARDS,2170991,,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170991"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Plus, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094431,2170991"">purchases and for any balance transfers</a> made in the first 60 days, then, <strong>14.24% - 24.24% variable APR</strong>. A 3% fee (min $10) applies to balance transfers. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://www.dealnews.com/lw/click.html?20,2,2170991",Bank of America® Cash Rewards Credit Card
,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xdv25mpxnetwmfaib83t",3,$8,2018-01-03T21:44:00-05:00,DECOR,2171348,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171348"">Tricc Square Coasters 4-Pack</a> in Natural for <strong>$7.59</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $2. Each measures 4x4"".",https://www.dealnews.com/Tricc-Square-Coasters-4-Pack-for-8-pickup-at-Walmart/2171348.html,Tricc Square Coasters 4-Pack
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o1knydkib1yhvssrxeys",4,$41,2018-01-03T21:26:24-05:00,SHOES,2171201,,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171201"">Nike Men's SB Dunk Low Pro Shoes</a> in Blue or Orange for $54.97. In-cart that drops to <b>$41.23</b>. Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095061,2171201"">join</a>.) That's the lowest price we could find by $49. They're available in select sizes from 5 to 12. Deal ends January 4.",https://www.dealnews.com/Nike-Mens-SB-Dunk-Low-Pro-Shoes-for-41-free-shipping/2171201.html,Nike Men's SB Dunk Low Pro Shoes
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cnzlixgmvtmni0c8zyte",3,$80,2018-01-03T21:22:35-05:00,LAPTOPS,2171345,,"Tanga offers the refurbished 2.8-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171345"">Acer C720-2103 Intel Celeron 1.4GHz 11.6"" Chromebook</a> in Granite Gray for <strong>$79.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $40 for a refurb elsewhere and the best price we've seen in any condition. It features an Intel Celeron 2955U 1.4GHz Haswell dual-core processor, 11.6"" LED-backlit 1366x768 LCD, 2GB RAM, 16GB SSD, 802.11n wireless, Bluetooth 4.0, USB 3.0, HDMI, 3-cell battery, and Google Chrome OS.<br>
<br>
Note: A 30-day warranty applies, but it's unclear who backs it. This product will include signs of wear, including scratches and dents, but is fully functional.",https://www.dealnews.com/Refurb-Acer-Celeron-Dual-12-Chromebook-for-80-free-shipping/2171345.html,"Refurb Acer Celeron Dual 12"" Chromebook"
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ognbqilockcheebxfkkp",1,$53,2018-01-03T20:59:26-05:00,JEWELRY,2171084,,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171084"">35"" Freshwater White Pearl Strand Opera Necklace</a> for $139.99. Coupon code ""dealnews87"" drops it to <strong>$52.99</strong>. With <strong>free shipping</strong>, that's $157 off list and tied with our November mention as the lowest price we could find. It features 9.5mm to 11.5mm off-round pearls with a quality grade of AA+ and hand-knotting between each pearl. Deal ends January 10.",https://www.dealnews.com/35-Freshwater-White-Pearl-Strand-Necklace-for-53-free-shipping/2171084.html,"35"" Freshwater White Pearl Strand Necklace"
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ryxz89mgwcablvl0oxsd",3,$540,2018-01-03T20:47:05-05:00,TVS,2171246,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171246"">Sceptre 64.5"" 4K LED-Backlit LCD Ultra HD Television</a>, model no. U650CV-U, for <strong>$539.99</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago and the lowest price we could find by $130, although we saw it for $40 less three weeks ago. It features a 3840x2160 native resolution, USB, and four HDMI inputs.",https://www.dealnews.com/Sceptre-65-4-K-LED-LCD-UHD-TV-for-540-free-shipping/2171246.html,"Sceptre 65"" 4K LED LCD UHD TV"
,pickup at REI,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lsrcrwkglmori6xj5kpf",3,$39,2018-01-03T20:45:39-05:00,PANTS,2171264,,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171264"">Columbia Women's Silver Ridge Stretch Pants</a> in Shark or British Tan for <b>$38.73</b>. Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's the lowest price we could find by $21, excluding the below mention. They're available in select sizes from 2 to 16.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095277,2171264"">Columbia</a> has them for $39.90 with free shipping via its Greater Rewards program. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095280,2171264"">sign up</a>.)",https://www.dealnews.com/Columbia-Womens-Silver-Ridge-Stretch-Pants-for-39-pickup-at-REI/2171264.html,Columbia Women's Silver Ridge Stretch Pants
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/usofeigqqkp27ooorfry",2,$270,2018-01-03T20:43:13-05:00,TVS,2171258,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171258"">Sceptre 50"" 1080p LED-Backlit LCD HD Television</a>, model no. X505BV-F, for <strong>$269.99</strong> with <strong>free shipping</strong>. That's $10 under our October mention and the lowest price we could find by $89. It features a 1920x1080 (1080p) native resolution, USB, and three HDMI inputs.",https://www.dealnews.com/Sceptre-50-1080-p-LED-LCD-HDTV-for-270-free-shipping/2171258.html,"Sceptre 50"" 1080p LED LCD HDTV"
,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hndjclcv22owrzjeehqh",3,$110,2018-01-03T20:40:56-05:00,SPEAKERS,2171162,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171162"">LG 2.1 Channel 300-Watt Bluetooth Soundbar with Wireless Subwoofer</a> for the in-cart price of <strong>$109.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $20. It features dynamic range control, Dolby Digital, DTS Surround, and optical input.",https://www.dealnews.com/LG-2.1-300-W-Bluetooth-Soundbar-and-Subwoofer-for-110-free-shipping/2171162.html,LG 2.1 300W Bluetooth Soundbar and Subwoofer
,pickup at Home Depot,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jpd42wtjeeidf7e9clcr",3,$12,2018-01-03T20:36:51-05:00,SEASONAL/HOLIDAYS,2171333,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171333"">Whitmor 12"" x 8"" Christmas Ornament Storage Box</a> for <b>$11.59</b>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's the lowest price we could find by $9. It features 42 compartments, removable top, and window for viewing.",https://www.dealnews.com/Whitmor-Christmas-Ornament-Storage-Box-for-12-pickup-at-Home-Depot/2171333.html,Whitmor Christmas Ornament Storage Box
