uuid,editors_choice,description,time_modified,shipping,url,hotness,picture_url,price,title,time_published,category
2171423,,"As one of its daily deals, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171423"">Contigo 24-oz. Autoseal Chill Stainless Steel Water Bottle</a> in several colors (Grapevine pictured) for <strong>$11.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $3. It keeps drinks cold for up to 28 hours. Deal ends today.",,free shipping w/ Prime,https://www.dealnews.com/Contigo-24-oz.-Stainless-Steel-Water-Bottle-for-12-free-shipping-w-Prime/2171423.html,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cep0ssh9eu7ouhadpsax",$12,Contigo 24-oz. Stainless Steel Water Bottle,2018-01-04T03:59:20-05:00,CAMPING & OUTDOORS
2171414,,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171414"">Ethos Farmer Carry Bars</a> for <strong>$89.99</strong> with <strong>free shipping</strong>. That's $60 off list and the best price we could find. They weigh 27 lbs. each and include two 60"" steel carry bars.",,free shipping,https://www.dealnews.com/Ethos-Farmer-Carry-Bars-for-90-free-shipping/2171414.html,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/q6tt4vgdjffjpzrzs189",$90,Ethos Farmer Carry Bars,2018-01-04T03:54:29-05:00,EXERCISE EQUIPMENT
2171402,,"Yallstore via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171402"">30-Liter Military Tactical Backpack</a> in several colors (Mud pictured) for <strong>$13.89</strong> with <strong>free shipping</strong>. That's tied with last week's mention and the lowest price we could find by $2. It features two zippered main compartments, front zippered pouches, MOLLE straps, and removable adjustable chest and hip belts.",,free shipping,https://www.dealnews.com/30-L-Military-Tactical-Backpack-for-14-free-shipping/2171402.html,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxrwxzrkgoummd8da8gj",$14,30L Military Tactical Backpack,2018-01-04T03:23:23-05:00,BACKPACKS
2171393,,"As one of its daily deals, Newegg offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171393"">Krazilla KZA-BF01 Bluetooth 4.0 USB 2.0 Adapter</a> for $7.99. Redeem this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095472,2171393"">$7.99 mail-in rebate</a> to cut that to <strong>$0</strong>. With <strong>free shipping</strong>, that's $8 off and the best price we could find. (It's also at least $10 less than what you'd pay for a similar adapter new.) Deal ends today.<br>
<br>
Note: A 90-day warranty applies but it's unclear who covers it.",,free shipping,https://www.dealnews.com/Refurb-Krazilla-Bluetooth-USB-2.0-Adapter-for-0-after-rebate-free-shipping/2171393.html,5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j2x5aooabiashjwoigi5",$0 after rebate,Refurb Krazilla Bluetooth USB 2.0 Adapter,2018-01-04T03:18:33-05:00,ADAPTERS
2171387,,"Running Warehouse offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171387"">adidas Men's Ultra Boost Running Shoes</a> in Petrol Night for $124.98. In-cart, the price drops to <strong>$93.66</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $5. They're available in sizes 9.5 to 11.5.",,free shipping,https://www.dealnews.com/adidas-Mens-Ultra-Boost-Running-Shoes-for-94-free-shipping/2171387.html,5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kuxbiqbkgavg9bcgfsek",$94,adidas Men's Ultra Boost Running Shoes,2018-01-04T02:12:57-05:00,SHOES
2171384,,"For Prime members only, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171384"">Storage Case for PlayStation VR</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095466,2171384"">GameStop</a> charges the same via pickup.) That's the lowest price we could find by $8. It features an internal mesh pouch.",,free shipping,https://www.dealnews.com/Storage-Case-for-Play-Station-VR-for-20-w-Prime-free-shipping/2171384.html,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rlbvetnmpr0t1pgblfet",$20 w/ Prime,Storage Case for PlayStation VR,2018-01-04T01:53:32-05:00,ACCESSORIES
2171381,True,"Hamilton Book offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171381"">Peter Gabriel: New Blood Live in London Deluxe Edition on Blu-ray / DVD</a> for <strong>$7.95</strong> plus <strong>$4</strong> for shipping. That's tied with our April mention and the lowest total price we could find by $70. It includes a photo book, audio CD, and Blu-ray and DVD versions of the concert.",,$4 shipping,https://www.dealnews.com/Peter-Gabriel-New-Blood-Deluxe-on-Blu-ray-for-8-4-s-h/2171381.html,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hnfufvigu145i516njcg",$8,Peter Gabriel: New Blood Deluxe on Blu-ray,2018-01-04T01:30:38-05:00,BLU-RAY DISC MOVIES
2171378,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171378"">Pure Protein Bar Variety 18-Pack</a> in Assorted Flavors for $12.42. Clip the $1 off coupon to cut that to <strong>$11.42</strong>. Plus Prime members qualify for <strong>free shipping</strong>. That's 63 cents per bar and $6 under what you'd pay at local warehouse club stores.",,free shipping,https://www.dealnews.com/Pure-Protein-Bar-Variety-18-Pack-for-11-free-shipping/2171378.html,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwsclyytmwlvx6seeomv",$11,Pure Protein Bar Variety 18-Pack,2018-01-04T01:27:11-05:00,GROCERIES
2171375,,"Costco offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171375"">Optimum Nutrition Gold Standard 100% Whey Protein 6.4-lb. Bag</a> in Chocolate or Vanilla from <strong>$41.99</strong> plus <strong>$1.99</strong> for shipping. (Non-members pay $3 more.) That's $3 under our June mention and the lowest price we could find by $25. It includes 90 servings, and each contains 24 grams of protein. Deal ends January 28.",,$2 shipping,https://www.dealnews.com/Optimum-Nutrition-100-Whey-Protein-6-lb.-Bag-from-42-2-s-h/2171375.html,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ba4ch1cqwhzvnth50ssg",from $42,Optimum Nutrition 100% Whey Protein 6-lb. Bag,2018-01-04T01:15:25-05:00,SUPPLEMENTS
2171243,,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171243"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",,free shipping w/ Prime,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2171243.html,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",$9,Soufull Stainless Steel Poultry Scissors,2018-01-04T00:01:00-05:00,KITCHEN
