time_published,time_modified,hotness,uuid,description,title,editors_choice,url,price,picture_url,category,shipping
2018-01-04T11:58:30-05:00,,0,2171813,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171813"">iView Intel Atom Bay Trail 1.33GHz 8.95"" 32GB 2-in-1 Tablet</a> in Black for <strong>$87.99</strong> with <strong>free shipping</strong>. That's tied with our November mention, $62 off, and the lowest price we've seen. It functions as a laptop or tablet and features an Intel Atom Z3735F 1.33GHz Bay Trail quad-core processor, 8.95"" 1024x600 touchscreen display, 2GB RAM, 32GB storage, 2-megapixel rear camera, 0.3-megapixel front-facing camera, 802.11n wireless, Bluetooth 4.0, USB 2.0, micro HDMI, microSD card reader, and Windows 10.","iView 9"" 2-in-1 32GB Windows 10 Tablet",,https://www.dealnews.com/iView-9-2-in-1-32-GB-Windows-10-Tablet-for-88-free-shipping/2171813.html,$88,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jcj6uumjampnmjeirh9f",TABLETS,free shipping
2018-01-04T11:55:53-05:00,,0,2171762,"Cambond via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171762"">Cambond Universal CD Slot Magnetic Car Phone Holder</a> for $10.99. Coupon code ""ZTJJYNRE"" cuts it to <strong>$6.99</strong>. With <strong>free shipping</strong>, that's $19 off and the lowest price we could find, although we saw it for a buck less on Black Friday. It features 360° rotatable ball joint. Deal ends January 7.",Cambond CD Slot Magnetic Phone Holder,,https://www.dealnews.com/Cambond-CD-Slot-Magnetic-Phone-Holder-for-7-free-shipping/2171762.html,$7,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cwdsbwqasawv7xtgewu4",CELL PHONE ACCESSORIES,free shipping
2018-01-04T11:50:20-05:00,,0,2171795,"Today only, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171795"">shopDisney</a> offers <strong>free shipping</strong> sitewide with no minimum purchase required via coupon code ""FREESHIP"". (Shipping usually starts at $5.95; we only saw no-minimum free shipping at shopDisney thrice all last year.) Better yet, this coupon stacks with already-discounted <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096285,2171795"">sale items</a>, which start at <strong>$1.75</strong>. Some exclusions may apply.",shopDisney coupon,,https://www.dealnews.com/shop-Disney-coupon-Free-shipping-sitewide/2171795.html,Free shipping sitewide,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bxe98orvw8mscy0lz6q6",SHOPDISNEY COUPONS,
2018-01-04T11:47:55-05:00,,0,2171792,"Brefac Direct via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171792"">Tcisa Car Vacuum Cleaner</a> in Black for $23.96. Coupon code ""5YT6B5BC"" cuts it to <strong>$11.98</strong>. With <strong>free shipping</strong>, that's tied with our mention from two weeks ago, $12 off, and the lowest price we could find. It plugs into your vehicle's 12-volt outlet and includes five attachments. Deal ends January 31.",Tcisa Car Vacuum Cleaner,,https://www.dealnews.com/Tcisa-Car-Vacuum-Cleaner-for-12-free-shipping-w-Prime/2171792.html,$12,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vlr8bgjjwfypnadlcgsm",AUTOMOTIVE,free shipping w/ Prime
2018-01-04T11:47:45-05:00,,0,2171765,"Toys""R""Us offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171765"">Disney Playmation Avengers Starter Pack Repulsor</a> for $9.99. Coupon code ""NEWYEARS20"" cuts the price to <strong>$7.99</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our September mention and is the lowest price we could find by $8. It includes repulsor gear with motion-sensing technology, two power activators, two smart figures, and 25 embedded missions. 12 AA batteries are required (not included).",Disney Playmation Avengers Repulsor Pack,,https://www.dealnews.com/Disney-Playmation-Avengers-Repulsor-Pack-for-8-pickup-at-Toys-R-Us/2171765.html,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yackip0kuithw0hbblq8",TOYS & HOBBIES,"pickup at Toys""R""Us"
2018-01-04T11:42:32-05:00,,0,2171780,"At Virgin Vacations, take <strong>$100 off per person</strong> on <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171780"">Spring Break 2018 Air-Inclusive Vacations</a> via coupon code ""DHILL2018"", as provided by Dunhill Travel. These coupons apply to destinations including the United Kingdom, Ireland, France, Spain, China, Japan, and many others. Some exclusions and blackout dates apply. Book this travel deal by January 9.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s39508/Dunhill-Travel/"">Dunhill Travel Coupons</a>.</p>",Virgin Vacations Spring Break Coupon,,https://www.dealnews.com/Virgin-Vacations-Spring-Break-Coupon-100-off-per-person/2171780.html,$100 off per person,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jteb6tyyjfpqiurnbooh",VACATIONS,
2018-01-04T11:39:54-05:00,,0,2171759,"TacklifeDirect via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171759"">Tacklife Heat Gun</a> for $39.97. Coupon code ""9ONU8CPO"" cuts that to <strong>$31.58</strong>. With <strong>free shipping</strong>, that's a buck under our mention from three weeks ago, $8 off, and the lowest price we've seen. This 1,600-watt heat gun features four nozzle attachments, three air flow modes, a 1,112°F maximum temperature, 122°F cooling mode, and 5.9-foot cord. Deal ends January 7.",Tacklife Heat Gun,,https://www.dealnews.com/Tacklife-Heat-Gun-for-32-free-shipping/2171759.html,$32,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yktssg84bixkknftuk7s",POWER TOOLS,free shipping
2018-01-04T11:39:53-05:00,,0,2171768,"Ending today, Newegg takes <strong>50% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096243,2171768"">video games and accessories</a> via coupon code ""EMCPEPT49"". Shipping starts at <strong>$1.99</strong>, although select items receive free shipping. A couple of best bets, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096228,2171768"">Mad Catz Kama Stereo Headset</a> for <strong>$9.99</strong> + <strong>$3</strong> s&amp;h (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171768"">Wolfenstein 2: The New Colossus for PS4</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096231,2171768"">XB1</a>, or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096234,2171768"">PC</a> for <strong>$24.99</strong> + <strong>$3</strong> s&amp;h (pic, low by $7)
 </li>
</ul>",Video Games & Accessories at Newegg,,https://www.dealnews.com/Video-Games-Accessories-at-Newegg-50-off/2171768.html,50% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jxn8xuzk4srr6jaatdfj",GAMES,
2018-01-04T11:37:37-05:00,,0,2171708,"As one of its daily deals, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171708"">New Balance Men's Strobe Running Shoes</a> in Black for <b>$29.99</b>. Coupon code ""DOLLARSHIP"" unlocks <b>$1</b> for shiping. That's the lowest price we could find by $21, although we saw them for a buck less last month. They're available in regular and wide widths in select sizes from 8 to 13. Deal ends today.",New Balance Men's Strobe Sneakers,,https://www.dealnews.com/New-Balance-Mens-Strobe-Sneakers-for-30-1-s-h/2171708.html,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zn3grmvziincih1ftcln",SHOES,$1 shipping
2018-01-04T00:01:00-05:00,,,2171222,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171222"">Dell Home</a>, via its Member Purchase Program, offers discounts of <strong>up to 30% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095121,2171222"">laptops, desktops, tablets, electronics, and accessories</a>. Plus, <b>free shipping</b> applies to most items.",Dell Member Purchase Program,,https://www.dealnews.com/Dell-Member-Purchase-Program-Up-to-30-off-free-shipping/2171222.html,Up to 30% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dq5mvihrblbv01lxryec",COMPUTERS,free shipping
