category,title,time_modified,price,time_published,description,url,uuid,editors_choice,picture_url,shipping,hotness
KIDS' SHOES,Reebok Kids' Shoes,,"Buy 1, get 2nd for free",2018-01-04T17:56:58-05:00,"At Reebok, buy <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097128,2172056"">one pair of kids' shoes</a> and get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097113,2172056"">second pair</a> of equal or lesser value for <strong>free</strong> via coupon code ""NEWKICKS"". Plus, account holders bag <strong>free shipping</strong>. (It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097116,2172056"">sign up</a>.) Some exclusions apply. Deal ends January 7. A couple of eligible best bets, with prices <i>before</i> discount:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172056"">Reebok Infant/Toddler Girls' Classic Leather Pastel Shoes</a> for $42 (pictured)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097119,2172056"">Reebok Grade School Boys' JJ II Low Shoes</a> for $75
 </li>
</ul>",https://www.dealnews.com/Reebok-Kids-Shoes-Buy-1-get-2-nd-for-free-free-shipping/2172056.html,2172056,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fgurt4zyoj6dt94y1bvi",free shipping,0
MONITORS,"Dell 38"" 21:9 Curved LED Display, $50 Dell GC",,"$1,045",2018-01-04T17:52:52-05:00,"Dell Home, via its Member Purchase Program, offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171843"">Dell UltraSharp 37.5"" 21:9 Curved IPS LED-Backlit LCD Monitor</a> for <strong>$1,044.99</strong> with <strong>free shipping</strong>. Plus, Dell Advantage Loyalty Reward members also bag <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096432,2171843"">$50 in Dell Bonus Rewards</a>. (It'll appear as a credit in your account. Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096435,2171843"">join</a>.) Assuming you use the credit, that's $3 under last month's mention and the lowest price we could find by $105. It features a 3840x1600 native resolution, sRGB over 99%, dual 9-watt speakers, six USB 3.0 ports, USB-C, DisplayPort, two HDMI inputs, and height-, tilt-, and swivel-adjustable stand.",https://www.dealnews.com/Dell-38-21-9-Curved-LED-Display-50-Dell-GC-for-1-045-free-shipping/2171843.html,2171843,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ampqafjfmrh3dframga5",free shipping,0
TOYS & HOBBIES,Lego Star Wars Microfighter Set,,$16,2018-01-04T17:44:20-05:00,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172101"">Lego Star Wars A-Wing vs. TIE Silencer Microfighters</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097212,2172101"">Lego Star Wars Ski Speeder vs. First Order Walker Microfighters</a> for <strong>$15.99</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find for either by $4. Each set comes with two minifigures and shooter accessories.",https://www.dealnews.com/Lego-Star-Wars-Microfighter-Set-for-16-pickup-at-Walmart/2172101.html,2172101,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cz2jshbcrgayts7jbpnk",pickup at Walmart,0
BEAUTY,Beauty Items at Macy's,,20% to 50% off,2018-01-04T17:28:13-05:00,"Macy's takes <strong>20% to 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097164,2172074"">beauty items</a>. (Prices are as marked.) Plus, these items bag <strong>free shipping</strong>. Discounted brands include Clinique, BareMinerals, MAC, Origins, and Philosophy. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172074"">NYX Professional Makeup Lip, Eye &amp; Face Palette</a> for <strong>$7.50</strong> (pictured, low by $5)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097158,2172074"">Elizabeth Arden Sheer Kiss Lip Oils</a> for <strong>$10</strong> (low by $10)
 </li>
</ul>",https://www.dealnews.com/Beauty-Items-at-Macys-20-to-50-off-free-shipping/2172074.html,2172074,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzuhtuh2kchrdenmswbi",free shipping,4
LAPTOPS,"Acer Kaby Lake i3 2.4GHz Dual 16"" Laptop",,$289,2018-01-04T17:28:07-05:00,"Walmart offers the 4.6-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172095"">Acer Aspire 3 A315-51-380T Intel Kaby Lake Core i3-7100U 2.4GHz 15.6"" Laptop</a> for <strong>$289</strong> with <strong>free shipping</strong>. That's $31 under the lowest price we could find for a <i>refurb</i> elsewhere (this one's new), although we saw a new one for $10 less in November. Features include an Intel Core i3-7100U 2.4GHz Kaby Lake dual-core processor, 15.6"" 1366x768 (720p) LCD, 4GB RAM, 1TB hard drive, 802.11ac wireless, Gigabit Ethernet, USB 3.0, HDMI, 2-cell battery, and Windows 10 Home 64-bit.",https://www.dealnews.com/Acer-Kaby-Lake-i3-2.4-GHz-Dual-16-Laptop-for-289-free-shipping/2172095.html,2172095,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x1evaeir6oqjxosii2r1",free shipping,3
CLOTHING & ACCESSORIES,The North Face at 6pm,,Up to 50% off,2018-01-04T17:11:42-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097197,2172068"">6pm</a> takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172068"">The North Face apparel, shoes, and accessories</a>. Shipping adds <strong>$3.95</strong>, but orders of $50 or more qualify for free shipping, as do purchases of two or more items. Kids' shirts start at <b>$9.99</b>, men's outerwear at <b>$32.28</b>, and women's hoodies at <b>$20</b>.",https://www.dealnews.com/The-North-Face-at-6-pm-Up-to-50-off-free-shipping-w-50/2172068.html,2172068,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pqnzhbsct9798vkvbxeh",free shipping w/ $50,5
SHOES,ASICS Men's or Women's Gel-Nimbus 19 Shoes,,$70,2018-01-04T17:01:25-05:00,"JackRabbit offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172032"">ASICS Men's Gel-Nimbus 19 Running Shoes</a> in Grey or Blue for <strong>$69.97</strong>. With <strong>free shipping</strong>, that's $10 under our October mention and the lowest price we've seen. (It's the best deal now by $14.) They're available in select sizes from 7.5 to 14.<br>
<br>
Also available are the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097047,2172032"">ASICS Women's Gel-Nimbus 19 Running Shoes</a> in Blue or Purple for the <b>$69.97</b>. That's the lowest price we could find by $10. They're available in limited sizes from 6 to 12.",https://www.dealnews.com/ASICS-Mens-or-Womens-Gel-Nimbus-19-Shoes-for-70-free-shipping/2172032.html,2172032,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwshunbntoha3smuwev4",free shipping,4
CLOTHING & ACCESSORIES,Mountain Hardwear Web Specials,,Up to 60% off,2018-01-04T16:41:29-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171816"">Mountain Hardwear</a> takes <strong>up to 60% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096342,2171816"">web specials</a> via coupon code ""MHWNEWYEAR60"". (The discount applies to the original retail price.) Plus, Elevated Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096345,2171816"">join</a>.) Deal ends January 16.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s39952/Mountain-Hardwear/"">Mountain Hardwear Coupons</a>.</p>",https://www.dealnews.com/Mountain-Hardwear-Web-Specials-Up-to-60-off-free-shipping/2171816.html,2171816,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/abprkb0bwkifcbcktjdo",free shipping,5
CLOTHING & ACCESSORIES,Sperry Semi-Annual Sale,,Up to 60% off,2018-01-04T16:31:08-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172038"">Sperry</a> cuts <b>up to 60% off</b> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097059,2172038"">sale styles</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097062,2172038"">Semi-Annual Sale</a>. (Prices are as marked.) Plus, all orders receive <b>free shipping</b>.",https://www.dealnews.com/Sperry-Semi-Annual-Sale-Up-to-60-off-free-shipping/2172038.html,2172038,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/svzoh0ddjkof2gpencwi",free shipping,4
FINANCIAL SERVICES,Chase Total Checking and Savings,2018-01-04T14:25:59-05:00,$350 bonus w/ new account,,"At Chase, open a new <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171945"">Chase Total Checking account</a> with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096801,2171945"">direct deposit</a>, as well as a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096804,2171945"">Chase Savings account</a> and receive a <strong>$350 bonus</strong>. (The savings account requires you deposit a total of $10,000 or more within 10 days and maintain that balance for 90 days.) Finally, the Annual Percentage Yield (APY) effective as of 9/18/2017, is 0.01% for all balances in all states. (Interest rates are variable and subject to change.) Deal ends January 18.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with many of the credit card issuers and banks mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards or accounts. This compensation has no impact or influence on where or how the cards or accounts appear on dealnews.com. DealNews does not include all card companies, banks  or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://www.dealnews.com/lw/click.html?20,2,2171945",2171945,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/torxlco2z0vsnzqslvlf",,
