description,title,price,time_published,hotness,url,picture_url,editors_choice,uuid,time_modified,shipping,category
"Nordstrom Rack takes <strong>up to 75% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097086,2172041"">bedding, bath items, and other home goods</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172041"">White Sale</a>, with prices starting at <b>$7.48</b>. Shipping adds <strong>$7.95</strong>, but orders over $100 bag free shipping. Deal ends January 15.<br>
<br>
Not finding what you need? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/features/When-Are-White-Sales-in-2018/2163980.html"">Click here</a> to find out which stores are having White Sales and what discounts you can expect.",Nordstrom Rack White Sale,"Up to 75% off, from $7",2018-01-04T15:56:16-05:00,0,https://www.dealnews.com/Nordstrom-Rack-White-Sale-Up-to-75-off-from-7-free-shipping-w-100/2172041.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ewglndexgn5ufebw9qhd",,2172041,,free shipping w/ $100,HOME & GARDEN
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172023"">Ozark Trail 52-Quart Rotomolded High-Performance Cooler</a> in Gray for <strong>$127</strong> with <strong>free shipping</strong>. That's tied with our September mention and the lowest price we could find by $27. It features four bottle holders, a built-in bottle opener, oversized drain, wire basket, and T-handle latches.",Ozark Trail 52-Quart Rotomolded Cooler,$127,2018-01-04T15:51:42-05:00,0,https://www.dealnews.com/Ozark-Trail-52-Quart-Rotomolded-Cooler-for-127-free-shipping/2172023.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nhov77pylrog3osi3lwq",,2172023,,free shipping,CAMPING & OUTDOORS
"Macy's offers a selection of Kurt Adler Stocking Holders for <strong>$14.93</strong> each, as listed below. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096987,2172008"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096975,2172008"">Kurt Adler Darth Vader Stocking Holder</a> for <strong>$14.93</strong> (low by $1, most charge $35+)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172008"">Kurt Adler BB-8 Stocking Holder</a> for <strong>$14.93</strong> (pictured, low by $9)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096984,2172008"">Kurt Adler Olaf Stocking Holder</a> for <strong>$14.93</strong> (low by $18)
 </li>
</ul>",Kurt Adler Stocking Holders at Macy's,$15,2018-01-04T15:49:11-05:00,0,https://www.dealnews.com/Kurt-Adler-Stocking-Holders-at-Macys-for-15-free-s-h-w-beauty-item/2172008.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kdiyyszrk80wjq6rtxo7",,2172008,,free s&h w/beauty item,SEASONAL/HOLIDAYS
"Blinq offers the refurbished 1.5-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172011"">Microsoft Surface RT 32GB WiFi 10.6"" Windows RT Tablet</a> in Dark Titanium for $95.79. Coupon code ""NEWSJAN25"" drops that to <strong>$71.84</strong>. With <strong>free shipping</strong>, that's the best deal for a refub today by $128 and the lowest price we've seen for <i>any</i> Microsoft Surface RT tablet. It features an Nvidia Tegra 3 1.3GHz quad-core processor, 10.6"" 1366x768 (720p) touchscreen LCD, 2GB RAM, 32GB internal storage, 6-megapixel rear camera, front-facing camera, 802.11n wireless, Bluetooth 4.0, full-size USB 2.0, micro HDMI, microSDXC card slot, and Windows RT OS. Deal ends January 31.<br>
<br>
Note: No warranty information is provided, but it's covered by Blinq's 30-day money-back guarantee.","Refurb Microsoft Surface 32GB 11"" RT Tablet",$72,2018-01-04T15:46:37-05:00,0,https://www.dealnews.com/Refurb-Microsoft-Surface-32-GB-11-RT-Tablet-for-72-free-shipping/2172011.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/v3rzvuixxu4d4wphys2t",True,2172011,,free shipping,TABLETS
"Dell Home, via its Member Purchase Program, offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171810"">Dell UltraSharp U2417H InfinityEdge 23.8"" 1080p IPS LED-Backlit LCD Monitor</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096309,2171810"">$50 Dell Rewards Credit</a> for <strong>$246.99</strong> with <strong>free shipping</strong>. That's a savings of $153 including the credit, and the lowest price we could find. (For further comparison, we saw it in November for $38 less without the credit.) It features a 1920x1080 (1080p) native resolution, 5-port USB 3.0 hub, DisplayPort, mini-DisplayPort, HDMI, and height-, pivot-, tilt-, and swivel-adjustable stand.","Dell 24"" 1080p LED LCD Display, $50 Dell GC",$247,2018-01-04T15:31:09-05:00,1,https://www.dealnews.com/Dell-24-1080-p-LED-LCD-Display-50-Dell-GC-for-247-free-shipping/2171810.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/usqmrvh4mbpljdraamg3",,2171810,,free shipping,MONITORS
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172014"">Michael Kors</a> takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096990,2172014"">clothing, shoes, and accessories</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096993,2172014"">Semi-Annual Sale</a>. (Prices are as marked.) Shipping adds <b>$5</b>, but orders of $50 or more qualify for free shipping. Some exclusions may apply.",Michael Kors Semi-Annual Sale,Up to 50% off,2018-01-04T15:24:36-05:00,5,https://www.dealnews.com/Michael-Kors-Semi-Annual-Sale-Up-to-50-off-free-shipping-w-50/2172014.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rjowtkotwklfp2g09ftq",,2172014,,free shipping w/ $50,CLOTHING & ACCESSORIES
"GearBest offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171990"">Quelima SQ12 Mini 1080p Camera with DVR</a> in Black for $13.99. Coupon code ""JanSQ12"" knocks that to <strong>$9.99</strong>. With <strong>free shipping</strong> (choose ""Unregistered Air Mail"" during checkout), that's the lowest price we could find by $7. It features 1080p video recording, a 155° wide-angle lens, motion detection up to 9.8 feet, infrared night vision up to 16.4 feet, loop recording, microphone and speaker, microSD card slot, and 200mAh rechargeable LiPo battery. Deal ends February 28.<br>
<br>
Note: This item ships from China and requires three to six weeks for delivery. The countdown timer on the product page does not reflect an actual expiration time and resets daily.",Quelima SQ12 Mini 1080p Dash Camera w/ DVR,$10,2018-01-04T15:22:05-05:00,4,https://www.dealnews.com/Quelima-SQ12-Mini-1080-p-Dash-Camera-w-DVR-for-10-free-s-h-from-China/2171990.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztf7y7qzwtjru0fnstdi",,2171990,,free s&h from China,AUTOMOTIVE
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172005"">Belk</a> takes <strong>up to 80% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096963,2172005"">apparel, shoes, bedding, decor, kitchen items, and more</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096966,2172005"">Season End Bonus Buys</a>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096969,2172005"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $9.50. (Orders over $99 also receive free shipping.) Deal ends January 11.",Belk Season End Bonus Buys,Up to 80% off,2018-01-04T15:17:55-05:00,4,https://www.dealnews.com/Belk-Season-End-Bonus-Buys-Up-to-80-off-free-shipping-w-99/2172005.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xxhxgqle8v8anixz5rsz",,2172005,,free shipping w/ $99,BELK COUPONS
"Equinox International via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171999"">Equinox Standard Pillow Protectors 2-Pack</a> for $8.99. Coupon code ""WPZSBSDY"" drops it to <b>$4.97</b>. Plus, Prime members bag <b>free shipping</b>. That's $25 off list and the lowest price we could find. These protectors purport to be hypoallergenic, anti-microbial, and dust mite-resistant. Deal ends January 31.",Equinox Standard Pillow Protectors 2-Pack,$5,2018-01-04T15:16:01-05:00,3,https://www.dealnews.com/Equinox-Standard-Pillow-Protectors-2-Pack-for-5-free-shipping-w-Prime/2171999.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lega12nyve3nd1komyko",,2171999,,free shipping w/ Prime,BEDDING
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171222"">Dell Home</a>, via its Member Purchase Program, offers discounts of <strong>up to 30% off</strong> select <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17095121,2171222"">laptops, desktops, tablets, electronics, and accessories</a>. Plus, <b>free shipping</b> applies to most items.",Dell Member Purchase Program,Up to 30% off,2018-01-04T00:01:00-05:00,,https://www.dealnews.com/Dell-Member-Purchase-Program-Up-to-30-off-free-shipping/2171222.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dq5mvihrblbv01lxryec",,2171222,,free shipping,COMPUTERS
"Adorama offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171996"">OSD Audio Sound Stage 2.1 Bluetooth All-in-One Audio Sound System</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's tied with our October mention at $221 off list and the lowest price we've seen. It features dual 5.25"" subs, four 20-watt channels, advanced DSP for home-theater-like sound, and independent amp channels for the woofer, midrange drivers, and tweeters.",OSD Sound Stage 2.1 Bluetooth Sound System,$99,2018-01-04T15:12:39-05:00,4,https://www.dealnews.com/OSD-Sound-Stage-2.1-Bluetooth-Sound-System-for-99-free-shipping/2171996.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rcecw2kr6sr7ngp7eeat",True,2171996,,free shipping,SPEAKERS
"If you're in the market for an affordable tablet, our roundup of the week's best <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/best-tablet-deals/"">tablet deals</a> has you covered. Score cheap devices under $100, or splurge on an iPad Pro at the lowest price we've seen. Check out these offers and more to save a ton!","Best Tablet Deals: Score a 10.5"" iPad Pro at the Lowest Price We've Seen!",,2018-01-04T15:03:45-05:00,,https://www.dealnews.com/features/best-tablet-deals/,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lgcbdsdjptiszmuas0yp",,2171993,,,ROUNDUPS
"Dell Home offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171873"">Mobile Edge Core Gaming 17"" Laptop Backpack</a> for <b>$89.99</b> with <b>free shipping</b>. That's $30 off list and the lowest price we could find. It features exterior pockets, adjustable straps, and holds laptops up to 17"".","Mobile Edge Core Gaming 17"" Laptop Backpack",$90,2018-01-04T15:01:51-05:00,2,https://www.dealnews.com/Mobile-Edge-Core-Gaming-17-Laptop-Backpack-for-90-free-shipping/2171873.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mudxp9uiwyhske3o26ob",,2171873,,free shipping,LAPTOP BAGS
"F-Color via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171822"">F-color 2-in-1 Tablet Stylus Pens 12-Pack</a> in Assorted Colors for $8.99. Coupon code ""7ZOH7I63"" cuts it to <b>$6.99</b>. With <b>free shipping</b> for Prime members, that's $8 under the lowest price we could find for this quantity of similar stylus pens elsewhere. They feature a rubber tip for touchscreens and retractable ballpoint pen in black. Deal ends January 7.",F-color 2-in-1 Tablet Stylus Pens 12-Pack,$7,2018-01-04T14:55:59-05:00,3,https://www.dealnews.com/F-color-2-in-1-Tablet-Stylus-Pens-12-Pack-for-7-free-shipping-w-Prime/2171822.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iun9k8wrjxvtj3gdkaus",,2171822,,free shipping w/ Prime,SUPPLIES
"Weme via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171972"">Alxum USB 3.0 to Serial ATA Dual Bay External Hard Drive Docking Station</a> for $35.99. Coupon code ""2ZI9IU5C"" drops it to <strong>$21.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $7, although we saw it for $4 less in November. Compatible with 2.5"" and 3.5"" HDDs and SSDs, it features two hot-swappable SATA bays, data transfer speeds of up to 485MB/s, UASP support, clone function, solid aluminum construction, and a 3.9-foot cable. Deal ends January 15.",Alxum USB 3.0 to SATA Dual HDD Dock,$22,2018-01-04T14:52:36-05:00,3,https://www.dealnews.com/Alxum-USB-3.0-to-SATA-Dual-HDD-Dock-for-22-free-shipping/2171972.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j63oy3prfbg10zhcftyf",,2171972,,free shipping,DRIVE ENCLOSURES
"Walmart offers the 4.8-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171960"">Lenovo IdeaPad 320 Intel Celeron 1.1GHz 15.6"" Laptop</a> in several colors (Black pictured) for <strong>$225</strong> with <strong>free shipping</strong>. That's $4 under our November mention, $44 off list, and the lowest price we could find. It features an Intel Celeron N3350 1.1GHz Apollo Lake dual-core processor, 15.6"" HD LED-backlit LCD, 4GB RAM, 1TB hard drive, DVD burner, 802.11ac wireless, Bluetooth 4.1, 2-cell battery, and Windows 10.","Lenovo IdeaPad 320 Celeron Dual 16"" Laptop",$225,2018-01-04T14:52:27-05:00,3,https://www.dealnews.com/Lenovo-Idea-Pad-320-Celeron-Dual-16-Laptop-for-225-free-shipping/2171960.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ze5x63o2tsloewhqd6oc",,2171960,,free shipping,LAPTOPS
"Cafago offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171729"">Rock Universal 360-Degree Car Vent Phone Holder</a> in Yellow or Gray for $6.49. Coupon code ""JPAV038"" cuts that to <strong>$4.44</strong>. With <strong>free shipping</strong>, that's around $6 less than the lowest price we could find for such a holder elsewhere. It's compatible with most 6"" screen mobiles.<br>
<br>
Note: This item ships from China and may take two to six weeks to arrive. Also, The countdown timer on the product page does not reflect an actual expiration time and resets daily.",Rock Car Vent Phone Holder,$4,2018-01-04T14:48:29-05:00,3,https://www.dealnews.com/Rock-Car-Vent-Phone-Holder-for-4-free-s-h-from-China/2171729.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jrxrkxpeftbsj2vbrnn3",,2171729,,free s&h from China,AUTOMOTIVE
"FlexiSpot via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171711"">Fleximounts Full Motion Articulating Mount for 17"" to 42"" TVs</a> for $20.99. Coupon code ""FLXIMSV1"" cuts it to <strong>$17.99</strong>. With <strong>free shipping</strong> for Prime members, that's the lowest price we could find by $10. It has a weight capacity of 55 lbs. and has a tilt angle of 5 to 10 degrees. Deal ends January 14.","Fleximounts TV Mount for 17"" to 42"" TVs",$18,2018-01-04T14:48:26-05:00,3,https://www.dealnews.com/Fleximounts-TV-Mount-for-17-to-42-TVs-for-18-free-shipping-w-Prime/2171711.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tbu1t7eo4mm7nfzu6ftp",,2171711,,free shipping w/ Prime,TV WALL MOUNTS
"Gre Lifestore via Amazon takes <b>31% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171849"">Fazitrip Women's 3M Thinsulate Ski Gloves</a> (Touchscreen Gloves in Pink/Gray pictured) via coupon code ""31FFHIPT"", with prices starting at <b>$9.16</b> after coupon. Plus, Prime members bag <strong>free shipping</strong>. That's up to $8 off and the best price we could find. They're available in select sizes from S to M/L. Deal ends January 31.",Fazitrip Women's Thinsulate Ski Gloves,"31% off, from $9",2018-01-04T14:47:20-05:00,3,https://www.dealnews.com/Fazitrip-Womens-Thinsulate-Ski-Gloves-31-off-from-9-free-shipping-w-Prime/2171849.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cl6o1uipvjp6ofcybv46",,2171849,,free shipping w/ Prime,ACCESSORIES
