shipping,time_modified,hotness,time_published,editors_choice,uuid,url,description,picture_url,title,price,category
free shipping w/ Prime,,0,2018-01-05T01:57:36-05:00,,2172254,https://www.dealnews.com/Tigeo-Ultra-Sharp-Heavy-Duty-Kitchen-Shears-for-4-free-shipping-w-Prime/2172254.html,"Tseoa via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172254"">Tigeo Ultra Sharp Premium Heavy Duty Kitchen Shears</a> for $9.99. Coupon code ""QF8MV8JD"" cuts that to <strong>$4.40</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's tied with our mention from two weeks ago and $3 under the lowest price we could find for a similar item elsewhere. It features micro-serrated edges and a bottle opener. Deal ends November 15.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fte4om2qn35lotndxzpn",Tigeo Ultra Sharp Heavy Duty Kitchen Shears,$4,KITCHEN
free shipping w/ Prime,,0,2018-01-05T01:48:36-05:00,True,2172263,https://www.dealnews.com/Weatherproof-Garment-Co.-Mens-Hooded-Jacket-for-10-free-shipping-w-Prime/2172263.html,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172263"">Weatherproof Garment Co. Men's Hooded Ultra Stretch Jacket</a> in Moon Blue or Black for <strong>$9.26</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $61. It's available in size L only at this price, but several other size/color combinations are a few bucks more.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/g940pftlse5fy2aptubk",Weatherproof Garment Co. Men's Hooded Jacket,$10,COATS
free shipping,,0,2018-01-05T01:41:54-05:00,,2172260,https://www.dealnews.com/Annies-Mac-Cheese-11-oz.-Box-6-Pack-for-7-free-shipping/2172260.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172260"">Annie's Macaroni &amp; Cheese 10.5-oz. Box 6-Pack</a> in Classic Mild Cheddar for <b>$6.88</b> with <b>free shipping</b> via the directions below. That's $1 under our April mention and $4 below the lowest price we could find for a similar quantity in-store locally. It's made with organic pasta and contains no artificial flavors, synthetic colors, or preservatives. To get this deal:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097350,2172260"">Annie's Macaroni &amp; Cheese 6-Pack</a> for $10.40
 </li>
 <li>clip the $3 off coupon on the product page
 </li>
 <li>check out via Subscribe &amp; Save for a final price of <strong>$6.88</strong>
 </li>
</ol>
Be sure to cancel Subscribe & Save after your order arrives to avoid being billed for subsequent shipments.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zpe6fu72kboluki4jcii",Annie's Mac & Cheese 11-oz. Box 6-Pack,$7,GROCERIES
free shipping,,0,2018-01-05T01:32:15-05:00,,2172257,https://www.dealnews.com/48-Quest-Protein-Cookies-for-77-free-shipping/2172257.html,"Ending today, Vitamin Shoppe offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172257"">12 Quest Protein Cookies</a> in several flavors (Double Chocolate Chip pictured) for $23.99. Add <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097347,2172257"">four</a> to your cart and apply coupon code ""NEWYEAR8"" for a final price of <strong>$76.77</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $23. Each cookie includes 15g of protein, 10g of fiber, and 1g of sugar.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/flvnwnbtkqvehjjnw6vg",48 Quest Protein Cookies,$77,GROCERIES
free shipping w/ Prime,,3,2018-01-05T01:19:51-05:00,,2172245,https://www.dealnews.com/Sungait-Mens-Polarized-Sunglasses-for-10-free-shipping-w-Prime/2172245.html,"Sungait via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172245"">Sungait Men's Ultra Lightweight Rectangular Polarized Sunglasses</a> in Black or Gunmetal for $14.99. Coupon code ""BSRM2I39"" cuts them to <strong>$9.99</strong>. With <strong>free shipping</strong>, that's $5 off and tied with last week's mention as the lowest price we could find. They feature 100% UV protection. Deal ends January 6.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h3mdeijx7docvirajbst",Sungait Men's Polarized Sunglasses,$10,SUNGLASSES
free shipping,,2,2018-01-05T01:17:16-05:00,,2172251,https://www.dealnews.com/Lavany-Portable-Facial-Cleansing-Brush-for-33-free-shipping/2172251.html,"Jerrybox via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172251"">Lavany Portable Facial Cleansing Brush</a> for $39.99. Coupon code ""4SWWTBQ8"" cuts it to <strong>$32.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $13. It features UV light sterilization and two brush speeds.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uqyez6zbg1ue2crgdtth",Lavany Portable Facial Cleansing Brush,$33,SKIN CARE
free shipping w/ $50,,3,2018-01-05T00:50:14-05:00,,2172248,https://www.dealnews.com/Original-Penguin-Sale-40-off-20-off-free-shipping-w-50/2172248.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172248"">Original Penguin</a> takes an <strong>extra 40% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097341,2172248"">sale styles</a>. (Add items to cart to see this discount.) Plus, take an <strong>extra 20% off</strong> via coupon code ""OFFEROP20"". Shipping adds <strong>$7</strong>, although orders over $50 get free shipping when you join the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097344,2172248"">Original Rewards Program</a>. Some exclusions apply. Deal ends January 9.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2767/Original-Penguin/"">Original Penguin Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mhh2xbs9mk8oixy4zgvk",Original Penguin Sale,40% off + 20% off,CLOTHING & ACCESSORIES
free shipping w/ Prime,,4,2018-01-05T00:24:11-05:00,,2172239,https://www.dealnews.com/Amazon-Basics-AAA-Rechargeable-Battery-8-Pack-for-10-free-shipping-w-Prime/2172239.html,"Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172239"">AmazonBasics AAA Rechargeable Batteries 8-Pack</a> for <strong>$9.99</strong> with <b>free shipping</b> for Prime members. That's $2 off list and tied with last week's mention as the lowest price we could find. They come pre-charged and last through a purported 1,000 recharge cycles.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ohxau5i4iiudxjuvq1rc",AmazonBasics AAA Rechargeable Battery 8-Pack,$10,BATTERIES
free shipping,,5,2018-01-05T00:20:05-05:00,True,2172242,https://www.dealnews.com/Gap-Mens-Slim-Fit-Cargo-Pants-for-16-free-shipping/2172242.html,"Gap offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172242"">Gap Men's Slim Fit Cargo Pants</a> in Surplus for $26.99. Coupon code ""HAPPY"" cuts the price to <strong>$16.19</strong>. Plus, get <strong>free shipping</strong> via coupon code ""ITSFREE"". That's $54 off list and the lowest price we could find. They're available in select sizes 29 to 34 and lengths 32 to 34. Deal ends January 8.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yzdzinndgxoqtsaahyw3",Gap Men's Slim Fit Cargo Pants,$16,PANTS
free shipping,,,2018-01-05T00:01:00-05:00,,2172071,https://www.dealnews.com/Dell-Inspiron-Celeron-Dual-16-Laptop-for-274-free-shipping/2172071.html,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172071"">Dell Inspiron 15 3000 Series 3552 Intel Braswell Celeron 1.6GHz 15.6"" Laptop</a> in Black for <strong>$274.39</strong> with <strong>free shipping</strong>. It features an Intel Celeron N3060 1.6GHz Braswell dual-core processor, 15.6"" 1366x768 (720p) LED-backlit LCD, 4GB RAM, 500GB hard drive, DVD burner, 802.11ac wireless, Bluetooth 4.0, HDMI, USB, 4-cell battery, and Windows 10 Home 64-bit.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/djmog1jw1jif1ibzz5b1","Dell Inspiron Celeron Dual 16"" Laptop",$274,LAPTOPS
