url,description,title,picture_url,price,hotness,category,editors_choice,shipping,time_published,time_modified,uuid
https://www.dealnews.com/Mossy-Oak-Mens-Boxer-Briefs-6-Pack-for-20-free-shipping/2172362.html,"That Daily Deal continues to offer the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172362"">Mossy Oak Men's Boxer Briefs 6-Pack</a> in assorted colors for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $3.33 per pair, tied with last week's mention, and the lowest price we could find for this quantity by $13. They're available in sizes M to XL. Deal ends January 6.",Mossy Oak Men's Boxer Briefs 6-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ambbqmwjizfuwiw259rl",$20,0,UNDERWEAR,,free shipping,2018-01-05T05:58:54-05:00,,2172362
https://www.dealnews.com/Electric-Fireplaces-at-Home-Depot-Up-to-25-off-free-shipping/2172350.html,"As one of its daily deals, Home Depot takes <b>up to 25% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097437,2172350"">electric fireplaces</a>. Plus, all orders receive <b>free shipping</b>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172350"">Home Decorators Collection Trinidad 42"" Wall Mounted Fireplace</a> for <strong>$145.27</strong> (pictured, $54 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097434,2172350"">Home Decorators Collection Charles Mill 46"" TV Stand Electric Fireplace</a> for <strong>$218.99</strong> ($81 off)
 </li>
</ul>",Electric Fireplaces at Home Depot,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kbclojw1ffl1u5bflcma",Up to 25% off,0,HEATERS,,free shipping,2018-01-05T05:50:10-05:00,,2172350
https://www.dealnews.com/Bedsure-Premium-Waterproof-Mattress-Protector-from-16-free-shipping-w-Prime/2172344.html,"Bedshe via Amazon offers the Bedsure Premium Hypoallergenic Waterproof Fitted Mattress Protector in several sizes, with prices starting at $19.99. Coupon code ""8DNXA8DI"" cuts the starting price to <b>$15.99</b>, as listed below. Plus, Prime members bag <strong>free shipping</strong>. This noiseless mattress protector is vinyl-free and fits mattresses up to 16"" deep. Deal ends January 9. The sizes, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172344"">Twin</a> for <strong>$15.99</strong> (pictured, $4 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097419,2172344"">Full</a> for <strong>$19.99</strong> ($5 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097422,2172344"">Queen</a> for <strong>$21.59</strong> ($5 off)
 </li>
</ul>",Bedsure Premium Waterproof Mattress Protector,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/upfycvyxn2beid0jlexc",from $16,0,BEDDING,,free shipping w/ Prime,2018-01-05T05:46:47-05:00,,2172344
https://www.dealnews.com/Nike-Little-Girls-Tanjun-Sneakers-for-22-free-s-h-w-beauty-item/2172335.html,"Finish Line via Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172335"">Nike Little Girls' Tanjun Sneakers</a> in White for <b>$22.48</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097416,2172335"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's tied with last week's mention and the lowest price we could find by $23 today. They're available in select sizes from 12 to 2.",Nike Little Girls' Tanjun Sneakers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jn0ftrzozssppzrmhml8",$22,0,KIDS' SHOES,,free s&h w/beauty item,2018-01-05T05:42:47-05:00,,2172335
https://www.dealnews.com/Pioneer-3-Channel-Soundbar-System-for-400-free-shipping/2172341.html,"As one of its daily deals, Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172341"">Pioneer 3.1.2-Channel Surround Elite Atmos Soundbar System</a> for <strong>$399.99</strong> with <strong>free shipping</strong>. That's $99 under our September mention and the lowest price we could find by $100. This wall-mountable soundbar features a 3.1.2-channel configuration, up to 300 watts of total power, Bluetooth audio streaming, external wireless subwoofer, USB, RCA, and four HDMI ports. Deal ends today.",Pioneer 3-Channel Soundbar System,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iflo1j2lyhm6qcltukim",$400,0,HOME THEATER SYSTEMS,,free shipping,2018-01-05T05:38:38-05:00,,2172341
https://www.dealnews.com/New-Balance-Womens-520-v3-Running-Shoes-for-35-1-s-h/2172338.html,"As one of its daily deals, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172338"">New Balance Women's 520v3 Running Shoes</a> in Gunmental for <strong>$34.99</strong>. Coupon code ""DOLLARSHIP"" bags <strong>$1</strong> shipping. That's the lowest price we could find by $23. They're available in select standard and wide sizes from 5 to 10.5. Deal ends today.",New Balance Women's 520v3 Running Shoes,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m2sizjdeubwmzljinbvf",$35,0,SHOES,,$1 shipping,2018-01-05T05:33:05-05:00,,2172338
https://www.dealnews.com/Vanguard-Reno-34-DSLR-Sling-Bag-for-25-free-shipping/2172332.html,"As one of its daily deals, B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172332"">Vanguard Reno 34 DSLR Sling Bag</a> in several colors (Khaki Green pictured) for <strong>$24.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $35. It holds a DSLR and lens, iPad mini or similar tablet, flash, and accessories. Deal ends today.",Vanguard Reno 34 DSLR Sling Bag,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zluopu2v5slkxnkpb6ie",$25,3,CAMERA BAGS,True,free shipping,2018-01-05T05:30:35-05:00,,2172332
https://www.dealnews.com/Orig3-n-Health-Beauty-DNA-Tests-at-Amazon-50-off-free-shipping-w-Prime/2172347.html,"As one of its daily deals, Amazon takes <strong>50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097425,2172347"">Orig3n Health &amp; Beauty DNA tests</a>. Plus, Prime members bag <strong>free shipping</strong> on all orders. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097428,2172347"">Orig3n Caffeine Tolerance Genetic Home Mini DNA Test Kit</a> for <strong>$14.50</strong> (low by $15)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172347"">Orig3n Hunger &amp; Weight Genetic Home Mini DNA Test Kit</a> for <strong>$24.50</strong> (pictured, low by $25)
 </li>
</ul>",Orig3n Health & Beauty DNA Tests at Amazon,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/beyt6jfzvs4wyotdjwrx",50% off,3,HEALTH,,free shipping w/ Prime,2018-01-05T05:29:54-05:00,,2172347
https://www.dealnews.com/Nyne-Adventure-Portable-Bluetooth-Speaker-for-56-free-shipping/2172329.html,"As one of its daily deals, Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172329"">Nyne Adventure Portable Bluetooth Speaker</a> for <strong>$55.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $44. It features NFC pairing, a 100-foot wireless range, and up to 12 hours of playtime per charge. Deal ends today.",Nyne Adventure Portable Bluetooth Speaker,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hnzcfofifhklhoto5ias",$56,3,PORTABLE SPEAKERS,,free shipping,2018-01-05T05:15:44-05:00,,2172329
https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2172059.html,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172059"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",Soufull Stainless Steel Poultry Scissors,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",$9,,KITCHEN,,free shipping w/ Prime,2018-01-05T00:01:00-05:00,,2172059
https://www.dealnews.com/Martha-Stewart-Living-Ingrid-File-Cabinet-for-259-pickup-at-Home-Depot/2172323.html,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172323"">Martha Stewart Living Ingrid File Cabinet</a> in Rubbed Gray for <strong>$258.60</strong>. Opt for in-store <strong>pickup</strong> to dodge the $55 shipping fee. That's $172 off and the lowest price we could find. Deal ends January 7.",Martha Stewart Living Ingrid File Cabinet,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e8jwjvdtxktxhl3oalgy",$259,3,HOME FURNITURE,,pickup at Home Depot,2018-01-05T05:07:29-05:00,,2172323
https://www.dealnews.com/Sharp-50-4-K-LED-LCD-Roku-Smart-TV-for-350-free-shipping/2172326.html,"As one of its daily deals, Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172326"">Sharp 49.5"" 4K LED-Backlit LCD Ultra HD Smart Television</a>, model no. LC-50LBU591U, for <strong>$349.99</strong> with <strong>free shipping</strong>. That's tied with our mention from two weeks ago, $150 off list, and the lowest price we've seen. It features a 3840x2160 (4K) native resolution, WiFi, Roku content streaming (Netflix, Youtube, Pandora, and more), USB, and three HDMI inputs. It also includes a 30-day Sling TV Live Streaming Service subscription. Deal ends today.","Sharp 50"" 4K LED LCD Roku Smart TV","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z1n5oejcjoooghp9yvoc",$350,4,TVS,True,free shipping,2018-01-05T05:05:52-05:00,,2172326
https://www.dealnews.com/Home-Decorators-Collection-Hamilton-Bench-for-175-free-shipping/2172317.html,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172317"">Home Decorators Collection Hamilton Bench</a> in Worn Black for <strong>$174.50</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $61. Each cabinet features an adjustable shelf. Deal ends January 7.",Home Decorators Collection Hamilton Bench,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhvr3dnen647iudtsqxg",$175,4,HOME FURNITURE,,free shipping,2018-01-05T04:56:51-05:00,,2172317
