url,description,picture_url,hotness,shipping,time_published,title,price,category,editors_choice,uuid,time_modified
https://www.dealnews.com/Keurig-K-Cup-40-to-48-Packs-for-20-pickup-at-Best-Buy/2172548.html,"Best Buy offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172548"">Keurig K-Cup 40-, 42-, 44-, or 48-Packs</a> for <strong>$19.99</strong>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's tied with our October mention (although that included free shipping) and a savings of at least $9 on many of these packs. (Many stores charge around $10 more.)","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j5ikbqcjvkx756qufeht",0,pickup at Best Buy,2018-01-05T10:52:03-05:00,Keurig K-Cup 40- to 48-Packs,$20,COFFEE,,2172548,
https://www.dealnews.com/19-mm-Chenxiang-Eaglewood-Agarwood-Bracelet-for-20-free-shipping/2172545.html,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172545"">Elastic 19mm Chenxiang / Eaglewood / Agarwood Buddhist Prayer Bead Bracelet</a> for $49.99. Coupon code ""dealnews60"" cuts it to <strong>$20</strong>. With <strong>free shipping</strong>, that's $6 under last month's mention, $30 off, and the lowest price we could find. This 8"" bracelet stretches to fit and features 19mm wood beads. Deal ends January 9.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/akb53ipeejywcoxjnhf4",0,free shipping,2018-01-05T10:48:09-05:00,19mm Chenxiang/Eaglewood/Agarwood Bracelet,$20,JEWELRY,,2172545,
https://www.dealnews.com/Makino-Mens-Hiking-Pants-Shorts-for-30-free-shipping/2172536.html,"MooYee via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172536"">Makino Men's Convertible and Non-Convertible Quick Dry Hiking Pants/Shorts</a> in several colors (Dark Blue pictured) for $49.90. Coupon code ""3EQCLICJ"" cuts that to <strong>$29.94</strong>. That's $20 off and the best price we could find. They're available in select sizes from 28x29 to 38x32. Deal ends October 31.<br>
<br>
Note: Select sizes cost less after coupon.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ss8sniglu5diok89ekw9",0,free shipping,2018-01-05T10:46:58-05:00,Makino Men's Hiking Pants/Shorts,$30,ACTIVEWEAR,,2172536,
https://www.dealnews.com/Prooral-Orthopedic-Memory-Foam-Seat-Cushion-for-16-free-shipping/2172533.html,"Viekoo via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172533"">Prooral Orthopedic Memory Foam Seat Cushion</a> in Gray for $26.99. Coupon code ""AR24DBOC"" drops it to <strong>$15.92</strong>. With <strong>free shipping</strong>, that's $4 under last week's mention, $11 off, and the lowest price we've seen. It measures 17.7"" x 14"" x 2.8"" and features a washable cover with nonslip rubber bottom. Deal ends June 30.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sinr9lgommwjp9owxmc8",0,free shipping,2018-01-05T10:45:00-05:00,Prooral Orthopedic Memory Foam Seat Cushion,$16,HEALTH,,2172533,
https://www.dealnews.com/Refurb-Dell-Latitute-E5440-and-E7440-Laptops-50-off-free-shipping/2172530.html,"Dell Refurbished Store cuts <strong>50% off</strong> refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172530"">Dell Latitude E5440 and E7440 Laptops</a> via coupon code ""E5440DEAL7440"". Plus, all orders bag <strong>free shipping</strong> via the same coupon. Some exclusions apply, including clearance items. After coupon, E5440 models start at <b>$214.50</b> while E7440 models are priced from <b>$309.50</b>. Deal ends January 8.<br>
<br>
Note: Dell refurbished systems are covered by a 100-day Dell warranty.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s3007/Dell-Refurbished-Store/"">Dell Refurbished Store Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/li4qud0ftnvzun3pqtgb",0,free shipping,2018-01-05T10:44:38-05:00,Refurb Dell Latitute E5440 and E7440 Laptops,50% off,LAPTOPS,,2172530,
https://www.dealnews.com/Meeracula-Memory-Foam-Cooling-Pillow-from-27-free-shipping/2172539.html,"Meerkat Home via Amazon discounts the Meeracula Memory Foam Cooling Pillow via coupon code ""RGK6LMBK"" in the sizes listed below. Plus, all orders bag <b>free shipping</b>. Each pillows is filled with shredded CertiPUR memory foam. Deal ends January 31. The deals, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172539"">Meeracula Memory Foam Cooling Standard Pillow</a> for <b>$26.59</b> ($11 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097821,2172539"">Meeracula Memory Foam Cooling Queen Pillow</a> for <b>$27.99</b> ($12 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097824,2172539"">Meeracula Memory Foam Cooling King Pillow</a> for <b>$30.09</b> ($13 off)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ktdo2yiwxskcfyd0qb5r",0,free shipping,2018-01-05T10:43:01-05:00,Meeracula Memory Foam Cooling Pillow,from $27,BEDDING,,2172539,
https://www.dealnews.com/Tacklife-Advanced-Digital-Clamp-Meter-for-16-free-shipping/2172518.html,"TacklifeDirect via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172518"">Tacklife Advanced Digital Clamp Meter</a> for $22.97. Coupon code ""ANCL93JA"" drops it to <strong>$15.85</strong>. Plus, Prime members get <strong>free shipping</strong>. That's $12 less than our July mention and the lowest price we could find by $13. It features live line, continuity, and overload tests. It requires three AAA batteries (included). Deal ends January 10.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kswskt4bk2bn8oqizs0g",0,free shipping,2018-01-05T10:34:30-05:00,Tacklife Advanced Digital Clamp Meter,$16,POWER TOOLS,,2172518,
https://www.dealnews.com/Upcoming-Geoffreys-Birthday-LEGO-Build-for-free-at-Toys-R-Us-stores/2172521.html,"On January 6, from 3 pm to 4 pm local time, participating Toys""R""Us locations offer Rewards""R""Us Geoffrey's Birthday Club members a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172521"">LEGO birthday build and other surprises</a> for <strong>free</strong>. There will also be story-time with Geoffrey and other in-store activities.<br>
<br>
Can't make it in January? Select Toys""R""Us locations will host this same event on February 3 and March 3, from 3 pm to 4 pm local time. Not a Rewards""R""Us member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097764,2172521"">join</a>. Make sure to enroll in Geoffrey's Birthday Club during sign-up. Members will receive an email coupon for the LEGO build; print it or show a copy on your phone to receive your item.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yufcptmol4x7abe4kc1x",0,"at Toys""R""Us stores",2018-01-05T10:33:32-05:00,Upcoming: Geoffrey's Birthday LEGO Build,free,TOYS & HOBBIES,,2172521,
https://www.dealnews.com/Refurb-Dell-Optiplex-7010-or-9010-Desktop-PC-50-off-free-shipping/2172527.html,"Dell Refurbished Store takes <b>50% off</b> its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172527"">Dell Optiplex 7010 Desktops</a> or its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097776,2172527"">Dell Optiplex 9010 Desktops</a> via coupon code ""DT7010DEAL9010"". (Prices start at $259 before coupon.) Plus, the same coupon bags <b>free shipping</b>. Clearance units are excluded. Deal ends January 8.<br>
<br>
Note: Dell refurbished systems are covered by a 100-day Dell warranty.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s3007/Dell-Refurbished-Store/"">Dell Refurbished Store Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kdzzcdjqrvukleaewdjf",0,free shipping,2018-01-05T10:33:22-05:00,Refurb Dell Optiplex 7010 or 9010 Desktop PC,50% off,DESKTOPS,,2172527,
https://www.dealnews.com/15-Sams-Club-eGift-Card-free-w-membership/2172065.html,"At Sam's Club, Dealnews readers get a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172065"">$15 Sam's Club eGift Card</a>, together with additional <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097137,2172065"">instant savings</a>, when you buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097140,2172065"">Sam's Club 1-Year Membership</a>. Deal ends January 31.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wd6ddotvsrsrevyypoev",,,2018-01-05T00:01:00-05:00,$15 Sam's Club eGift Card,free w/ membership,SAM'S CLUB COUPONS,,2172065,
