time_published,shipping,editors_choice,description,price,hotness,time_modified,category,picture_url,uuid,title,url
2018-01-05T13:51:25-05:00,free shipping,,"TechRabbit offers the used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172749"">Plantronics M90 HD Bluetooth Headset</a> in Black for <strong>$9.99</strong> with <strong>free shipping</strong>. That's $5 below our July mention of a <i>refurb</i> and $5 under the lowest price we could find for a refurb today. It features noise cancellation and music controls. Deal ends January 18.<br>
<br>
Note: A 1-year TechRabbit warranty is included.",$10,0,,BLUETOOTH HEADSETS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ygvkctzrprbaiiukq7en",2172749,Used Plantronics M90 HD Bluetooth Headset,https://www.dealnews.com/Used-Plantronics-M90-HD-Bluetooth-Headset-for-10-free-shipping/2172749.html
2018-01-05T13:43:51-05:00,free shipping,,"Sebikam Tech via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172746"">Sebikam 1080p DVR Super-Wide Car Dashboard Camera with Rear-View Camera</a> for $84.99. Coupon code ""6CXDO72D"" knocks that to <strong>$48.44</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago, $37 off, and the lowest price we could find. It features a 4"" LCD, 170° wide-angle lens, 1080p video capture, G-sensor, motion detection, night vision, microSD card slot, and USB. It comes with a car charger and VGA rear-view camera with 120° wide-angle lens. Deal ends March 31.",$48,0,,AUTOMOTIVE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/khvlpxxeskqdz3ncw1hs",2172746,Sebikam 1080p DVR Car Dash Cam w/ Rear Camera,https://www.dealnews.com/Sebikam-1080-p-DVR-Car-Dash-Cam-w-Rear-Camera-for-48-free-shipping/2172746.html
2018-01-05T13:41:03-05:00,free shipping,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172704"">Black &amp; Decker 12-amp Blower/Vacuum/Mulcher</a> for <strong>$42.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098181,2172704"">Amazon</a> charges the same for Prime members only.) That's the lowest price we could find by $5. It features two blow speeds and is capable of reducing 10 bags of leaves to one.",$43,0,,GARDEN TOOLS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y2ytgshcybhabve5jra8",2172704,Black & Decker 12A Blower/Vacuum/Mulcher,https://www.dealnews.com/Black-Decker-12-A-Blower-Vacuum-Mulcher-for-43-free-shipping/2172704.html
2018-01-05T13:33:06-05:00,free shipping,,"Rockport offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172743"">Rockport Men's Trailbreaker Duck Boots</a> in Black or Tan for $99.97. Coupon code ""BOOT40"" cuts it to <b>$59.98</b>. With <b>free shipping</b>, that's $10 under our November mention and the lowest price we could find now by $40. They're available in select medium and wide sizes from 8 to 12. Deal ends January 6.",$60,0,,SHOES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dpodcq0kyazhtnjhwc7r",2172743,Rockport Men's Trailbreaker Duck Boots,https://www.dealnews.com/Rockport-Mens-Trailbreaker-Duck-Boots-for-60-free-shipping/2172743.html
2018-01-05T13:29:49-05:00,free shipping,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172707"">Belkin 6-Outlet SlimLine Power Strip Surge Protector with Rotating Plug</a> for <strong>$14.78</strong> with <strong>free shipping</strong> for Prime members. That's the lowest price we could find by $4. It features a 6-foot power cord.",$15,3,,SURGE PROTECTORS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dfjkptkntezeewrvnmie",2172707,Belkin 6-Outlet SlimLine Surge Protector,https://www.dealnews.com/Belkin-6-Outlet-Slim-Line-Surge-Protector-for-15-free-shipping/2172707.html
2018-01-05T13:26:12-05:00,free shipping,,"LeHome via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172740"">LeHome 1080p WiFi IP Security Camera</a> in White for $49.99. Coupon code ""HOLA2018"" drops it to <b>$29.99</b>. With <b>free shipping</b>, that's tied with our expired mention from two days ago, $20 off, and the lowest price we could find. Features include 1080p video recording, a 120° wide-angle lens, 2-way audio, night vision up to 32 feet, motion detection, 55° vertical rotation, 355° horizontal rotation, 802.11n wireless, real-time streaming and alerts via the Eyeplus mobile app, and microSD card slot. Deal ends January 9.",$30,3,,SECURITY CAMERAS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pselcd2u1yvwejdlcgkl",2172740,LeHome 1080p WiFi IP Security Camera,https://www.dealnews.com/Le-Home-1080-p-Wi-Fi-IP-Security-Camera-for-30-free-shipping/2172740.html
2018-01-05T13:24:55-05:00,free shipping,,"Groupon offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172719"">Garmin DriveSmart 50LMT-HD 5"" GPS Navigator with Lifetime North American Map and HD Digital Traffic Updates</a> for <strong>$69.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find for this refurb model by $5. (For further comparison, most sellers charge at least $160 for the similar 50LMT model new, but that only includes basic Garmin Traffic <i>instead</i> of the upgraded HD Digital Traffic.) It features a dual-orientation 5"" 480x272 LED-backlit LCD, preloaded data from Foursquare, Bluetooth, voice control, driver alerts, lane assist with junction view, microSD card slot, and rechargeable Li-ion battery. Deal ends January 6.<br>
<br>
Note: A 1-year Garmin warranty applies.",$70,3,,AUTOMOTIVE GPSS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mtnpdqxp5zzq9svuqbnj",2172719,"Refurb Garmin DriveSmart GPS w/ Maps, Traffic",https://www.dealnews.com/Refurb-Garmin-Drive-Smart-GPS-w-Maps-Traffic-for-70-free-shipping/2172719.html
2018-01-05T13:21:50-05:00,free shipping,,"TechRabbit cuts <strong>up to 90% off</strong> a selection of new and refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172737"">computers, headphones, cell phone accessories, and more</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098367,2172737"">Winter Wonderland Sale</a>. Plus, all orders receive <strong>free shipping</strong>. Deal ends January 18.<br>
<br>
Note: Refurbished items are covered by a TechRabbit warranty; see product pages for details.",Up to 90% off,4,,ELECTRONICS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/djmqzaa2fdxoytbw530t",2172737,TechRabbit Winter Wonderland Sale,https://www.dealnews.com/Tech-Rabbit-Winter-Wonderland-Sale-Up-to-90-off-free-shipping/2172737.html
2018-01-05T13:18:52-05:00,free shipping w/ Prime,,"Weme via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172734"">Weme Active HDMI to VGA Adapter</a> in Black or White for $7.99. Coupon code ""3OVQKGXQ"" cuts it to <b>$2.99</b>. Plus, Prime members bag <b>free shipping</b>. That's $1 under our November mention and the lowest price we've seen. (It's the best today by $7.) It features HD video support for resolutions up to 1080p, a 3.5mm audio output, and micro-USB port with included micro-USB cable for optional power. Deal ends January 15.",$3,3,,COMPUTER CABLES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cijtxmnqaudwwak060ty",2172734,Weme Active HDMI to VGA Adapter,https://www.dealnews.com/Weme-Active-HDMI-to-VGA-Adapter-for-3-free-shipping-w-Prime/2172734.html
2018-01-03T11:25:50-05:00,,,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170991"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Plus, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094431,2170991"">purchases and for any balance transfers</a> made in the first 60 days, then, <strong>14.24% - 24.24% variable APR</strong>. A 3% fee (min $10) applies to balance transfers. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",$150 cash rewards offer,,,CREDIT CARDS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",2170991,Bank of America® Cash Rewards Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2170991"
