picture_url,category,shipping,price,time_published,url,uuid,hotness,editors_choice,time_modified,title,description
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z77ywjjbjnbiaqddafx2",AUTOMOTIVE,free shipping w/ Prime,$15,2018-01-05T09:55:17-05:00,https://www.dealnews.com/Auto-Vox-300-PSI-Tire-Inflator-for-15-free-shipping-w-Prime/2172500.html,2172500,0,,,Auto-Vox 300-PSI Tire Inflator,"I-Max via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172500"">Auto-Vox 300-PSI Tire Inflator</a> for $18.88. Coupon code ""TNFKAHUB"" drops it to <b>$15.10</b>. Plus, Prime members bag <b>free shipping</b>. That's tied with our November mention and the lowest price we could find by $6. It includes a 10-foot power cord and three adapters. Deal ends January 20."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nil9vn7rmubfutbhdzig",AUTOMOTIVE,free shipping w/ Prime,$9,2018-01-05T09:50:46-05:00,https://www.dealnews.com/Pido-Car-Backseat-Organizer-w-Tablet-Holder-for-9-free-shipping-w-Prime/2172506.html,2172506,0,,,Pido Car Backseat Organizer w/ Tablet Holder,"Pido Products via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172506"">Pido Car Backseat Organizer with Tablet Holder</a> for $14.99. Coupon code ""DF52Q7SW"" cuts that to <strong>$8.99</strong>. Plus, Prime members bag <strong>free shipping</strong>. That's $6 off and the lowest price we could find. It features a tablet pocket with touchscreen window, three mesh pockets, neoprene insulated thermal pocket, large padded pocket, and adjustable seat and headrest straps. Deal ends January 20."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ler3k6offwqblwmizexx",BLU-RAY DISC MOVIES,free shipping w/ Prime,$17,2018-01-05T09:36:13-05:00,https://www.dealnews.com/Firefly-Series-15-th-Ann.-Ed.-on-Blu-ray-for-17-free-shipping-w-Prime/2172473.html,2172473,0,,,Firefly Series: 15th Ann. Ed. on Blu-ray,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172473"">Firefly Complete Series: 15th Anniversary Edition on Blu-ray</a> for <b>$16.81</b> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find today by $3."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jiwrmc1nfdcpvfj3erri",COATS,free shipping,$40,2018-01-05T09:35:35-05:00,https://www.dealnews.com/Columbia-Mens-Mountainside-Full-Zip-Vest-for-40-free-shipping/2172470.html,2172470,0,,,Columbia Men's Mountainside Full Zip Vest,"Columbia offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172470"">Columbia Men's Mountainside Full Zip Vest</a> in Navy or Graphite for $49.98. Coupon code ""COLNEWYEAR60"" drops that to <strong>$39.98</strong>. Plus, Greater Rewards members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097494,2172470"">sign up</a>.) That's tied with our mention from last week as the lowest price we've seen. (It's the best deal now by $40.) It's available in sizes S to XXL. Deal ends December 31."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eurp0ib4pdfchr6kofhe",COATS,$12 shipping,$99,2018-01-05T09:31:39-05:00,https://www.dealnews.com/Mountain-Hardwear-Mens-Radian-Hooded-Jacket-for-99-12-s-h/2172491.html,2172491,3,,,Mountain Hardwear Men's Radian Hooded Jacket,"Sierra Trading Post offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172491"">Mountain Hardwear Men's Radian Hooded Jacket</a> in Thunderhead Grey or Hardwear Navy for <strong>$99</strong> plus <strong>$11.95</strong> for shipping. That's the lowest price we could find by $78. It's available in select sizes from S to XXL."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fkncz5epkl1qjd1cm1e2",CLOTHING & ACCESSORIES,free shipping w/ $75,Up to 50% off + 30% off,2018-01-05T09:27:31-05:00,https://www.dealnews.com/Abercrombie-Fitch-Winter-Clearance-Sale-Up-to-50-off-30-off-free-shipping-w-75/2172494.html,2172494,5,,,Abercrombie & Fitch Winter Clearance Sale,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097572,2172494"">Abercrombie &amp; Fitch</a> takes <strong>up to 50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172494"">men's and women's clearance styles</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097575,2172494"">Winter Clearance Sale</a>. (Prices are as marked.) Plus, take an <b>extra 30% off</b> via coupon code ""11260"". Shipping adds <strong>$7</strong>, but orders of $75 or more qualify for free shipping. Some exclusions apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2012/Abercrombie-Fitch/"">Abercrombie &amp; Fitch Coupons</a>.</p>"
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gmowrd2nfektfnhh6igf",CUTLERY & FLATWARE,free shipping,$55,2018-01-05T09:21:37-05:00,https://www.dealnews.com/Oneida-Cella-62-Piece-Casual-Flatware-Set-for-55-free-shipping/2172476.html,2172476,3,,,Oneida Cella 62-Piece Casual Flatware Set,"GoodGrabs via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172476"">Oneida Cella 62-Piece Casual Flatware Set</a> for <strong>$54.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $95, outside of the mention below. It includes 12 dinner forks, salad forks, dinner spoons, teaspoons, and dinner knives, as well as a 2-piece serving set.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097506,2172476"">Finest Flatware via eBay</a> has it for $59.99 with free shipping."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mxwbl3hqqscqnopvvyii",LUGGAGE & TRAVEL GEAR,free shipping,$130,2018-01-05T09:17:46-05:00,https://www.dealnews.com/Samsonite-SCure-28-Spinner-Luggage-for-130-free-shipping/2172482.html,2172482,3,,,"Samsonite S'Cure 28"" Spinner Luggage","BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172482"">Samsonite S'Cure 28"" Zipperless Spinner Luggage</a> in Black for <strong>$129.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $269. It features Flowlite polypropylene construction, four multi-directional spinner wheels, a retractable handle, full-zip divider pad, and 3-point locking system with TSA lock. Deal ends January 29."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/muuqgb6zvfcgedh2isgq",GROUPON COUPONS,,,2018-01-05T09:15:28-05:00,https://www.dealnews.com/Groupon-Savings-to-Rave-About-Sale-free-shipping-w-35/2172485.html,2172485,4,,,Groupon Savings to Rave About Sale,"Groupon discounts <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17097545,2172485"">more than 50,000 items and local deals</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172485"">Savings to Rave About Sale</a>. Shipping adds <b>$3.99</b> on goods, or get free shipping on orders of $34.99 or more. Deal ends January 6."
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jdbqburqwi25uci5t5ag",VIDEO DOWNLOADS,,from $3 per month,2018-01-04T14:20:21-05:00,https://www.dealnews.com/Amazon-Video-Add-On-Subscriptions-from-3-per-month/2171939.html,2171939,,,,Amazon Video Add-On Subscriptions,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096792,2171939"">Amazon Prime</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096795,2171939"">Prime Video members</a> can purchase <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171939"">add-on subscriptions</a> to select streaming entertainment channels with prices starting at <strong>$2.99 per month</strong>. Each channel has its own unique pricing, with more well-known services typically priced from $8.99 to $14.99. Video subscriptions can be added and removed via your Prime account settings."
