shipping,hotness,uuid,price,category,description,editors_choice,title,picture_url,url,time_published,time_modified
free shipping w/ Prime,0,2172734,$3,COMPUTER CABLES,"Weme via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172734"">Weme Active HDMI to VGA Adapter</a> in Black or White for $7.99. Coupon code ""3OVQKGXQ"" cuts it to <b>$2.99</b>. Plus, Prime members bag <b>free shipping</b>. That's $1 under our November mention and the lowest price we've seen. (It's the best today by $7.) It features HD video support for resolutions up to 1080p, a 3.5mm audio output, and micro-USB port with included micro-USB cable for optional power. Deal ends January 15.",,Weme Active HDMI to VGA Adapter,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cijtxmnqaudwwak060ty",https://www.dealnews.com/Weme-Active-HDMI-to-VGA-Adapter-for-3-free-shipping-w-Prime/2172734.html,2018-01-05T13:18:52-05:00,
free shipping,0,2172731,Extra 40% off boots,SHOES,"Rockport takes an <strong>extra 40% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172731"">men's and women's outlet boots</a> via coupon code ""BOOT40"" during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098358,2172731"">Flash Sale</a>. (Eligible items are marked.) Plus, all orders bag <strong>free shipping</strong>. (Shipping normally adds $5 for orders under $125.) Some exclusions apply. Deal ends January 6.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1206/Rockport/"">Rockport Coupons</a>.</p>",,Rockport Outlet Flash Sale,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fmqsw01jrlf2i1ug8ick",https://www.dealnews.com/Rockport-Outlet-Flash-Sale-Extra-40-off-boots-free-shipping/2172731.html,2018-01-05T13:18:00-05:00,
free s&h w/beauty item,0,2172725,from $7,SHIRTS,"Macy's discounts a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098322,2172725"">American Rag Men's Button-Down Shirts</a>, with prices starting from <strong>$6.96</strong>. Plus, take an <strong>extra 20% off</strong> select styles via coupon code ""WKND"" or an <strong>extra $10 off</strong> orders of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098313,2172725"">$25 or more</a> via ""WKND25"". (Eligible items are marked.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098316,2172725"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That puts many styles at less than half price and is a really cheap price point for men's button-down shirts in general. Deal ends January 7. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098319,2172725"">American Rag Men's Mini Houndstooth Shirt</a> for <strong>$14.39</strong> ($16 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172725"">American Rag Men's Cadet Solid Shirt</a> for <strong>$14.39</strong> (pictured, $16 off)
 </li>
</ul>",True,American Rag Men's Shirts at Macy's,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zye3pdxubwmx3dn2cavc",https://www.dealnews.com/American-Rag-Mens-Shirts-at-Macys-from-7-free-s-h-w-beauty-item/2172725.html,2018-01-05T13:12:31-05:00,
free s&h w/beauty item,0,2172701,$34,SHOES,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172701"">Guess Women's Verna Banded Jogger Sneakers</a> in Black or Silver for $39.99. Coupon code ""WKND"" drops it to <b>$33.99</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098178,2172701"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. Excluding padding, that's the lowest price we could find by $35. They're available in select sizes from 5 to 11. Deal ends January 7.",,Guess Women's Verna Banded Jogger Sneakers,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tn2blxyhe73u4y4sdqna",https://www.dealnews.com/Guess-Womens-Verna-Banded-Jogger-Sneakers-for-34-free-s-h-w-beauty-item/2172701.html,2018-01-05T13:09:45-05:00,
free shipping w/ Prime,0,2172722,$9,HOME & GARDEN,"MaidMax via Amazon offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172722"">MaidMAX Foldable Storage Cube 6-Pack</a> in Beige for $18.49. Coupon code ""RLVTAIXE"" cuts it to <strong>$9</strong>. With <strong>free shipping</strong> for Prime members, that's $9 off and the lowest price we could find. They each measure 10.5"" x 10.5"" x 11"" and feature label holders and sewn in handles. Deal ends January 31.",,MaidMAX Foldable Storage Cube 6-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/chgodrafmzmgpheai8iz",https://www.dealnews.com/Maid-MAX-Foldable-Storage-Cube-6-Pack-for-9-free-shipping-w-Prime/2172722.html,2018-01-05T13:04:05-05:00,
free s&h w/beauty item,0,2172713,$28,SHIRTS,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172713"">Guess Men's Chalk Cotton Button Down Shirt</a> in Graffiti-Print for <strong>$27.53</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098262,2172713"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $41 off and the lowest price we could find. It's available in sizes S to L.",,Guess Men's Chalk Cotton Button Down Shirt,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qa8e27nkcmxu7eizgzfh",https://www.dealnews.com/Guess-Mens-Chalk-Cotton-Button-Down-Shirt-for-28-free-s-h-w-beauty-item/2172713.html,2018-01-05T12:58:19-05:00,
free shipping w/ Prime,0,2172716,$9,LIGHT BULBS,"Oak Leaf via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172716"">LuminWiz 9-watt (65-watt Equivalent) BR30 E26 Dimmable LED Light Bulb 4-Pack</a> in Crystal White or Warm White for $12.99. Coupon code ""DMPZZ9RZ"" drops it to <strong>$8.99</strong>. Plus, Prime members receive <strong>free shipping</strong>. That's $2.25 per bulb, $4 off, and the lowest price we could find. (It's also $3 under our November mention.) These bulbs feature a lifespan of up to 25,000 hours. Deal ends January 31.",,LuminWiz 9W Dimmable LED Light Bulb 4-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fjnyrijrwpptx2vmcokd",https://www.dealnews.com/Lumin-Wiz-9-W-Dimmable-LED-Light-Bulb-4-Pack-for-9-free-shipping-w-Prime/2172716.html,2018-01-05T12:55:44-05:00,
free shipping,3,2172710,$18,LAPTOP BAGS,"Qiker via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172710"">XIXOV Water Resistant 17"" Laptop Backpack</a> in Gray for $29.99. Coupon code ""IRYIEITC"" drops it to <b>$17.99</b>. With <b>free shipping</b>, that's tied with our mention from two weeks ago, $12 off list, and the lowest price we've seen. It features a USB charger, adjustable shoulder straps and holds laptops up to 17"". Deal ends January 31.",,"XIXOV Water Resistant 17"" Laptop Backpack","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzbrjka251cliwfhrt2g",https://www.dealnews.com/XIXOV-Water-Resistant-17-Laptop-Backpack-for-18-free-shipping/2172710.html,2018-01-05T12:50:15-05:00,
free s&h w/beauty item,3,2172698,$22... or less,SWEATERS,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172698"">Guess Women's Sleeveless Ruffled Sweater</a> in Black or Red for <b>$21.99</b>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098169,2172698"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $18 below our November mention, $47 off list, and the lowest price we could find (outside of the seller below). It's available in sizes XS to XL. Deal ends January 7.<br>
<br>
Wear size XL? With very limited stock that's likely to sell out, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098172,2172698"">Amazon</a> offers it for as low as <strong>$10.85</strong> with <strong>free shipping</strong> for Prime members.",,Guess Women's Sleeveless Ruffled Sweater,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cdxwm1i6hk2yn3ium4d1",https://www.dealnews.com/Guess-Womens-Sleeveless-Ruffled-Sweater-for-22...-or-less-free-s-h-w-beauty-item/2172698.html,2018-01-05T12:29:13-05:00,
,,2171507,$84,GAMES,"NoKeys offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171507"">$100 Xbox Live Gift Card</a> for $90. Coupon code ""Running"" cuts it to <strong>$83.70</strong>. Deal ends February 28.",,$100 Xbox Live Gift Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tmrocnub3jurlku2fo4j",https://www.dealnews.com/100-Xbox-Live-Gift-Card-for-84/2171507.html,2018-01-05T00:01:00-05:00,
