editors_choice,hotness,picture_url,uuid,url,shipping,description,time_published,price,category,time_modified,title
True,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vclau3ojohf3xeonheki",2172920,https://www.dealnews.com/2-ACE-Adjustable-Wrist-Supports-for-3-pickup-at-Walmart/2172920.html,pickup at Walmart,"Walmart offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172920"">two ACE Adjustable Wrist Supports</a> for <b>$3.10</b>. (Minimum purchase is two.) Opt for in-store <b>pickup</b> to dodge the $5.99 shipping charge. That's $7 off list and the lowest price we could find. They fit either the right or left hand.",2018-01-05T17:59:47-05:00,$3,HEALTH,,2 ACE Adjustable Wrist Supports
,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/z8v2svhgmwpg2fubzdgi",2172884,https://www.dealnews.com/Barcalounger-Relax-Restore-Recliner-for-210-free-shipping/2172884.html,free shipping,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172884"">Barcalounger Relax &amp; Restore Recliner</a> in Black for <b>$209.99</b> with <b>free shipping</b>. That's $60 off list and the lowest price we could find. It features a pillowed arm rest and measures 35"" x 37"" x 40"".",2018-01-05T17:36:30-05:00,$210,CHAIRS,,Barcalounger Relax & Restore Recliner
,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uovs9fvwk2ebdqj4ugy2",2172890,https://www.dealnews.com/Calphalon-Contemporary-10-Flat-Bottom-Wok-for-40-free-shipping/2172890.html,free shipping,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172890"">Calphalon Contemporary Nonstick 10"" Flat-Bottom Wok</a> for <b>$39.99</b> with <b>free shipping</b>. That's the lowest price we could find by $5. It features a riveted handle and hard anodized aluminum surface.",2018-01-05T17:35:10-05:00,$40,KITCHEN,,"Calphalon Contemporary 10"" Flat-Bottom Wok"
,0,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ab8sigeil0e8nosbrmfz",2172887,https://www.dealnews.com/Corningware-French-White-2-Piece-Bakeware-Set-for-15-free-s-h-w-beauty-item/2172887.html,free s&h w/beauty item,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172887"">Corningware French White 2-Piece Bakeware Set</a> for $24.99. Coupon code ""WKND25"" cuts that to <strong>$14.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098703,2172887"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's the lowest price we could find by $10. It includes 1- and 2-quart baker dishes. Deal ends January 7.",2018-01-05T17:34:51-05:00,$15,KITCHEN,,Corningware French White 2-Piece Bakeware Set
,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/czngzrqhvepcylkwduas",2172899,https://www.dealnews.com/Cooler-Master-Mechanical-Keyboard-and-Mouse-for-34-after-rebate-free-shipping/2172899.html,free shipping,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172899"">Cooler Master MasterKeys Lite L Combo RGB Mechanical Keyboard and Mouse</a>, model no. SGB-3040-KKMF1-US, for $48.75. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098736,2172899"">$15 mail-in rebate</a> cuts it to <b>$33.75</b>. With <b>free shipping</b>, that's $6 under our August mention and the lowest price we could find by $17. This Cherry MX-compatible keyboard features 26-key anti-ghosting. Deal ends January 31.",2018-01-05T17:18:10-05:00,$34 after rebate,KEYBOARDS,,Cooler Master Mechanical Keyboard and Mouse
,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqltjayfgqkzzvmzp3ky",2172896,https://www.dealnews.com/Rubbermaid-Commercial-Service-Utility-Cart-for-67-free-shipping/2172896.html,free shipping,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172896"">Rubbermaid 300-lb. Capacity Commercial Service/Utility Cart</a> for $79. Clip the 15% off coupon code on the product page to cut it to <strong>$67.15</strong>. With <strong>free shipping</strong>, that's $204 off list and the lowest price we could find. It measures 31"" x 34"" x 16"" and features 5"" swivel casters.",2018-01-05T17:17:30-05:00,$67,TOOLS & HARDWARE,,Rubbermaid Commercial Service/Utility Cart
,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/udlewqejuy5oirpnwabi",2172893,https://www.dealnews.com/Soma-Sustainable-Pitcher-Water-Filter-for-32-free-shipping/2172893.html,free shipping,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172893"">Soma Sustainable Pitcher &amp; Plant-Based Water Filter</a> for <strong>$31.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find $7. It holds 80-oz. and features a wooden handle and auto open lid door.",2018-01-05T17:14:52-05:00,$32,KITCHEN,,Soma Sustainable Pitcher & Water Filter
,3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tcuzo9hdkf1fhonrfxeo",2172860,https://www.dealnews.com/Excelsteel-Stainless-Steel-Stockpot-3-pc-Set-for-28-free-shipping/2172860.html,free shipping,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172860"">Excelsteel Stainless Steel Stockpot 3-Piece Set</a> for <b>$27.81</b> with <b>free shipping</b>. That's the lowest price we could find by $6. The set includes one 8-quart, one 12-quart, and one 16-quart pot, each with a matching lid.",2018-01-05T17:09:02-05:00,$28,KITCHEN,,Excelsteel Stainless Steel Stockpot 3pc Set
,4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ip9iuzgdmkk9jfbvjuhr",2172875,https://www.dealnews.com/Belkin-6-Outlet-Wall-Mount-Surge-Protector-for-8-free-shipping-w-Prime/2172875.html,free shipping w/ Prime,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172875"">Belkin 6-Outlet Wall-Mount Surge Protector</a> for <strong>$7.61</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. It features a 900-joule energy rating.",2018-01-05T17:08:49-05:00,$8,SURGE PROTECTORS,,Belkin 6-Outlet Wall-Mount Surge Protector
,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tmrocnub3jurlku2fo4j",2171507,https://www.dealnews.com/100-Xbox-Live-Gift-Card-for-84/2171507.html,,"NoKeys offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171507"">$100 Xbox Live Gift Card</a> for $90. Coupon code ""Running"" cuts it to <strong>$83.70</strong>. Deal ends February 28.",2018-01-05T00:01:00-05:00,$84,GAMES,,$100 Xbox Live Gift Card
