title,editors_choice,url,picture_url,hotness,price,shipping,time_published,uuid,description,category,time_modified
Formula Skylar Shower Curtain,True,https://www.dealnews.com/Formula-Skylar-Shower-Curtain-for-4-pickup-at-Walmart/2173007.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/immwhi06ob2leksrwvl2",0,$4,pickup at Walmart,2018-01-06T00:36:01-05:00,2173007,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173007"">Formula Skylar Shower Curtain</a> for <strong>$3.71</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $9. It measures 72"" x 72"".",BED & BATH,
"Whalen 2-Shelf TV Stand (for up to 50"" TVs)",,https://www.dealnews.com/Whalen-2-Shelf-TV-Stand-for-up-to-50-TVs-for-49-free-shipping/2173004.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/drsb3zrv9yjxh4s8oftg",0,$49,free shipping,2018-01-06T00:31:45-05:00,2173004,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173004"">Whalen 2-Shelf TV Stand for up to 50"" TVs</a> for <strong>$49</strong> with <strong>free shipping</strong>. That's $54 off and the lowest price we could find. It features two open shelves and measures 41"" x 20.5"" x 54"".",TV STANDS,
Teddy Ruxpin,,https://www.dealnews.com/Teddy-Ruxpin-for-64-free-shipping/2173001.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/elsnazbiap2g2hvixx6v",0,$64,free shipping,2018-01-06T00:12:26-05:00,2173001,"Walmart offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173001"">Teddy Ruxpin</a> for <strong>$66.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098877,2173001"">Amazon</a> has it for the same price.) That's $3 under our mention from three days ago and the lowest price we've seen. (It's the best deal today by $33.) It measures 14"" and features color LCD eyes, a motorized mouth, sing-along mode, and three original stories. Unlike the original model, which relied on cassette tapes, this version is Bluetooth compatible and also has a companion app (free to download). Four AA batteries are included.",TOYS & HOBBIES,
Big Chill Women's Long Belted Down Blend Coat,True,https://www.dealnews.com/Big-Chill-Womens-Long-Belted-Down-Blend-Coat-for-9-pickup-at-Walmart/2172998.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jy62qhpslnautajg2lxq",5,$9,pickup at Walmart,,2172998,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172998"">Big Chill Women's Long Belted Down Blend Coat</a> in three colors (Black pictured) for <strong>$8.50</strong>. Choose in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's $32 off list and the lowest price we could find. It's available in sizes S to XL.",COATS,2018-01-05T22:59:59-05:00
"Georgie Interactive 12"" Electronic Puppy",,https://www.dealnews.com/Georgie-Interactive-12-Electronic-Puppy-for-40-free-shipping/2172995.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qempsbwfvayzflexyv7g",3,$40,free shipping,2018-01-05T22:44:35-05:00,2172995,"Toys""R""Us offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172995"">Georgie Interactive 12"" Electronic Puppy</a> for $49.98. Coupon code ""NEWYEARS20"" cuts that to <strong>$39.98</strong>. With <strong>free shipping</strong>, that's $20 under our October mention and the lowest price we could find now by $25. Georgie responds to voice commands and features over 100 different interactions, including tug-of-war with the included rope toy.",TOYS & HOBBIES,
OXO Good Grips Dish Brush Storage Set,True,https://www.dealnews.com/OXO-Good-Grips-Dish-Brush-Storage-Set-for-3-w-25-purchase-free-shipping-w-Prime/2172992.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hmy2lxqifmkgxcipdh4h",5,$3 w/$25 purchase,free shipping w/ Prime,2018-01-05T22:03:48-05:00,2172992,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172992"">OXO Good Grips Dish Brush Storage Set</a> for <strong>$3.08</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. This soap-dispensing dish brush features nylon bristles and a built-in scraper for baked-on food.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",KITCHEN,
Hasbro Cootie Game,True,https://www.dealnews.com/Hasbro-Cootie-Game-for-5-w-25-purchase-free-shipping/2172989.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w4zacmxi7eaouytptthv",3,$5 w/ $25 purchase,free shipping,2018-01-05T21:51:04-05:00,2172989,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172989"">Hasbro Cootie Game</a> for <strong>$4.68</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $11. It's designed for two to four players and includes four bodies, four heads, 24 legs, four eye pieces, four mouth pieces, four head accessories, die, label sheet, and Cootie bug parts chart.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",TOYS & HOBBIES,
The Python Mega Course,,https://www.dealnews.com/The-Python-Mega-Course-for-11/2172983.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ts1yf6oheaws3ncbxygy",3,$11,,2018-01-05T20:56:59-05:00,2172983,"Udemy offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172983"">The Python Mega Course</a> for <strong>$10.99</strong>. That's $184 off and tied with our mention from three weeks ago as the lowest price we could find. This course allows users to build 10 real world applications, and includes lifetime access to 17 coding exercises, 23.5 hours of on-demand video, 53 articles, and 44 supplemental resources.",SOFTWARE,
Syma X22W Mini Quadcopter Drone w/ HD Camera,,https://www.dealnews.com/Syma-X22-W-Mini-Quadcopter-Drone-w-HD-Camera-for-32-free-shipping/2172977.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zldholkcglswdzmwqzds",3,$32,free shipping,2018-01-05T20:54:51-05:00,2172977,"As one of its daily deals, RC Drone via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172977"">Syma X22W Mini Quadcopter Drone with HD Camera</a> in Red or White for $37.40. Clip the $5 off coupon on the product page to cut it to <strong>$32.40</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago and the lowest price we could find by $6. It features WiFi FPV, 0.3-megapixel camera, remote control, a 98-foot range, 5-minute flight time, four channels, and a spare battery. Deal ends today.",TOYS & HOBBIES,
Chase Sapphire Reserve℠ Card,,"https://www.dealnews.com/lw/click.html?20,2,2171069","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dgnflhffkigi97koojiy",,"50,000 bonus points",,2018-01-03T12:34:27-05:00,2171069,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171069"">Chase Sapphire Reserve℠ Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094638,2171069"">$4,000 or more</a> on purchases in the first three months from account opening – that's $750 toward travel when you redeem through Chase Ultimate Rewards®. Plus, automatically receive <strong>up to $300 in statement credits</strong> as reimbursement for travel purchases charged to your card each account anniversary year. Also, earn <strong>3X points</strong> for every $1 spent on travel and dining at restaurants worldwide, and 1 point for every $1 spent on all other purchases. There's a $450 annual fee; $75 for each authorized user. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094641,2171069"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",CREDIT CARDS,
