category,price,time_published,time_modified,hotness,description,picture_url,editors_choice,shipping,title,url,uuid
HOME IMPROVEMENT,Up to 25% off,2018-01-06T06:36:38-05:00,,0,"As one of its daily deals, Home Depot takes <strong>up to 25% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098919,2173094"">Leviton outlets, dimmers, and switches</a>. Plus, all orders receive <strong>free shipping</strong>. Deal ends today. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098922,2173094"">Leviton Decora 15-amp Combination Duplex Outlet and USB Outlet 3-Pack</a> for <strong>$50</strong> ($18 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173094"">Leviton Decora Smart 600-Watt Z-Wave Dimmer 2-Pack</a> for <strong>$74.95</strong> (pictured, $25 off)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rog9fnipob1ljzjuacbw",,free shipping,"Outlets, Dimmers, & Switches at Home Depot",https://www.dealnews.com/Outlets-Dimmers-Switches-at-Home-Depot-Up-to-25-off-free-shipping/2173094.html,2173094
EBOOKS,free,2018-01-06T06:31:45-05:00,,0,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173091"">Emilie Autumn's <i>The Asylum for Wayward Victorian Girls</i> Kindle eBook</a> for <strong>free</strong>. That's $7 off list and the lowest price we could find. It includes interactive elements such as audio tracks and hidden links.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xvkhncapevu9iujgb2ji",,,"Emilie Autumn ""Wayward Victorian Girls"" eBook",https://www.dealnews.com/Emilie-Autumn-Wayward-Victorian-Girls-eBook-for-free/2173091.html,2173091
LAPTOPS,$900,2018-01-06T06:21:10-05:00,,0,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173085"">Dell XPS 13 Intel Kaby Lake Core i5 2.5GHz 13.3"" Laptop</a> for <strong>$899.99</strong> with <strong>free shipping</strong>. That's $200 off and the lowest price we could find. Features include:
<ul>
 <li>Intel Core i5-7200U 2.5GHz Kaby Lake dual-core processor
 </li>
 <li>13.3"" 1920x1080 (1080p) LCD display
 </li>
 <li>8GB RAM
 </li>
 <li>256GB SSD
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vxhm6fintdpoernn8af8",,free shipping,"Dell XPS Kaby Lake i5 Dual 13"" Laptop",https://www.dealnews.com/Dell-XPS-Kaby-Lake-i5-Dual-13-Laptop-for-900-free-shipping/2173085.html,2173085
SPORTS & FITNESS,$41,2018-01-06T06:19:23-05:00,,0,"As one of its daily deals, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173082"">Garmin Vivofit 3 Regular Fit Bluetooth Fitness Band</a> in Black or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098910,2173082"">White</a> for <strong>$41.49</strong> with <strong>free shipping</strong>. (It's available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098913,2173082"">XL Fit in Black</a> for the same price.) That's $9 under our mention from three days ago and the lowest price we could find now, also by $9. It features a 64x64 always-on LCD, Garmin Move IQ automatic activity detection, watch function, audible alerts, inactivity alerts, and 1-year battery life.<br>
<br>
Also available is the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098916,2173082"">Garmin Vivosmart 3 Bluetooth Heart-Rate Fitness Band</a> in Black or Purple for <strong>$72.49</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $18. It tracks steps, floors climbed, calories burned, intensity minutes, sleep, and VO2 Max. It comes in sizes S/M or L. Both deals end today.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bhbpmfx2nfkfxpp7asly",,free shipping,Garmin Vivofit 3 Bluetooth Fitness Band,https://www.dealnews.com/Garmin-Vivofit-3-Bluetooth-Fitness-Band-for-41-free-shipping/2173082.html,2173082
PC GAMES,$12,2018-01-06T06:06:50-05:00,,3,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173079"">Cuphead for Windows</a> for <strong>$12.19</strong>. That's a buck under our mention from three weeks ago and the lowest price we've seen. (It also beats its recent Steam sale price by $5; it's the best deal now by $7.) <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098904,2173079"">Click here</a> to see a short clip of its astonishing animation style.<br>
<br>
Note: New customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098907,2173079"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dmwkcwue8iehvas2iryu",,,Cuphead for PC,https://www.dealnews.com/Cuphead-for-PC-for-12/2173079.html,2173079
HEADPHONES,$0 after rebate,,2018-01-06T06:04:43-05:00,5,"As one of its daily deals, Newegg offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173076"">Krazilla Kzh In-Ear Headphones</a> in Black for $9.99. Redeem this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098901,2173076"">$9.99 mail-in rebate</a> for the final price of <strong>$0</strong>. With <strong>free shipping</strong>, that's $10 off and the lowest price we could find. Deal ends January 6.<br>
<br>
Note: A 90-day warranty applies, but it is unclear who backs it.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uafl8bhejzzz6lcrborv",,free shipping,Refurb Krazilla Kzh In-Ear Headphones,https://www.dealnews.com/Refurb-Krazilla-Kzh-In-Ear-Headphones-for-0-after-rebate-free-shipping/2173076.html,2173076
TOYS & HOBBIES,$159,2018-01-06T05:56:04-05:00,,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173073"">Dynacraft Marvel Avengers 12-volt 4x4 Ride-On</a> for <strong>$159</strong> with <strong>free shipping</strong>. That's $141 off and the lowest price we could find. It features a maximum speed of 5mph and adjustable seat belts.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vztjcbhxb5qajgakppli",True,free shipping,Dynacraft Marvel Avengers 12-volt 4x4 Ride-On,https://www.dealnews.com/Dynacraft-Marvel-Avengers-12-volt-4-x4-Ride-On-for-159-free-shipping/2173073.html,2173073
HOME & GARDEN,Up to 75% off,2018-01-06T05:46:26-05:00,,5,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173067"">Pier 1 Imports</a> takes <strong>up to 75% off</strong> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098889,2173067"">One Big Sale and Clearance</a>. (Prices are as marked.) Opt for in-store <strong>pickup</strong> where available to avoid shipping fees (which start at $5), or get free shipping on orders of $49 or more via coupon ""FREESHIP49"". Some exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1402/Pier-1-Imports/"">Pier 1 Imports Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lzawpaoqd5a3ule0nsxh",,free shipping w/ $49,Pier 1 Imports Sale and Clearance,https://www.dealnews.com/Pier-1-Imports-Sale-and-Clearance-Up-to-75-off-free-shipping-w-49/2173067.html,2173067
SWEATSHIRTS & HOODIES,$21,2018-01-06T05:44:47-05:00,,2,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173061"">Punk Royal Men's Printed Short-Sleeve Hoodie</a> in Black for $25.99. Coupon code ""WKND"" cuts the price to <strong>$20.79</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098886,2173061"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $23 off list and the lowest price we could find. It's available in sizes M to XXL. Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fyhoxg6jwrerrkmdjh6i",,free s&h w/beauty item,Punk Royal Men's Printed Short-Sleeve Hoodie,https://www.dealnews.com/Punk-Royal-Mens-Printed-Short-Sleeve-Hoodie-for-21-free-s-h-w-beauty-item/2173061.html,2173061
CREDIT CARDS,"50,000 bonus points",2018-01-03T12:34:27-05:00,,,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171069"">Chase Sapphire Reserve℠ Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094638,2171069"">$4,000 or more</a> on purchases in the first three months from account opening – that's $750 toward travel when you redeem through Chase Ultimate Rewards®. Plus, automatically receive <strong>up to $300 in statement credits</strong> as reimbursement for travel purchases charged to your card each account anniversary year. Also, earn <strong>3X points</strong> for every $1 spent on travel and dining at restaurants worldwide, and 1 point for every $1 spent on all other purchases. There's a $450 annual fee; $75 for each authorized user. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094641,2171069"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dgnflhffkigi97koojiy",,,Chase Sapphire Reserve℠ Card,"https://www.dealnews.com/lw/click.html?20,2,2171069",2171069
