uuid,shipping,price,url,editors_choice,description,picture_url,category,time_published,hotness,time_modified,title
2173169,free shipping,from $90,https://www.dealnews.com/Dell-SATA-6-Gbps-2.5-SSDs-from-90-free-shipping/2173169.html,,"Dell Small Business discounts a range of its Dell Serial ATA 6Gb/s 2.5"" SSDs, with prices starting from <strong>$89.99</strong>, as listed below. Plus, these orders bag <b>free shipping</b>. The deals:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173169"">Dell 256GB SATA 6Gb/s 2.5"" SSD</a> for <b>$89.99</b> (low by $81)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099003,2173169"">Dell 256GB SATA SATA 6Gb/s 2.5"" SSD Upgrade Kit</a> for <b>$109.99</b> (low by $85f)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099006,2173169"">Dell 512GB SATA 6Gb/s 2.5"" SSD</a> for <b>$169.99</b> (low by $164)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zft1hgji2gyfqy0ypk3l",INTERNAL HARD DRIVES,2018-01-06T10:13:22-05:00,0,,"Dell SATA 6Gbps 2.5"" SSDs"
2173166,free shipping,$300,https://www.dealnews.com/Linksys-AC-Dual-Band-Router-Roccat-Headset-for-300-free-shipping/2173166.html,,"Dell Small Business offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173166"">Linksys AC3200 Dual-Band Gigabit Router</a>, bundled with the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098991,2173166"">Roccat Cross Over-Ear Headset</a>, for <strong>$299.98</strong> with <strong>free shipping</strong>. That's $20 under the lowest price we could find for these items sold separately elsewhere.<br>
<br>
The router features four antennas, four gigabit LAN ports, two USB ports, and a prioritization engine designed to protect against lag spikes. The headset features 50mm neodymium drivers, swappable in-line and boom arm mics, and a 20Hz to 20kHz frequency response.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/b66dlrfxoxuedi7teeaj",ROUTERS,2018-01-06T09:51:19-05:00,2,,"Linksys AC Dual-Band Router, Roccat Headset"
2173160,,free,https://www.dealnews.com/Beat-Maker-for-iPhone-iPad-for-free/2173160.html,,"iTunes offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173160"">BeatMaker for iPhone / iPad</a> for <strong>free</strong>. That's $5 off list and the lowest price we could find. It features 16 sample-based trigger pads with multi-touch support, a multi-track song sequencer, and live pattern recording.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hzzg8njy7ylts2tyg3ea",IPHONE / IPOD APPS,2018-01-06T09:36:45-05:00,5,,BeatMaker for iPhone / iPad
2173163,$9 shipping,$170,https://www.dealnews.com/Used-Wii-U-32-GB-w-Used-Mario-Smash-Bros-for-170-9-s-h/2173163.html,,"GameStop offers the used <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173163"">Nintendo Wii U 32GB Console</a> in Black bundled with used copies of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098979,2173163"">Super Mario 3D World for Wii U</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098982,2173163"">Super Smash Brothers for Wii U</a> for <strong>$169.99</strong> plus <strong>$8.99</strong> for shipping. That's about $44 under what you'd expect to pay for a refurbished console with these games new elsewhere.<br>
<br>
Note: No warranty info is provided; however, each item is covered by a 7-day money-back guarantee.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/atkqlfo4roahrvgzyefv",CONSOLES,2018-01-06T09:29:16-05:00,2,,"Used Wii U 32GB w/ Used Mario, Smash Bros"
2173145,free shipping,$5,https://www.dealnews.com/Exfoliating-Loofah-Back-Scrubber-for-5-free-shipping/2173145.html,,"As one of its daily deals, 13 Deals offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173145"">Exfoliating Loofah Back Scrubber</a> for <strong>$5</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $6. The front side offers a 4"" x13"" loofah sponge for exfoliating, while the back side polishes and smooths skin with soft cotton, and measures 4"" x 32"". Deal ends today.<br>
<br>
Note: Want to stock up? Order <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098985,2173145"">three or more loofahs</a> to drop the per-loofah price to $4.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ebiqtqixfghsf0lhergr",BED & BATH,2018-01-06T09:28:08-05:00,4,,Exfoliating Loofah Back Scrubber
2173154,pickup at Walmart,$11,https://www.dealnews.com/Yankee-Candle-Large-Jar-Candle-for-11-pickup-at-Walmart/2173154.html,True,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173154"">Yankee Candle Large Jar Candle</a> in Honey Clementine for <b>$10.99</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098976,2173154"">Amazon</a> charges the same, although it's not expected to ship for 1 to 2 months.) Choose in-store <b>pickup</b> to dodge the $5.99 shipping fee. That's the lowest price we could find by $11. It measures 6.6"" x 4"" and offers up to 150 hours of burn time.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cbi4dylaxiknjzsrkwwh",DECOR,2018-01-06T09:07:39-05:00,4,,Yankee Candle Large Jar Candle
2173151,free shipping w/ Prime,from $8,https://www.dealnews.com/Tacklife-Tape-Measure-from-8-free-shipping-w-Prime/2173151.html,,"Tacklife Direct via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173151"">Tacklife Tape Measure</a> for $13.97. Coupon code ""ITE6FSIU"" cuts the price to <strong>$8.38</strong>. With <strong>free shipping</strong> for Prime members, that's $6 off list and the lowest price we could find. It measures up to 66-feet long, features anti-slip gripping, and is impact resistant. Deal ends January 10.<br>
<br>
Note: The Tacklife Tape Measure is also available in a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098973,2173151"">larger size</a> for $11.38 via the same coupon code. It measures 164-feet long.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/udtyqfih5crkrcz5hdxv",TOOLS & HARDWARE,2018-01-06T08:43:40-05:00,3,,Tacklife Tape Measure
2173130,pickup at REI,$10,https://www.dealnews.com/Burton-Bullet-Snowboard-Tool-for-10-pickup-at-REI/2173130.html,,"REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173130"">Burton Bullet Snowboard Tool</a> in Black for <strong>$9.83</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our November mention and is the lowest price we could find by $8. It features a fold-out handle, a secret compartment, a #2 and #3 Phillips screwdriver as well as a flathead, 4mm Allen key, and a 10mm wrench.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ouypvnwxyocj0d09haae",CAMPING & OUTDOORS,2018-01-06T08:39:39-05:00,3,,Burton Bullet Snowboard Tool
2173148,free shipping w/ Prime,$9,https://www.dealnews.com/Tacklife-Noise-Reduction-Safety-Ear-Muffs-for-9-free-shipping-w-Prime/2173148.html,,"Tacklife via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173148"">Tacklife Noise Reduction Safety Ear Muffs</a> for $10.97. Coupon code ""IQ4G2LZS"" cuts them to <strong>$8.78</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago, $2 off, and the lowest price we could find. They feature a noise reduction sponge, retractable stainless steel at the end of headband for a custom fit, and anti-sweat material. Deal ends January 10.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/padglhmwh1villm8lan2",TOOLS & HARDWARE,2018-01-06T08:12:05-05:00,4,,Tacklife Noise Reduction Safety Ear Muffs
2170991,,$150 cash rewards offer,"https://www.dealnews.com/lw/click.html?20,2,2170991",,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2170991"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Plus, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17094431,2170991"">purchases and for any balance transfers</a> made in the first 60 days, then, <strong>14.24% - 24.24% variable APR</strong>. A 3% fee (min $10) applies to balance transfers. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",CREDIT CARDS,2018-01-03T11:25:50-05:00,,,Bank of America® Cash Rewards Credit Card
