editors_choice,title,time_published,shipping,picture_url,time_modified,category,uuid,price,url,hotness,description
,Bosch 12V 2-Speed Drill/Driver Kit,2018-01-06T15:37:17-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o80bnlnxhwobo7shgtxb",,POWER TOOLS,2173322,$99,https://www.dealnews.com/Bosch-12-V-2-Speed-Drill-Driver-Kit-for-99-free-shipping/2173322.html,0,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173322"">Bosch 12-volt 2-Speed Drill/Driver Kit</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28. It includes two batteries, charger, and carrying case."
,JOOLA Table Tennis Table Cover,2018-01-06T15:09:33-05:00,pickup at Walmart,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iacougzosqogop7gkg3e",,SPORTS & FITNESS,2173244,$22,https://www.dealnews.com/JOOLA-Table-Tennis-Table-Cover-for-22-pickup-at-Walmart/2173244.html,3,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173244"">JOOLA Table Tennis Table Cover</a> for <strong>$21.60</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099045,2173244"">Sears</a> offers it for the same price.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $8. It fits standard 9x5-foot tables."
,Field & Stream Men's Leather Watch,2018-01-06T15:08:06-05:00,$7 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stnw4aqil99mbir7fkx3",,WATCHES,2173307,$13,https://www.dealnews.com/Field-Stream-Mens-Leather-Watch-for-13-7-s-h/2173307.html,4,"Time to Shade offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173307"">Field &amp; Stream Men's Leather Watch</a> for $50. Coupon code ""DNEWS75"" cuts that price to <strong>$12.50</strong>. With around <strong>$7</strong> for shipping (it varies by location), that's $137 off and the lowest price we could find. It features a leather strap, steel bezel, quartz movement, and water resistance to 165 feet."
,Casual Home Nolan 4-Shelf Ladder Bookcase,2018-01-06T14:59:39-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqqqabrhybxjjm846a7b",,HOME FURNITURE,2173310,$90,https://www.dealnews.com/Casual-Home-Nolan-4-Shelf-Ladder-Bookcase-for-90-free-shipping/2173310.html,3,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173310"">Casual Home Nolan 4-Shelf Folding Ladder Bookcase</a> in White for <strong>$89.50</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $49. It measures 60"" x 24"" x 16"". Deal ends January 7."
,"XtremepowerUS 1,500W Infrared Fireplace",2018-01-06T14:44:41-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tqnorfgryvfslltokcs7",,HEATERS,2173304,$120,https://www.dealnews.com/Xtremepower-US-1-500-W-Infrared-Fireplace-for-120-free-shipping/2173304.html,4,"Id-rack via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173304"">XtremepowerUS 1,500-watt Infrared Fireplace</a> in Honey Oak for <strong>$119.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. It features a remote control, timer, and dimmer."
,Under Armour Hustle 3.0 Backpack,2018-01-06T14:31:14-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o9clbjwvlwlskdplggte",,BACKPACKS,2173298,$40,https://www.dealnews.com/Under-Armour-Hustle-3.0-Backpack-for-40-free-shipping/2173298.html,4,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173298"">Under Armour Hustle 3.0 Backpack</a> in several colors (Black/Steel pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099123,2173298"">Zappos</a> offers it for the same price.) That's the lowest price we could find by $15. It's water repellent and features a laptop sleeve, side pockets, and a shoe pocket."
,Kathy Ireland Mulholland Swing Arm Floor Lamp,,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipcfclygnqntidwm013x",2018-01-06T14:22:02-05:00,LIGHTING & LAMPS,2173301,$100,https://www.dealnews.com/Kathy-Ireland-Mulholland-Swing-Arm-Floor-Lamp-for-100-free-shipping/2173301.html,3,"Lamps Plus offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173301"">Kathy Ireland Mulholland Swing Arm Floor Lamp</a> for <strong>$99.95</strong> with <strong>free shipping</strong>. That's $100 off and the lowest price we could find. It stands at 61"" tall and features a swing arm. Deal ends January 28."
,G.H. Bass Men's Washed Canvas Oxford Shoes,2018-01-06T14:05:11-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mpjwfwovmunnwdlmaqiq",,SHOES,2173295,$35,https://www.dealnews.com/G.H.-Bass-Mens-Washed-Canvas-Oxford-Shoes-for-35-free-shipping/2173295.html,4,"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173295"">G.H. Bass &amp; Co. Men's Proctor Premium Washed Canvas Oxford Shoes</a> in Black for <strong>$34.99</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $20. They're available in select sizes from 7 to 13."
,Quest Hard Arm Chair,2018-01-06T14:02:09-05:00,$6 shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bykbklpqwiuxca9vpa7p",,CAMPING & OUTDOORS,2173235,$15,https://www.dealnews.com/Quest-Hard-Arm-Chair-for-15-6-s-h/2173235.html,2,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173235"">Quest Hard Arm Chair</a> in Red for <strong>$14.97</strong> plus <strong>$5.99</strong> for shipping. That's tied with our October mention and the lowest price we could find by $13. It features a beverage holder, carry bag, and weight capacity of 300 lbs."
,SiriusXM 6-Month Subscriptions,2018-01-06T12:28:21-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nonoj6uneng7s7worenq",,MUSIC,2173250,$30,https://www.dealnews.com/Sirius-XM-6-Month-Subscriptions-for-30/2173250.html,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173250"">SiriusXM</a> offers your choice of a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099060,2173250"">SiriusXM 6-Month Select Package</a> or a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099063,2173250"">SiriusXM 6-Month Streaming Package</a> for <strong>$30</strong>. You'll need to cancel before the six months is over unless you want to renew at $15.99/month."
,Joy Mangano Miracle Mop Bucket,2018-01-06T13:59:29-05:00,free s&h w/beauty item,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a8wztosdukwaeidihpvc",,CLEANING SUPPLIES,2173289,$13,https://www.dealnews.com/Joy-Mangano-Miracle-Mop-Bucket-for-13-free-s-h-w-beauty-item/2173289.html,4,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173289"">Joy Mangano Miracle Mop Bucket</a> in Purple or Fuchsia for $14.99. Coupon code ""WKND"" cuts the price to <strong>$12.74</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099120,2173289"">HSN via eBay</a> charges about the same.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099108,2173289"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's the lowest price we could find by $5. It features a 4-gallon capacity, easy-pour spout, and locking handle. Deal ends January 7."
,Polaris Women's Asymmetrical Hoodie,2018-01-06T13:53:47-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x0ainugfp3izxogavvp5",,SWEATSHIRTS & HOODIES,2173283,$30,https://www.dealnews.com/Polaris-Womens-Asymmetrical-Hoodie-for-30-free-shipping/2173283.html,3,"Fix_my_toys via eBay offers the OEM <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173283"">Polaris Women's Asymmetrical Sweatshirt Hoodie</a> in Black for <strong>$29.95</strong> with <strong>free shipping</strong>. That's $30 off and the lowest price we could find. It's available in sizes XS to L."
,Martha Stewart Collection 3-Pc. Zesting Set,2018-01-06T13:50:37-05:00,free s&h w/beauty item,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l5841o2xtz7post4fpst",,KITCHEN,2173292,$9,https://www.dealnews.com/Martha-Stewart-Collection-3-Pc.-Zesting-Set-for-9-free-s-h-w-beauty-item/2173292.html,2,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173292"">Martha Stewart Collection 3-Pice Zesting Set</a> for <strong>$9.03</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099111,2173292"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $14 off list and the lowest price we could find. It features a zester, peeler, and paring knife."
,Kitchenware at Sears,2018-01-06T13:49:36-05:00,free shipping w/ $25,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ppsjzszjyya4628rsefo",,KITCHEN,2173232,Extra 10% off,https://www.dealnews.com/Kitchenware-at-Sears-Extra-10-off-free-shipping-w-25/2173232.html,3,"Ending today, Sears takes an <strong>extra 10% off</strong> a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173232"">selection of kitchen items</a> via coupon code ""NEWYEAR"". Opt for in-store <strong>pickup</strong> to dodge shipping fees, which start around $3. (Orders of $25 or more bag free shipping.) The discount applies only to items sold directly by Sears, and other exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s510/Sears/"">Sears Coupons</a>.</p>"
