uuid,time_published,price,time_modified,description,picture_url,editors_choice,shipping,url,title,category,hotness
2173328,2018-01-06T16:14:52-05:00,$270,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173328"">RCA 43"" 4K LED-Backlit LCD Ultra HD TV</a>, model no. RTU4300, for <strong>$269.99</strong> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $38. It features a 3840x2160 (2160p) native resolution, LED backlight, and four HDMI inputs.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ki8prkclvlvt8qzyeuid",,free shipping,https://www.dealnews.com/RCA-43-4-K-LED-LCD-UHD-TV-for-270-free-shipping/2173328.html,"RCA 43"" 4K LED LCD UHD TV",TVS,0
2173331,2018-01-06T16:14:30-05:00,$88,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173331"">Razor Power Core 90 Electric Scooter</a> in Green or Pink for <strong>$88</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099129,2173331"">Amazon</a> offers it for the same price.) That's tied with our November mention and the lowest price we could find by $12. It features a top speed of 10mph, hand-operated front brake, retractable kick stand, and ride time of up to 70 minutes.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yoim26ddwmp4xukmfg72",,free shipping,https://www.dealnews.com/Razor-Power-Core-90-Electric-Scooter-for-88-free-shipping/2173331.html,Razor Power Core 90 Electric Scooter,TOYS & HOBBIES,0
2173325,2018-01-06T15:46:19-05:00,$40,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173325"">American Rag Women's Faux-Fur Hooded Parka</a> in several colors (Olive/White Combo pictured) for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099126,2173325"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $57 off and the lowest price we could find. It's available in select sizes from XXS to XL. Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nmiltmpiko1evktudv24",,free s&h w/beauty item,https://www.dealnews.com/American-Rag-Womens-Faux-Fur-Hooded-Parka-for-40-free-s-h-w-beauty-item/2173325.html,American Rag Women's Faux-Fur Hooded Parka,COATS,4
2173313,2018-01-06T15:44:55-05:00,$42,,"Ending today, Rockport offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173313"">Rockport Men's ActiveFlex RocSports Lite Leather Boots</a> in Grey for $69.99. Coupon code ""BOOT40"" cuts that price to <strong>$41.99</strong>. With <strong>free shipping</strong>, that's $28 off and the lowest price we could find. It's available in medium and wide widths in select sizes from 7 to 14.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzrfaozavttfxebkdrwr",,free shipping,https://www.dealnews.com/Rockport-Mens-Active-Flex-Leather-Boots-for-42-free-shipping/2173313.html,Rockport Men's ActiveFlex Leather Boots,SHOES,4
2173319,2018-01-06T15:42:43-05:00,$36,,"Pep Boys via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173319"">Bell Automotive Products Premium Roadside Emergency Kit</a> for <b>$35.99</b> with <b>free shipping</b>. That's $9 under the lowest price we could find for a similar set elsewhere. The kit includes an 8-foot booster cable, tire sealant, LED flashlight, three AAA batteries, glow sticks, multi-tool, slip joint pliers, 2-in-1 screwdriver, 24"" elastic tie down, cable ties, electrical tape, duct tape, shop towel, nitrile gloves, jersey gloves, safety vest, rain poncho, fleece blanket, space blanket, first aid kit, and a help sign.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gftvrbccuopygbavaskd",,free shipping,https://www.dealnews.com/Bell-Automotive-Roadside-Emergency-Kit-for-36-free-shipping/2173319.html,Bell Automotive Roadside Emergency Kit,AUTOMOTIVE,4
2173316,2018-01-06T15:39:33-05:00,$20,,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173316"">Nike Men's Therma Fit KO Crew Shirt</a> in several colors (Black pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $35 off and the lowest price we could find. It's available in sizes XS to 3XL.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e6rkfcx7ntkd5lim4vij",,free shipping,https://www.dealnews.com/Nike-Mens-Therma-Fit-KO-Crew-Shirt-for-20-free-shipping/2173316.html,Nike Men's Therma Fit KO Crew Shirt,SWEATSHIRTS & HOODIES,5
2173322,2018-01-06T15:37:17-05:00,$99,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173322"">Bosch 12-volt 2-Speed Drill/Driver Kit</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28. It includes two batteries, charger, and carrying case.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o80bnlnxhwobo7shgtxb",,free shipping,https://www.dealnews.com/Bosch-12-V-2-Speed-Drill-Driver-Kit-for-99-free-shipping/2173322.html,Bosch 12V 2-Speed Drill/Driver Kit,POWER TOOLS,3
2173244,2018-01-06T15:09:33-05:00,$22,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173244"">JOOLA Table Tennis Table Cover</a> for <strong>$21.60</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099045,2173244"">Sears</a> offers it for the same price.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $8. It fits standard 9x5-foot tables.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iacougzosqogop7gkg3e",,pickup at Walmart,https://www.dealnews.com/JOOLA-Table-Tennis-Table-Cover-for-22-pickup-at-Walmart/2173244.html,JOOLA Table Tennis Table Cover,SPORTS & FITNESS,3
2173307,2018-01-06T15:08:06-05:00,$13,,"Time to Shade offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173307"">Field &amp; Stream Men's Leather Watch</a> for $50. Coupon code ""DNEWS75"" cuts that price to <strong>$12.50</strong>. With around <strong>$7</strong> for shipping (it varies by location), that's $137 off and the lowest price we could find. It features a leather strap, steel bezel, quartz movement, and water resistance to 165 feet.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stnw4aqil99mbir7fkx3",,$7 shipping,https://www.dealnews.com/Field-Stream-Mens-Leather-Watch-for-13-7-s-h/2173307.html,Field & Stream Men's Leather Watch,WATCHES,4
2172590,2018-01-06T00:01:00-05:00,$9,,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172590"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",,free shipping w/ Prime,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2172590.html,Soufull Stainless Steel Poultry Scissors,KITCHEN,
