uuid,price,url,description,editors_choice,shipping,category,hotness,title,picture_url,time_published,time_modified
2173406,$36,https://www.dealnews.com/Call-of-Duty-WWII-for-PS4-Xbox-One-for-36-free-shipping/2173406.html,"Newegg offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173406"">Call of Duty: WWII for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099180,2173406"">Xbox One</a> for $59.99. Coupon code ""EMCPEPV44"" cuts that price to <strong>$35.99</strong>. With <strong>free shipping</strong>, that's $2 under our mention from two weeks ago and the lowest price we could find by $14.",,free shipping,GAMES,0,Call of Duty: WWII for PS4 / Xbox One,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rp9g2uohxmzu2ckfqx22",2018-01-07T14:00:00-05:00,
2173490,$14,https://www.dealnews.com/Ocean-Spray-Cranberry-Juice-Cans-48-Pack-for-14-free-shipping/2173490.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173490"">Ocean Spray Cranberry Juice 5.5-oz. Cans 48-Pack</a> for $15.06. Checkout via Subscribe and Save to cut that price to <strong>$14.31</strong>. With <strong>free shipping</strong>, that's a buck off, and the lowest price we could find.<br>
<br>
Note: Be sure to cancel your subscription once your order ships to avoid being billed for further shipments.",,free shipping,GROCERIES,0,Ocean Spray Cranberry Juice Cans 48-Pack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/csjf4xslhdkqc4ffebmr",2018-01-07T13:45:00-05:00,
2173469,$16,https://www.dealnews.com/16-Duracell-Batteries-16-Office-Depot-GC-for-16-pickup-at-Office-Depot/2173469.html,"Office Depot and OfficeMax again offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173469"">Duracell Coppertop Alkaline AAA Batteries 16-Pack</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099204,2173469"">Duracell Coppertop Alkaline AA Batteries 16-Pack</a> for <strong>$15.99</strong>. Plus, Office Depot and OfficeMax Rewards members will bag a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099207,2173469"">$15.99 Rewards Credit</a> for <b>free</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099210,2173469"">sign up</a>.) Choose free in-store <b>pickup</b> to dodge the $9.95 shipping fee. That's tied with our mention from a month ago and the best deal we could find now by at least $11.) Deal is limited to two per customer.<br>
<br>
Note: Allow up to five weeks after the promotion ends for Rewards to become available in your account.",,pickup at Office Depot,BATTERIES,4,"16 Duracell Batteries, $16 Office Depot GC","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sz1ulkeaxhms4amws2yz",2018-01-07T13:30:00-05:00,
2173463,$280,https://www.dealnews.com/Bio-Bidet-Prestige-Elongated-Bidet-Toilet-Seat-for-280-5-s-h/2173463.html,"Woot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173463"">BioBidet Prestige Elongated Bidet Toilet Seat</a> for <strong>$279.99</strong> plus <strong>$5</strong> for shipping. That's the lowest price we could find by $164. It features a side control panel, 3-in-1 nozzle system, heated seat, heated air dryer, massage, and oscillating mode.",,$5 shipping,BED & BATH,3,BioBidet Prestige Elongated Bidet Toilet Seat,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wfcffqh0ezspvnhjia7u",2018-01-07T13:15:00-05:00,
2173478,$8,https://www.dealnews.com/Destiny-The-Taken-King-Legendary-Ed-Xbox-One-for-8-free-shipping/2173478.html,"Microsoft Store offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173478"">Destiny: The Taken King Legendary Edition for Xbox One</a> for <strong>$7.99</strong> with <strong>free shipping</strong>. That's $7 under our mention from last March and the lowest price we've seen (it's a low today by $10).",,free shipping,GAMES,4,Destiny: The Taken King Legendary Ed Xbox One,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fk2vsbchh5bgwpn3df36",2018-01-07T13:00:00-05:00,
2173493,$299,https://www.dealnews.com/Asus-Vivo-Book-Flip-Pentium-14-Touch-Laptop-for-299-free-shipping/2173493.html,"Walmart offers the 3.3-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173493"">Asus VivoBook Flip TP401 Intel Pentium Apollo Lake 1.1GHz 14"" Touchscreen 2-in-1 Laptop</a> for <b>$299</b> with <b>free shipping</b>. That's tied with our mention from three weeks ago and the lowest price we could find today by $80. It features an Intel Pentium N4200 1.1GHz Apollo Lake quad-core processor, 14"" 1366x768 (720p) touchscreen LCD, 4GB RAM, 64GB eMMC storage, 802.11ac wireless, Bluetooth, 4.1, USB 3.1 Type-C, micro HDMI, 2-cell battery, and Windows 10 Home.",,free shipping,LAPTOPS,4,"Asus VivoBook Flip Pentium 14"" Touch Laptop","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dzx5k6efmqirftdyxhib",2018-01-07T12:50:00-05:00,
2173472,free,https://www.dealnews.com/Select-Minecraft-for-Kids-eBooks-for-free/2173472.html,"Amazon offers a range of Minecraft for kids Kindle eBooks for <strong>free</strong>. That's up to $2 off and the lowest price we could find. Titles include:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173472"">The Friendly Creeper Diaries (Book 1): The Creeper Village</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099216,2173472"">The Friendly Creeper Diaries: The Moon City (Book 4): The Underground City</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099219,2173472"">The Friendly Creeper Diaries: The Relics of Dragons (Book 7): Possessed by Herobrine</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099222,2173472"">Minecraft: Battle of Legends Book 1</a>
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099225,2173472"">The Obsidian Cube (Book 1): An Unknown Past</a>
 </li>
</ul>",,,EBOOKS,4,Select Minecraft for Kids eBooks,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/igveluniyeffsalvzq1k",,2018-01-07T13:06:08-05:00
2173397,$19,https://www.dealnews.com/Anker-Sound-Buds-Slim-Wireless-Earbuds-for-19-free-shipping-w-Prime/2173397.html,"AnkerDirect via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173397"">Anker SoundBuds Slim Wireless Earbuds</a> in Blue or Red for <strong>$18.99</strong> with <strong>free shipping</strong>. That's a buck under our September mention and the lowest price we could find now by $9. Features include IPX4 rated water-resistance, 6mm drivers, and three sizes of ear tips.",,free shipping w/ Prime,HEADPHONES,4,Anker SoundBuds Slim Wireless Earbuds,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rusu7aqszzk8oniannvc",,2018-01-07T13:04:42-05:00
2173457,$50,https://www.dealnews.com/Gourmia-6-Quart-Pressure-Cooker-for-50-free-shipping/2173457.html,"Best Buy via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173457"">Gourmia 6-Quart Pressure Cooker</a> in Stainless Steel/Black for <strong>$49.99</strong> with <strong>free shipping</strong>. That's $10 under our mention from three weeks ago, $70 off, and the lowest price we could find. It features a keep-warm function, touchpad controls, and a digital display.",,free shipping,SMALL APPLIANCES,3,Gourmia 6-Quart Pressure Cooker,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mgpuvznwjp5onumfvv2s",,2018-01-07T13:04:03-05:00
2171954,"50,000 bonus points","https://www.dealnews.com/lw/click.html?20,2,2171954","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171954"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096825,2171954"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096828,2171954"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,,CREDIT CARDS,,Chase Sapphire Preferred® Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",2018-01-04T14:27:34-05:00,
