title,price,shipping,editors_choice,hotness,time_modified,url,category,description,uuid,picture_url,time_published
Samsung Digital Video Baby Monitor System,from $160,free shipping,,0,,https://www.dealnews.com/Samsung-Digital-Video-Baby-Monitor-System-from-160-free-shipping/2173535.html,BABIES & KIDS ITEMS,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173535"">Samsung BabyView Digital Video Baby Monitor System</a> for <b>$159.98</b> with <b>free shipping</b>. (Non-members pay $16 more.) That's the lowest price we could find by $39. Features include a 5"" touchscreen monitor, remote viewing on mobile devices, and night vision up to 16 feet.",2173535,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ztvqbysa31hvsj0v3xgp",2018-01-07T16:22:08-05:00
Belkin 7-Outlet Power Strip Surge Protector,$12,free shipping w/ Prime,,0,,https://www.dealnews.com/Belkin-7-Outlet-Power-Strip-Surge-Protector-for-12-free-shipping-w-Prime/2173514.html,SURGE PROTECTORS,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173514"">Belkin 7-Outlet SurgeMaster Home Series Power Strip Surge Protector</a> for <strong>$12.16</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $3. It features a 6-foot cord.",2173514,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qrwsfyxd5l5vyamzgpbp",2018-01-07T16:19:00-05:00
Toshiba Convection Oven,$51,free shipping,,0,,https://www.dealnews.com/Toshiba-Convection-Oven-for-51-free-shipping/2173505.html,SMALL APPLIANCES,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173505"">Toshiba Convection Oven</a> in Stainless Steel for <strong>$50.99</strong> with <strong>free shipping.</strong> That's $9 off and the lowest price we could find. It features a timer and fits a 12"" pizza or six slices of bread.",2173505,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wosu4gllpwcopg55ko4x",2018-01-07T16:16:33-05:00
Chaco Kids' Unisex Outcross Shoes,$28,pickup at REI,,0,,https://www.dealnews.com/Chaco-Kids-Unisex-Outcross-Shoes-for-28-pickup-at-REI/2173499.html,KIDS' SHOES,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173499"">Chaco Kids' Unisex Outcross Shoes</a> in several colors (Gunmetal pictured) for $37.73. In-cart, it drops to <b>$28.29</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's the lowest price we could find by $15. They're available in select sizes from 1 to 10. Deal ends January 8.",2173499,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jhlu827k85dfv5ghlcrq",2018-01-07T16:15:00-05:00
Belkin 6-Outlet Power Strip Surge Protector,$18,free shipping w/ Prime,,0,,https://www.dealnews.com/Belkin-6-Outlet-Power-Strip-Surge-Protector-for-18-free-shipping-w-Prime/2173511.html,SURGE PROTECTORS,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173511"">Belkin 6-Outlet Power Strip Surge Protector</a> for <strong>$17.54</strong> with <strong>free shipping.</strong> That's the lowest price we could find by $2. It features six rotating surge-protected outlets.",2173511,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kk3xnqthxfuvwuszy5tn",2018-01-07T16:11:06-05:00
FoodSaver Space-Saver Fresh Appliance System,$59,free shipping,,0,,https://www.dealnews.com/Food-Saver-Space-Saver-Fresh-Appliance-System-for-59-free-shipping/2173424.html,KITCHEN,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173424"">FoodSaver Space-Saver Fresh Appliance System</a> for <b>$58.99</b> with <b>free shipping</b>. That's the best price we could find by $11. It features 1-touch start, auto stop, and adjustable vacuum head. This kit ships with two quart zipper bags, two gallon sipper bags, a 3-cup fresh container, and 5-cup fresh container.",2173424,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/th8ege4jx6t4901xr12b",2018-01-07T16:09:54-05:00
Ozark Trail Back Care Chair,$8,pickup at Walmart,,0,,https://www.dealnews.com/Ozark-Trail-Back-Care-Chair-for-8-pickup-at-Walmart/2173553.html,CAMPING & OUTDOORS,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173553"">Ozark Trail Back Care Chair</a> for <b>$7.88</b>. Choose in-store <b>pickup</b> to avoid the $5.99 shipping fee. That's $6 off list and the lowest price we could find. It features a steel frame and built-in cup holder and includes a carrying bag.",2173553,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qlk1jsmwbowtr0hdmnhq",2018-01-07T16:08:21-05:00
Johnson & Johnson 50pc Princess First Aid Kit,$5,free shipping w/ Prime,,5,,https://www.dealnews.com/Johnson-Johnson-50-pc-Princess-First-Aid-Kit-for-5-free-shipping-w-Prime/2173496.html,MEDICINE & MEDICAL,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173496"">Johnson &amp; Johnson Disney Princess Red Cross 50-Piece First Aid Kit</a> for <strong>$4.75</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes hand cleansing wipes, antibiotic ointment, decorated adhesive bandages, gauze pads, and more.<br>
<br>
Note: It's currently out of stock but can still be ordered for this price.",2173496,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/aanhxixarbag8uey4zvb",2018-01-07T16:00:00-05:00
Convenience Concepts 3-Tier TV Stand,$30,free shipping,,3,,https://www.dealnews.com/Convenience-Concepts-3-Tier-TV-Stand-for-30-free-shipping/2173439.html,TV STANDS,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173439"">Convenience Concepts Designs2Go 3-Tier TV Stand</a> in Black for <strong>$29.74</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $10. It fits TVs up to 32"" and has a weight capacity of 80 lbs.",2173439,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cr4ze0wc6wirqnk6qoh2",2018-01-07T15:45:00-05:00
Barclaycard Arrival Plus™ MasterCard®,"40,000 Bonus Miles",,,,,"https://www.dealnews.com/lw/click.html?20,2,2173265",CREDIT CARDS,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173265"">Barclaycard Arrival Plus™ World MasterCard®</a> and earn <strong>40,000 Bonus Miles</strong> when you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099078,2173265"">$3,000 or more</a> on purchases in the first 90 days. (That equates to $400 off your next trip.) Plus, you <strong>earn 2 miles</strong> on all purchases and <strong>get 5% miles back</strong> every time you redeem for travel statement credits. Also, you'll get a <strong>0% introductory APR</strong> for 12 months on Balance Transfers made within 45 days of account opening. After that, a variable APR will apply, 17.24%, 21.24% or 24.24%, based on your creditworthiness. Please note, there is a fee for balance transfers. There's an $89 annual fee, <strong>waived for the first year</strong>, and <strong>no foreign transaction fees</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099081,2173265"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s39843/Barclay-Card/"">Barclaycard Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",2173265,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ikii5iblmaajfhttb78y",2018-01-06T12:47:04-05:00
