hotness,url,picture_url,time_published,price,uuid,editors_choice,time_modified,description,shipping,category,title
0,https://www.dealnews.com/Womens-Zip-Front-Hooded-Anorak-for-12-pickup-at-Walmart/2173640.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pcbzjpyfuyr3ihrkcisk",2018-01-07T21:51:19-05:00,$12,2173640,,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173640"">Women's Zip-Front Hooded Anorak with Vestee</a> in several colors (Charcoal pictured) for <strong>$12</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's $29 off list and the lowest price we could find. It's available in sizes from S to XL.",pickup at Walmart,COATS,Women's Zip-Front Hooded Anorak
0,https://www.dealnews.com/Velcro-Sticky-Back-Hook-and-Loop-Fasteners-for-13-free-shipping-w-Prime/2173637.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xaq08h3crcgn6g4tx9tx",2018-01-07T21:43:44-05:00,$13,2173637,,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173637"">Velcro Industrial-Strength Sticky-Back Hook and Loop Fasteners</a> in Black for <b>$12.50</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's the lowest price we could find by $7. It measures 2"" x 15-feet.",free shipping w/ Prime,TOOL STORAGE & ORGANIZATION,Velcro Sticky-Back Hook and Loop Fasteners
5,https://www.dealnews.com/Learning-Resources-Gizmos-83-pc-Building-Set-for-14-free-shipping-w-Prime/2173628.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ku8btxmzamfl0zwjaomx",2018-01-07T21:14:23-05:00,$14,2173628,True,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173628"">Learning Resources Gears! Gears! Gears! Gizmos 83-Piece Building Set</a> for <b>$14.28</b>. Plus, Prime members bag <b>free shipping</b>. Outside of the mention below, that's the lowest price we could find by $26. Intended to inspire STEM learning, it includes springs, spirals, and a range of gears and bases.<br>
<br>
A close price: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099300,2173628"">Walmart</a> offers it for $17.69 with in-store pickup.",free shipping w/ Prime,TOYS & HOBBIES,Learning Resources Gizmos 83pc Building Set
4,https://www.dealnews.com/Skylanders-Krankcase-Lair-for-10-pickup-at-Toys-R-Us/2173634.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/snkzjfptfhyqfsrl5sqs",2018-01-07T21:13:36-05:00,$10,2173634,True,,"Toys""R""Us offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173634"">Skylanders Krankcase Lair</a> for <strong>$9.98</strong>. Opt for in-store <strong>pickup</strong> (where available) to avoid the $5.99 shipping charge. That's $50 off and the best price we could find. It stands over 21"" tall, glows in the dark, and features a working cannon and catapult.","pickup at Toys""R""Us",TOYS & HOBBIES,Skylanders Krankcase Lair
3,https://www.dealnews.com/Horizon-Zero-Dawn-Complete-Edition-for-PS4-for-42-free-shipping/2173631.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cg9dwvctcnycqajizpbb",,$42,2173631,,2018-01-07T21:40:49-05:00,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173631"">Horizon Zero Dawn Complete Edition for PlayStation 4</a> for <strong>$42</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $8.",free shipping,GAMES,Horizon Zero Dawn Complete Edition for PS4
4,https://www.dealnews.com/Camel-Bak-Chute-1-L-Water-Bottle-for-8-free-shipping-w-Prime/2173625.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ide5ubirwidiuuo2ivnv",2018-01-07T20:50:45-05:00,$8,2173625,,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173625"">CamelBak Chute 1L Water Bottle</a> in Bluegrass for <b>$7.99</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's the lowest price we could find by $3. It's made of BPA- and BPS-free Eastman Tritan copolyester and features an angled spout cap.",free shipping w/ Prime,KITCHEN,CamelBak Chute 1L Water Bottle
4,https://www.dealnews.com/Titanfall-2-for-PS4-or-Xbox-One-for-8-free-shipping/2173622.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u1rivazmt2mroflfdcdx",2018-01-07T20:43:38-05:00,$8,2173622,True,,"Gamercandy via eBay offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173622"">Titanfall 2 for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099297,2173622"">Xbox One</a> for <strong>$8.13</strong> with <strong>free shipping</strong>. That's tied with our December mention as the lowest price we've seen on either platform and the best today by $2.",free shipping,PC GAMES,Titanfall 2 for PS4 or Xbox One
4,https://www.dealnews.com/Ti-Vo-Roamio-1-TB-DVR-w-Lifetime-Service-for-330-free-shipping/2173619.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pblgl1otjmxor9w6l5oc",2018-01-07T20:28:01-05:00,$330,2173619,,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173619"">TiVo Roamio OTA 1TB HD DVR</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099294,2173619"">Lifetime Service</a> for <strong>$329.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $60, although we saw it for $30 less in November. Features include an Ethernet port, 802.11n wireless, streaming apps (Netflix, Hulu Plus, YouTube, others), recording of up to four shows at once, 1TB hard drive, USB, and one HDMI port.",free shipping,"DIGITAL VIDEO RECORDERS (TIVO, REPLAY)",TiVo Roamio 1TB DVR w/ Lifetime Service
4,https://www.dealnews.com/adidas-Mens-NBA-Swingman-Climacool-Jersey-for-32-free-shipping/2173616.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ahqtmkasrrkvwozibmx8",2018-01-07T20:22:48-05:00,$32,2173616,True,,"Retro2heritage via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173616"">adidas Men's NBA Team Player Swingman Climacool Jersey</a> in several team styles for <b>$31.99</b> with <b>free shipping</b>. That's tied with our mention from two weeks ago as the lowest price we've seen. (It's the best deal now by $23.) It's available in select sizes from S to 4XL.",free shipping,SHIRTS,adidas Men's NBA Swingman Climacool Jersey
,"https://www.dealnews.com/lw/click.html?20,2,2173211","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",2018-01-06T11:44:21-05:00,"40,000 points",2173211,,,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173211"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099024,2173211"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,CREDIT CARDS,Southwest Rapid Rewards® Plus Credit Card
